cluster_id	semantic_identity_id	canonical_cluster_label	primary_user_job	intent_primary	marketplace_scope	priority_tier	m10a_owner_state	m10a_page_role_state	m10d_target_effect_summary	final_owner_state	primary_page_owner_id	route_class	physical_action	owner_role_summary	secondary_coverage_state	parent_page_owner_id	internal_link_responsibility	material_boundary_state	decision_rationale	search_evidence_refs	m10d_evidence_refs	product_truth_refs	claim_boundary
M9CL_02025a258eff8c3d	M8SID_3251f136551cd109	ии ассистент для маркетплейсов	Find a suitable AI assistant for Ozon/WB seller work through an owned web AI	COMMERCIAL_INVESTIGATION	GENERIC	P1_CORE	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M10BCASE_503322b8af3825a8:PRESERVE | M10BCASE_840dee47a90532a8:PRESERVE | M10BCASE_975659397140bfbd:ENRICH_ONLY | M10BCASE_a6a64d20ed4e5695:PRESERVE | M10BCASE_e5e5533784063649:PRESERVE	HOLD_NO_FINAL_OWNER	NONE_HOLD	HOLD	RECHECK_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	HOLD_BLOCKING_FINAL_OWNER	AI adds context only; it does not resolve the material Search owner boundary. Exact Search anchor=CURRENT_EXACT_SERP; material HOLD degree=10; product fit=SUPPORTED_WITH_BOUNDARY. M9 cluster remains HOLD_CLUSTER_BOUNDARY.	M4QR2Q00026:RU225:TOP100	docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_503322b8af3825a8:M9CL_02025a258eff8c3d | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_840dee47a90532a8:M9CL_02025a258eff8c3d | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_975659397140bfbd:M9CL_02025a258eff8c3d | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_a6a64d20ed4e5695:M9CL_02025a258eff8c3d | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_e5e5533784063649:M9CL_02025a258eff8c3d	docs/seo/PRODUCT_TRUTH.md@6a469d5743142d3e476afa5d2cda653fd411ecb8	Analytical page job only; no final planned URL, H1, Title, description or live site mutation. Unassigned M9 neighbors remain HOLD.
M9CL_086ce4445a21d4fd	M8SID_d0cfc29dc443bd98	ии агент для озон	Find a suitable AI assistant for Ozon/WB seller work through an owned web AI	COMMERCIAL_INVESTIGATION	OZON	P1_CORE	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M10BCASE_503322b8af3825a8:PRESERVE | M10BCASE_840dee47a90532a8:NARROW_HOLD | M10BCASE_975659397140bfbd:PRESERVE | M10BCASE_e5e5533784063649:PRESERVE	HOLD_NO_FINAL_OWNER	NONE_HOLD	HOLD	RECHECK_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	HOLD_BLOCKING_FINAL_OWNER	AI narrows one named dimension but other material Search owner boundaries and page-purpose collisions remain unresolved. Exact Search anchor=CURRENT_EXACT_SERP; material HOLD degree=9; product fit=SUPPORTED_WITH_BOUNDARY. M9 cluster remains HOLD_CLUSTER_BOUNDARY.	M4QR2Q00007:RU225:TOP100	docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_503322b8af3825a8:M9CL_086ce4445a21d4fd | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_840dee47a90532a8:M9CL_086ce4445a21d4fd | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_975659397140bfbd:M9CL_086ce4445a21d4fd | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_e5e5533784063649:M9CL_086ce4445a21d4fd	docs/seo/PRODUCT_TRUTH.md@6a469d5743142d3e476afa5d2cda653fd411ecb8	Analytical page job only; no final planned URL, H1, Title, description or live site mutation. Unassigned M9 neighbors remain HOLD.
M9CL_0ac1770f2755faaf	M8SID_c65a5e24dfdb39bc	отчет маркетплейса вайлдберриз	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	WILDBERRIES	P4_EXPLORATORY	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M10BCASE_905d903673405cdf:HOLD | M10BCASE_93993613e7003b69:PRESERVE | M10BCASE_adb2e167115fbbbd:PRESERVE	HOLD_NO_FINAL_OWNER	NONE_HOLD	HOLD	RECHECK_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	HOLD_BLOCKING_FINAL_OWNER	Accepted target-specific M10D HOLD remains: mixed capability, scope or source role cannot authorize owner. Exact Search anchor=CURRENT_EXACT_SERP; material HOLD degree=43; product fit=SUPPORTED_WITH_BOUNDARY. M9 cluster remains HOLD_CLUSTER_BOUNDARY.	M4QR2Q00032:RU225:TOP100	docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_905d903673405cdf:M9CL_0ac1770f2755faaf | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_93993613e7003b69:M9CL_0ac1770f2755faaf | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_adb2e167115fbbbd:M9CL_0ac1770f2755faaf	docs/seo/PRODUCT_TRUTH.md@6a469d5743142d3e476afa5d2cda653fd411ecb8	Analytical page job only; no final planned URL, H1, Title, description or live site mutation. Unassigned M9 neighbors remain HOLD.
M9CL_0aed479a81711e7f	M8SID_4ffce42718223241	расширение аналитика маркетплейсов	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	GENERIC	P4_EXPLORATORY	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M10BCASE_93993613e7003b69:PRESERVE | M10BCASE_d3950384418e3bbd:PRESERVE	HOLD_NO_FINAL_OWNER	NONE_HOLD	HOLD	RECHECK_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	HOLD_BLOCKING_FINAL_OWNER	Current Search identifies the task, but material owner boundaries lack exact accepted target-specific resolution. Exact Search anchor=CURRENT_EXACT_SERP; material HOLD degree=22; product fit=SUPPORTED_WITH_BOUNDARY. M9 cluster remains HOLD_CLUSTER_BOUNDARY.	M9BRQ_016_4ffce42718223241:RU225:TOP100	docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_93993613e7003b69:M9CL_0aed479a81711e7f | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_d3950384418e3bbd:M9CL_0aed479a81711e7f	docs/seo/PRODUCT_TRUTH.md@6a469d5743142d3e476afa5d2cda653fd411ecb8	Analytical page job only; no final planned URL, H1, Title, description or live site mutation. Unassigned M9 neighbors remain HOLD.
M9CL_1590e99dd5f53a49	M8SID_fec20a96bbee4f45	Статистика и аналитика продаж на Wildberries	Read and interpret available seller-owned marketplace reports and metrics	MIXED	WILDBERRIES	P4_EXPLORATORY	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M10BCASE_905d903673405cdf:PRESERVE | M10BCASE_adb2e167115fbbbd:PRESERVE	HOLD_NO_FINAL_OWNER	NONE_HOLD	HOLD	RECHECK_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	HOLD_BLOCKING_FINAL_OWNER	No current exact Search anchor for this identity; source/page-title wording and unresolved task boundaries cannot be promoted to a standalone owner. Exact Search anchor=NO_CURRENT_EXACT_SERP; material HOLD degree=29; product fit=SUPPORTED_WITH_BOUNDARY. M9 cluster remains HOLD_CLUSTER_BOUNDARY.	NO_CURRENT_EXACT_SERP	docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_905d903673405cdf:M9CL_1590e99dd5f53a49 | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_adb2e167115fbbbd:M9CL_1590e99dd5f53a49	docs/seo/PRODUCT_TRUTH.md@6a469d5743142d3e476afa5d2cda653fd411ecb8	Analytical page job only; no final planned URL, H1, Title, description or live site mutation. Unassigned M9 neighbors remain HOLD.
M9CL_18591a5da8d7a451	M8SID_91da785ba085dc94	Правила работы с возвратами на маркетплейсах: условия торговых платформ и советы по снижению показателя	Read and interpret available seller-owned marketplace reports and metrics	MIXED	GENERIC	P4_EXPLORATORY	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M10BCASE_905d903673405cdf:PRESERVE | M10BCASE_adb2e167115fbbbd:PRESERVE | M10BCASE_d7c8eaf031abe40a:PRESERVE	HOLD_NO_FINAL_OWNER	NONE_HOLD	HOLD	RECHECK_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	HOLD_BLOCKING_FINAL_OWNER	No current exact Search anchor for this identity; source/page-title wording and unresolved task boundaries cannot be promoted to a standalone owner. Exact Search anchor=NO_CURRENT_EXACT_SERP; material HOLD degree=23; product fit=SUPPORTED_WITH_BOUNDARY. M9 cluster remains HOLD_CLUSTER_BOUNDARY.	NO_CURRENT_EXACT_SERP	docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_905d903673405cdf:M9CL_18591a5da8d7a451 | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_adb2e167115fbbbd:M9CL_18591a5da8d7a451 | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_d7c8eaf031abe40a:M9CL_18591a5da8d7a451	docs/seo/PRODUCT_TRUTH.md@6a469d5743142d3e476afa5d2cda653fd411ecb8	Analytical page job only; no final planned URL, H1, Title, description or live site mutation. Unassigned M9 neighbors remain HOLD.
M9CL_1de66900c2146c5b	M8SID_9f67c7e74f7f9587	Финансовый отчет WILDBERRIES – как читать?	Read and interpret available seller-owned marketplace reports and metrics	MIXED	WILDBERRIES	P4_EXPLORATORY	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M10BCASE_905d903673405cdf:PRESERVE | M10BCASE_adb2e167115fbbbd:PRESERVE	HOLD_NO_FINAL_OWNER	NONE_HOLD	HOLD	RECHECK_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	HOLD_BLOCKING_FINAL_OWNER	No current exact Search anchor for this identity; source/page-title wording and unresolved task boundaries cannot be promoted to a standalone owner. Exact Search anchor=NO_CURRENT_EXACT_SERP; material HOLD degree=36; product fit=SUPPORTED_WITH_BOUNDARY. M9 cluster remains HOLD_CLUSTER_BOUNDARY.	NO_CURRENT_EXACT_SERP	docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_905d903673405cdf:M9CL_1de66900c2146c5b | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_adb2e167115fbbbd:M9CL_1de66900c2146c5b	docs/seo/PRODUCT_TRUTH.md@6a469d5743142d3e476afa5d2cda653fd411ecb8	Analytical page job only; no final planned URL, H1, Title, description or live site mutation. Unassigned M9 neighbors remain HOLD.
M9CL_25bf819e5778d7d3	M8SID_8df9f34f2bb7e11a	ии агенты для маркетплейсов	Find a suitable AI assistant for Ozon/WB seller work through an owned web AI	COMMERCIAL_INVESTIGATION	GENERIC	P1_CORE	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M10BCASE_503322b8af3825a8:NARROW_HOLD | M10BCASE_840dee47a90532a8:PRESERVE | M10BCASE_975659397140bfbd:PRESERVE | M10BCASE_a6a64d20ed4e5695:PRESERVE | M10BCASE_e5e5533784063649:PRESERVE	HOLD_NO_FINAL_OWNER	NONE_HOLD	HOLD	RECHECK_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	HOLD_BLOCKING_FINAL_OWNER	AI narrows one named dimension but other material Search owner boundaries and page-purpose collisions remain unresolved. Exact Search anchor=CURRENT_EXACT_SERP; material HOLD degree=10; product fit=SUPPORTED_WITH_BOUNDARY. M9 cluster remains HOLD_CLUSTER_BOUNDARY.	M4QR2Q00008:RU225:TOP100	docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_503322b8af3825a8:M9CL_25bf819e5778d7d3 | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_840dee47a90532a8:M9CL_25bf819e5778d7d3 | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_975659397140bfbd:M9CL_25bf819e5778d7d3 | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_a6a64d20ed4e5695:M9CL_25bf819e5778d7d3 | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_e5e5533784063649:M9CL_25bf819e5778d7d3	docs/seo/PRODUCT_TRUTH.md@6a469d5743142d3e476afa5d2cda653fd411ecb8	Analytical page job only; no final planned URL, H1, Title, description or live site mutation. Unassigned M9 neighbors remain HOLD.
M9CL_261f95ceaf310c3a	M8SID_544e197891683f4c	Аналитика продавца Wildberries: как читать отчёты и находить точки роста	Read and interpret available seller-owned marketplace reports and metrics	MIXED	WILDBERRIES	P4_EXPLORATORY	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M10BCASE_905d903673405cdf:PRESERVE | M10BCASE_adb2e167115fbbbd:PRESERVE	HOLD_NO_FINAL_OWNER	NONE_HOLD	HOLD	RECHECK_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	HOLD_BLOCKING_FINAL_OWNER	No current exact Search anchor for this identity; source/page-title wording and unresolved task boundaries cannot be promoted to a standalone owner. Exact Search anchor=NO_CURRENT_EXACT_SERP; material HOLD degree=57; product fit=SUPPORTED_WITH_BOUNDARY. M9 cluster remains HOLD_CLUSTER_BOUNDARY.	NO_CURRENT_EXACT_SERP	docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_905d903673405cdf:M9CL_261f95ceaf310c3a | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_adb2e167115fbbbd:M9CL_261f95ceaf310c3a	docs/seo/PRODUCT_TRUTH.md@6a469d5743142d3e476afa5d2cda653fd411ecb8	Analytical page job only; no final planned URL, H1, Title, description or live site mutation. Unassigned M9 neighbors remain HOLD.
M9CL_2637e53fc435b258	M8SID_ed858336de500ab2	Внутренняя аналитика Wildberries: карта отчётов и еженедельный разбор	Read and interpret available seller-owned marketplace reports and metrics	MIXED	WILDBERRIES	P4_EXPLORATORY	HOLD_NO_SEARCH_ONLY_OWNER	HOLD_NOT_AUTHORIZED_BY_SEARCH_ONLY_BASELINE	M10BCASE_905d903673405cdf:PRESERVE | M10BCASE_93993613e7003b69:PRESERVE | M10BCASE_adb2e167115fbbbd:PRESERVE	HOLD_NO_FINAL_OWNER	NONE_HOLD	HOLD	RECHECK_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	NONE_HOLD	HOLD_BLOCKING_FINAL_OWNER	No current exact Search anchor for this identity; source/page-title wording and unresolved task boundaries cannot be promoted to a standalone owner. Exact Search anchor=NO_CURRENT_EXACT_SERP; material HOLD degree=57; product fit=SUPPORTED_WITH_BOUNDARY. M9 cluster remains HOLD_CLUSTER_BOUNDARY.	NO_CURRENT_EXACT_SERP	docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_905d903673405cdf:M9CL_2637e53fc435b258 | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_93993613e7003b69:M9CL_2637e53fc435b258 | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CLUSTER_DELTA_XREF.tsv#M10BCASE_adb2e167115fbbbd:M9CL_2637e53fc435b258	docs/seo/PRODUCT_TRUTH.md@6a469d5743142d3e476afa5d2cda653fd411ecb8	Analytical page job only; no final planned URL, H1, Title, description or live site mutation. Unassigned M9 neighbors remain HOLD.
