page_owner_id	block_order	block_id	block_role	required	content_requirement	evidence_basis	proof_requirement	prohibited_content
M11PAGE_EXISTING_HOME	1	HOME_HERO	FIRST_SCREEN_PURPOSE	true	Use H1 «Подключите ваш ИИ к Ozon и Wildberries». Preserve «Ваш ИИ получает руки для работы с маркетплейсами.» as the brand subheadline directly supporting the H1; make the connector role explicit in the same first-screen unit.	Current HOME + Product Truth	Current source copy is sufficient factual proof; no invented metrics	Do not imply Octoport itself is an LLM or that public beta is open
M11PAGE_EXISTING_HOME	2	HOME_MECHANICS	PRODUCT_MECHANICS	true	Explain chosen AI -> Octoport browser extension -> permitted marketplace data/tools -> result returned to the AI dialog	Product Truth	Architecture wording must trace to accepted product docs	No autonomous multi-step promise or write-back
M11PAGE_EXISTING_HOME	3	HOME_MARKETPLACES	MARKETPLACE_SCOPE	true	State one product supports Ozon and Wildberries within accepted launch boundary	Product Truth	Accepted product scope	No claim that every API function is supported
M11PAGE_EXISTING_HOME	4	HOME_READ_ONLY	CAPABILITY_BOUNDARY	true	State launch focus on reading data, analysis/explanation and report delivery	Product Truth	Accepted launch scope	No price, bid, card, supply or other business-state editing claim
M11PAGE_EXISTING_HOME	5	HOME_DATA_BOUNDARY	TRUST_PRIVACY	true	Explain local marketplace keys/ordinary local business-data path and limited server role accurately	Product Truth + current privacy/site source	Current architecture/privacy evidence	No absolute claim that server stores nothing in every scenario
M11PAGE_EXISTING_HOME	6	HOME_ANALYTICS_ROUTE	CHILD_USE_CASE_ROUTE	true	Introduce seller-owned analytics as a distinct child use case and link to the analytics page without absorbing its primary job	M11 IA + cannibalization guard	M11 accepted owner split	Do not target held analytics/report variants as secondary queries
M11PAGE_EXISTING_HOME	7	HOME_BETA	AVAILABILITY_BOUNDARY	true	State closed/free beta is being prepared and public access is not open	Product Truth + current HOME	Current beta state	No public registration or paid pricing claim
M11PAGE_aaa90aa723a3694c	1	ANALYTICS_HERO	FIRST_SCREEN_PURPOSE	true	State that the user's selected AI can help inspect and understand permitted data of their own Ozon/WB store	M8/M11 job + Product Truth	Product capability statement must remain bounded	No external competitor/niche intelligence claim
M11PAGE_aaa90aa723a3694c	2	ANALYTICS_JOB	USER_TASK	true	Explain seller-owned analysis job: understand sales/report information and ask questions in the AI workflow	M8 user job + M11 owner	Search/task evidence	No accounting certification or business advice promise
M11PAGE_aaa90aa723a3694c	3	ANALYTICS_DATA_SCOPE	DATA_BOUNDARY	true	Describe only categories of seller-owned data that are endpoint/product-authority confirmed; otherwise say permitted store data generically	Product Truth	Endpoint/product source required for every specific data category	No unsupported external-market data
M11PAGE_aaa90aa723a3694c	4	ANALYTICS_HOW_IT_WORKS	MECHANICS	true	Explain data is obtained through Octoport and interpreted in the user's chosen AI dialog	Product Truth	Accepted connector mechanics	No claim of Octoport-owned AI
M11PAGE_aaa90aa723a3694c	5	ANALYTICS_EXAMPLES	TASK_EXAMPLES	true	Give bounded example questions using seller-owned data only; examples must be demonstrably possible from accepted data sources	M8 task + Product Truth	Endpoint or real demo proof required	No invented ROI, competitor rank or bid-control results
M11PAGE_aaa90aa723a3694c	6	ANALYTICS_BOUNDARIES	ANTI_OVERCLAIM	true	Explicitly separate own-store analytics from external market intelligence, statutory accounting and automated mutation	M11 guard + M10D Case09	Accepted boundary evidence	Do not present absence in AI sources as market absence
M11PAGE_aaa90aa723a3694c	7	ANALYTICS_PROOF	PRODUCT_PROOF	true	Require a real sanitized product demo or source-backed example before production; until then use only verified mechanics/diagrams	M12 proof rule	REAL_SANITIZED_DEMO_REQUIRED_BEFORE_PRODUCTION	No fake screenshot, customer case, savings or performance metric
M11PAGE_aaa90aa723a3694c	8	ANALYTICS_CONNECTOR_ROUTE	PARENT_ROUTE	true	Link back to HOME for how the selected AI connection works	M11 IA	Accepted IA edge	Do not duplicate HOME's full connector/category job
