surface_id	url	surface_role	robots_txt_crawl	robots_meta	canonical	sitemap	yandex_ai_eligibility	implementation_target	acceptance_check	claim_boundary
M13SURF_HOME	https://octoport.ru/	SEO_OWNER_HOME	ALLOW	INDEX_FOLLOW_DEFAULT	https://octoport.ru/	INCLUDE	ELIGIBLE_NO_OPTOUT	index.html;robots.txt;sitemap.xml	200 self canonical no noindex in sitemap robots allowed	Eligibility does not guarantee indexing/ranking/AI citation
M13SURF_ANALYTICS	https://octoport.ru/seller-analytics	SEO_OWNER_ANALYTICS	ALLOW	INDEX_FOLLOW_DEFAULT	https://octoport.ru/seller-analytics	INCLUDE	ELIGIBLE_NO_OPTOUT	seller-analytics.html;robots.txt;sitemap.xml	200 self canonical no noindex in sitemap robots allowed	Only accepted seller-owned analytics job
M13SURF_PRIVACY	https://octoport.ru/privacy	INDEXABLE_UTILITY_PRIVACY	ALLOW	INDEX_FOLLOW_DEFAULT	https://octoport.ru/privacy	INCLUDE	ELIGIBLE_NO_OPTOUT_UTILITY	privacy.html	200 self canonical no noindex in sitemap robots allowed	Indexable utility; no commercial cluster ownership implied
M13SURF_SUPPORT	https://octoport.ru/support	INDEXABLE_UTILITY_SUPPORT	ALLOW	INDEX_FOLLOW_DEFAULT	https://octoport.ru/support	INCLUDE	ELIGIBLE_NO_OPTOUT_UTILITY	support.html	200 self canonical no noindex in sitemap robots allowed	Indexable utility; no commercial cluster ownership implied
M13SURF_INSTALL	https://octoport.ru/install	SERVICE_INSTALL_STATUS	ALLOW	NOINDEX_FOLLOW	https://octoport.ru/install	EXCLUDE	NOT_INDEXABLE_CURRENT_STATE	install.html	200 crawlable robots meta noindex,follow absent sitemap	Reopen indexability when official installation/catalog availability becomes true
M13SURF_ROBOTS	https://octoport.ru/robots.txt	CRAWLER_POLICY	PUBLIC	N/A	N/A	EXCLUDE	MUST_NOT_DISALLOW_YANDEX_ADDITIONAL	robots.txt	200 text/plain canonical sitemap line; no block for privacy/support/install/favicon/CSS; no YandexAdditional opt-out	Crawler policy only
M13SURF_SITEMAP	https://octoport.ru/sitemap.xml	SITEMAP	PUBLIC	N/A	N/A	EXCLUDE	N/A	sitemap.xml	200 XML exact canonical loc set = HOME + analytics + privacy + support	Sitemap lists all intentionally indexable canonical URLs, not only commercial SEO owners
M13SURF_APP	https://app.octoport.ru/	APPLICATION_PORTAL	SEPARATE_INGRESS	X_ROBOTS_TAG_NOINDEX_NOFOLLOW_NOARCHIVE	N/A	EXCLUDE	N/A	octoport-apps.conf DO_NOT_CHANGE	X-Robots and portal health/auth guard preserved	Outside public-site SEO ownership
M13SURF_API	https://api.octoport.ru/	APPLICATION_API	SEPARATE_INGRESS	X_ROBOTS_TAG_NOINDEX_NOFOLLOW_NOARCHIVE	N/A	EXCLUDE	N/A	octoport-apps.conf DO_NOT_CHANGE	X-Robots and API routing preserved	Outside public-site SEO ownership
M13SURF_FAVICON	https://octoport.ru/favicon.png	SEARCH_APPEARANCE_FAVICON	ALLOW	N/A	N/A	EXCLUDE	N/A	favicon.png;index.html;robots.txt	direct 200 image/png no redirect; 120x120; HOME rel=icon; crawlable	Eligibility/display in results is not guaranteed
