route_case_id	request_scheme	request_host	request_path	request_class	expected_status	expected_location	canonical_target	indexability	sitemap_state	acceptance_check	claim_boundary
M13ROUTE001	https	octoport.ru	/	CANONICAL_HTML	200	NONE	https://octoport.ru/	INDEXABLE	IN_SITEMAP	200; exact self canonical; robots state matches indexability	Canonical route only
M13ROUTE002	https	octoport.ru	/seller-analytics	CANONICAL_HTML	200	NONE	https://octoport.ru/seller-analytics	INDEXABLE	IN_SITEMAP	200; exact self canonical; robots state matches indexability	Canonical route only
M13ROUTE003	https	octoport.ru	/privacy	CANONICAL_HTML	200	NONE	https://octoport.ru/privacy	INDEXABLE_UTILITY	IN_SITEMAP	200; exact self canonical; no noindex; in sitemap	Canonical route only
M13ROUTE004	https	octoport.ru	/support	CANONICAL_HTML	200	NONE	https://octoport.ru/support	INDEXABLE_UTILITY	IN_SITEMAP	200; exact self canonical; no noindex; in sitemap	Canonical route only
M13ROUTE005	https	octoport.ru	/install	CANONICAL_HTML	200	NONE	https://octoport.ru/install	NOINDEX_FOLLOW	EXCLUDED	200; exact self canonical; robots noindex,follow; absent sitemap	Canonical route only
M13ROUTE006	https	octoport.ru	/robots.txt	PUBLIC_ASSET	200	NONE	N/A	NOT_HTML	EXCLUDED	200 and expected content type text/plain	Asset route, not page owner
M13ROUTE007	https	octoport.ru	/sitemap.xml	PUBLIC_ASSET	200	NONE	N/A	NOT_HTML	EXCLUDED	200 and expected content type application/xml	Asset route, not page owner
M13ROUTE008	https	octoport.ru	/styles.css	PUBLIC_ASSET	200	NONE	N/A	NOT_HTML	EXCLUDED	200 and expected content type text/css	Asset route, not page owner
M13ROUTE009	https	octoport.ru	/index.html	KNOWN_ALIAS	308	https://octoport.ru/	https://octoport.ru/	ALIAS_NOT_INDEXABLE	EXCLUDED	No-follow curl returns 308 exact Location and no loop	Known alias only; unknown remains 404
M13ROUTE010	https	octoport.ru	/seller-analytics.html	KNOWN_ALIAS	308	https://octoport.ru/seller-analytics	https://octoport.ru/seller-analytics	ALIAS_NOT_INDEXABLE	EXCLUDED	No-follow curl returns 308 exact Location and no loop	Known alias only; unknown remains 404
M13ROUTE011	https	octoport.ru	/privacy.html	KNOWN_ALIAS	308	https://octoport.ru/privacy	https://octoport.ru/privacy	ALIAS_NOT_INDEXABLE	EXCLUDED	No-follow curl returns 308 exact Location and no loop	Known alias only; unknown remains 404
M13ROUTE012	https	octoport.ru	/support.html	KNOWN_ALIAS	308	https://octoport.ru/support	https://octoport.ru/support	ALIAS_NOT_INDEXABLE	EXCLUDED	No-follow curl returns 308 exact Location and no loop	Known alias only; unknown remains 404
M13ROUTE013	https	octoport.ru	/install.html	KNOWN_ALIAS	308	https://octoport.ru/install	https://octoport.ru/install	ALIAS_NOT_INDEXABLE	EXCLUDED	No-follow curl returns 308 exact Location and no loop	Known alias only; unknown remains 404
M13ROUTE014	https	octoport.ru	/seller-analytics/	KNOWN_ALIAS	308	https://octoport.ru/seller-analytics	https://octoport.ru/seller-analytics	ALIAS_NOT_INDEXABLE	EXCLUDED	No-follow curl returns 308 exact Location and no loop	Known alias only; unknown remains 404
M13ROUTE015	https	octoport.ru	/privacy/	KNOWN_ALIAS	308	https://octoport.ru/privacy	https://octoport.ru/privacy	ALIAS_NOT_INDEXABLE	EXCLUDED	No-follow curl returns 308 exact Location and no loop	Known alias only; unknown remains 404
M13ROUTE016	https	octoport.ru	/support/	KNOWN_ALIAS	308	https://octoport.ru/support	https://octoport.ru/support	ALIAS_NOT_INDEXABLE	EXCLUDED	No-follow curl returns 308 exact Location and no loop	Known alias only; unknown remains 404
M13ROUTE017	https	octoport.ru	/install/	KNOWN_ALIAS	308	https://octoport.ru/install	https://octoport.ru/install	ALIAS_NOT_INDEXABLE	EXCLUDED	No-follow curl returns 308 exact Location and no loop	Known alias only; unknown remains 404
M13ROUTE018	http	octoport.ru	/<ordinary-known-path>?<query>	HTTP_APEX_NORMALIZATION	308	https://octoport.ru/<same-path>?<same-query>	https://octoport.ru/<same-path>	DEPENDS_ON_TARGET	DEPENDS_ON_TARGET	Direct normalization preserving path/query; no loop	ACME challenge exception allowed
M13ROUTE019	http	www.octoport.ru	/<ordinary-known-path>?<query>	HTTP_WWW_SINGLE_HOP	308	https://octoport.ru/<same-path>?<same-query>	https://octoport.ru/<same-path>	DEPENDS_ON_TARGET	DEPENDS_ON_TARGET	Direct normalization preserving path/query; no loop	ACME challenge exception allowed
M13ROUTE020	https	www.octoport.ru	/<ordinary-known-path>?<query>	HTTPS_WWW_NORMALIZATION	308	https://octoport.ru/<same-path>?<same-query>	https://octoport.ru/<same-path>	DEPENDS_ON_TARGET	DEPENDS_ON_TARGET	Direct normalization preserving path/query; no loop	ACME challenge exception allowed
M13ROUTE021	https	octoport.ru	/<unknown>	UNKNOWN_ROUTE	404	NONE	NONE	NOT_INDEXABLE	EXCLUDED	Unknown path returns 404 and no Location	No soft redirect to HOME
M13ROUTE022	https	octoport.ru	/favicon.png	PUBLIC_SEARCH_APPEARANCE_ASSET	200	NONE	N/A	NOT_HTML_ASSET	EXCLUDED	200 direct response; no Location; Content-Type image/png; PNG 120x120; crawlable	Favicon eligibility/display is not guaranteed
