authorized_competitor_id	authorized_competitor_name	role_class	queries_visible_top100	queries_visible_top20	queries_visible_top10	queries_visible_top3	total_ranking_occurrences_top100	best_rank	ranking_url_count	ranking_urls	query_ids	rank_bucket_counts	ambiguous_rows_related	current_visibility_status	claim_boundary
REG001	Ai007	RELEVANT_ONE_OFF_PRODUCT_VENDOR	3	2	1	1	4	3	2	https://www.ai007.io/ || https://www.ai007.io/blog/ii-agent-vs-servisy-excel-chatgpt.html	M4QR2Q00006 || M4QR2Q00008 || M4QR2Q00028	TOP3:1 || TOP10:0 || 11_20:1 || 21_100:2	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG002	Aimarketcap	RELEVANT_ONE_OFF_PRODUCT_VENDOR	2	0	0	0	3	39	2	https://aimarketcap.ru/guides/aidentika-marketplace-guide/ || https://aimarketcap.ru/guides/nejroset-dlya-kartochek-marketplejsa/	M4QR2Q00008 || M4QR2Q00011	TOP3:0 || TOP10:0 || 11_20:0 || 21_100:3	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG003	Ainsider	RELEVANT_ONE_OFF_PRODUCT_VENDOR	2	1	1	0	2	7	2	https://ainsider.ru/ || https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse	M4QR2Q00007 || M4QR2Q00028	TOP3:0 || TOP10:1 || 11_20:0 || 21_100:1	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR	4	1	1	0	5	7	4	https://albato.ru/app-ozon || https://albato.ru/app-wildberries || https://albato.ru/integration-getcourse-wildberries || https://albato.ru/integration-openai-ozon	M4QR2Q00001 || M4QR2Q00006 || M4QR2Q00007 || M4QR2Q00013	TOP3:0 || TOP10:1 || 11_20:0 || 21_100:4	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG005	Api Master	EDITORIAL_OR_PUBLISHER	8	5	4	3	12	1	5	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb || https://api-master.ru/claude-code/wb-ozon-api-sql-mcp || https://api-master.ru/ozon-ads-agency || https://api-master.ru/services/chatgpt/ai-automation-for-wb-ozon-yandex-market-sellers || https://api-master.ru/services/ozon/accountant-marketplace-integrations	M4QR2Q00001 || M4QR2Q00002 || M4QR2Q00006 || M4QR2Q00007 || M4QR2Q00008 || M4QR2Q00013 || M4QR2Q00016 || M4QR2Q00037	TOP3:3 || TOP10:1 || 11_20:2 || 21_100:6	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG006	Apimonster	OTHER_RELEVANT_CONTEXT	3	3	3	2	6	2	6	https://apimonster.ru/connector/bundle/avito/openai/ || https://apimonster.ru/connector/bundle/chatgptAssistants/wildberries/ || https://apimonster.ru/connector/bundle/moysklad/openai/ || https://apimonster.ru/connector/bundle/openai/ozon/ || https://apimonster.ru/connector/bundle/ozon/callparser/ || https://apimonster.ru/connector/bundle/ozon/chatgptMarketingAssistant/	M4QR2Q00001 || M4QR2Q00002 || M4QR2Q00013	TOP3:2 || TOP10:3 || 11_20:0 || 21_100:1	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG007	Ascn	RELEVANT_ONE_OFF_PRODUCT_VENDOR	4	2	1	0	4	8	1	https://ascn.ai/ru/blog-no-code/ii-agenty-dlya-marketpleysov	M4QR2Q00006 || M4QR2Q00007 || M4QR2Q00008 || M4QR2Q00026	TOP3:0 || TOP10:1 || 11_20:1 || 21_100:2	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG008	Asibiont	SERVICE_OR_AGENCY	1	1	0	0	1	14	1	https://asibiont.com/blog/ozon-integration-with-ai-agent-automate-your-seller-operations-without-a-single-line-of-code	M4QR2Q00007	TOP3:0 || TOP10:0 || 11_20:1 || 21_100:0	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG009	Berkuz	RECURRING_PRODUCT_VENDOR	8	6	4	1	8	1	1	https://berkuz.ru/	M4QR2Q00006 || M4QR2Q00007 || M4QR2Q00008 || M4QR2Q00021 || M4QR2Q00023 || M4QR2Q00024 || M4QR2Q00026 || M4QR2Q00028	TOP3:1 || TOP10:3 || 11_20:2 || 21_100:2	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG010	Habr	EDITORIAL_OR_PUBLISHER	23	8	4	2	49	1	32	https://habr.com/ru/articles/1001180/ || https://habr.com/ru/articles/1010000/ || https://habr.com/ru/articles/542890/ || https://habr.com/ru/articles/670726/ || https://habr.com/ru/articles/704600/ || https://habr.com/ru/articles/719834/ || https://habr.com/ru/articles/755896/ || https://habr.com/ru/articles/764440/ || https://habr.com/ru/articles/775760/ || https://habr.com/ru/articles/805669/ || https://habr.com/ru/articles/812713/ || https://habr.com/ru/articles/873210/ || https://habr.com/ru/articles/881570/ || https://habr.com/ru/articles/885118/ || https://habr.com/ru/articles/922340/ || https://habr.com/ru/companies/Exnode/articles/1073076/ || https://habr.com/ru/companies/agima/articles/987918/ || https://habr.com/ru/companies/era2/articles/1041878/ || https://habr.com/ru/companies/ggsel/articles/950760/ || https://habr.com/ru/companies/ggsel_marketplace/articles/1075984/ || https://habr.com/ru/companies/mako_digital/articles/800069/ || https://habr.com/ru/companies/mako_digital/articles/802133/ || https://habr.com/ru/companies/mako_digital/articles/853014/ || https://habr.com/ru/companies/moysklad/articles/821851/ || https://habr.com/ru/companies/moysklad/articles/834674/ || https://habr.com/ru/companies/moysklad/articles/846064/ || https://habr.com/ru/companies/oplatym/articles/1077562/ || https://habr.com/ru/companies/paybeam/articles/1034420/ || https://habr.com/ru/companies/ranvik/articles/1028766/ || https://habr.com/ru/companies/tehrevizor/articles/1004884/ || https://habr.com/ru/news/675984/ || https://habr.com/ru/news/879978/	M4QR2Q00001 || M4QR2Q00005 || M4QR2Q00006 || M4QR2Q00007 || M4QR2Q00008 || M4QR2Q00013 || M4QR2Q00014 || M4QR2Q00016 || M4QR2Q00017 || M4QR2Q00018 || M4QR2Q00020 || M4QR2Q00023 || M4QR2Q00028 || M4QR2Q00030 || M4QR2Q00031 || M4QR2Q00037 || M4QR2Q00038 || M4QR2Q00039 || M4QR2Q00040 || M4QR2Q00042 || M4QR2Q00043 || M4QR2Q00044 || M4QR2Q00045	TOP3:2 || TOP10:2 || 11_20:7 || 21_100:38	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
