execution_query_id	exact_query_text	authorized_competitor_id	authorized_competitor_name	competitor_role_class	rank	rank_bucket	ranking_url	ranking_host	title	snippet_or_passage	match_basis	match_confidence	source_item_index	operation_id	m4c_exact_url_match_status	m4c_url_id	m3_relation	information_gain_question	downstream_decision	stop_interpretation	claim_boundary
M4QR2Q00001	chatgpt для ozon	REG005	Api Master	EDITORIAL_OR_PUBLISHER	1	TOP3	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	api-master.ru	Как правильно подключать chatGPT к OZON и WB. С помощью...	Подключить ChatGPT к Ozon или WB можно за 5 минут — просто вставить токен API в Actions. … Самое важное в такой системе — не просто дать ChatGPT доступ к API Ozon или WB. Сначала данные собираются по десяткам отдельных отчётов и эндпоинтов, приводятся к единому формату и сохраняются в базе.	EXACT_ACCEPTED_M4C_URL_AND_HOST	HIGH	0	spr5mar31fe2ahpk49u4	EXACT_M4C_URL_MATCH	M4CURL001604	ACCEPTED_M3_R02_HISTORICAL_TOP20	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	REG006	Apimonster	OTHER_RELEVANT_CONTEXT	2	TOP3	https://apimonster.ru/connector/bundle/openai/ozon/	apimonster.ru	Интеграция OpenAI / ChatGpt (ОпенАИ / ЧатГпт) и Ozon...	Интеграция OpenAI / ChatGpt и Ozon. По API без программиста. Подключение за 5 минут, 30 дней на тесты. … Интеграция OpenAI и Ozon через ApiMonster — мощный инструмент для автоматизации продаж на маркетплейсе. Коннектор связывает ChatGPT с вашим магазином на Озон без программирования.	EXACT_AUTHORIZED_REGISTRY_DOMAIN	HIGH	0	spr5mar31fe2ahpk49u4	NO_EXACT_M4C_URL_MATCH		ACCEPTED_M3_R02_HISTORICAL_TOP20	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	REG015	Jafo	RECURRING_PRODUCT_VENDOR	3	TOP3	https://jafo.ru/blog/podklyuchit-claude-chatgpt-k-wildberries-ozon	jafo.ru	Как подключить Claude или ChatGPT к Wildberries и Ozon...	Ключи кабинета не попадают в ИИ-сервис. Токены Wildberries и Ozon остаются на стороне Jafo в зашифрованном виде — Claude или ChatGPT их не видит и не может передать дальше. Данные покупателей (ФИО, телефон, адрес) не отдаются вообще: для работы с заказом хватает номера, состава и состояния.	EXACT_ACCEPTED_M4C_URL_AND_HOST	HIGH	0	spr5mar31fe2ahpk49u4	EXACT_M4C_URL_MATCH	M4CURL002308	ACCEPTED_M3_R02_HISTORICAL_TOP20	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	REG030	Ozon	NATIVE_MARKETPLACE_BASELINE	4	TOP10	https://www.ozon.ru/product/chatgpt-plus-gpt-5-6-na-1-mesyats-maksimum-vozmozhnostey-ii-rabota-ucheba-biznes-sovmestnyy-dostup-5543975862/	www.ozon.ru	ChatGPT Plus GPT-5.6 на 1 месяц Максимум возможностей ИИ...		EXACT_ACCEPTED_M4A_RANKING_HOST	HIGH	0	spr5mar31fe2ahpk49u4	NO_EXACT_M4C_URL_MATCH		ACCEPTED_M3_R02_HISTORICAL_TOP20	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	REG006	Apimonster	OTHER_RELEVANT_CONTEXT	5	TOP10	https://apimonster.ru/connector/bundle/ozon/callparser/	apimonster.ru	Интеграция Ozon (Озон) и Транскрибация и речевая аналитика...	Интеграция Ozon и Транскрибация и речевая аналитика через ChatGPT. По API без программиста. … Интеграция Ozon и Callparser от ApiMonster позволяет автоматизировать передачу данных между маркетплейсом и сервисом коллтрекинга. Настройте надежный обмен информацией без навыков программирования.	EXACT_AUTHORIZED_REGISTRY_DOMAIN	HIGH	0	spr5mar31fe2ahpk49u4	NO_EXACT_M4C_URL_MATCH		ACCEPTED_M3_R02_HISTORICAL_TOP20	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	REG030	Ozon	NATIVE_MARKETPLACE_BASELINE	6	TOP10	https://seller.ozon.ru/media/boost/7-nejrosetej-dlya-prodavcov-na-marketplejsah/	seller.ozon.ru	Нейросети и ИИ для маркетплейса Ozon: как автоматизировать...	Чтобы ChatGPT вас идеально понял, нужно давать ему прямое указание, например: «Напиши текст для карточки товара на Ozon по следующим вводным» — и перечислить важную информацию, которую вы хотите отразить в описании. Первый вариант, скорее всего, не будет идеальным. Укажите, что нужно скорректировать.	EXACT_ACCEPTED_M4C_URL_AND_HOST	HIGH	0	spr5mar31fe2ahpk49u4	EXACT_M4C_URL_MATCH	M4CURL003338	ACCEPTED_M3_R02_HISTORICAL_TOP20	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR	7	TOP10	https://albato.ru/integration-openai-ozon	albato.ru	Интеграция ChatGPT (OpenAI) с Ozon Seller — синхронизируем...	Создавайте интеграции ChatGPT (OpenAI) и Ozon Seller с более чем 1 000 сервисами. Настройте передачу данных и автоматизируйте любые процессы под свои задачи. Автоматизация ChatGPT (OpenAI): интеграции с CRM, рекламой и мессенджерами.	EXACT_ACCEPTED_M4C_URL_AND_HOST	HIGH	0	spr5mar31fe2ahpk49u4	EXACT_M4C_URL_MATCH	M4CURL000838	ACCEPTED_M3_R02_HISTORICAL_TOP20	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	REG059	YouTube	EDITORIAL_OR_PUBLISHER	9	TOP10	https://www.youtube.com/watch?v=19SQhBg9Xz4	www.youtube.com	Карточка товара за 3 минуты в ChatGPT | Нейросеть для... - YouTube	В этом ролике покажу, как в ChatGPT любой селлер и предприниматель на маркетплейсах сможет создать дизайн инфографики для Wildberries и Ozon.	EXACT_ACCEPTED_M4C_URL_AND_HOST	HIGH	0	spr5mar31fe2ahpk49u4	EXACT_M4C_URL_MATCH	M4CURL015461	ACCEPTED_M3_R02_HISTORICAL_TOP20	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	REG006	Apimonster	OTHER_RELEVANT_CONTEXT	10	TOP10	https://apimonster.ru/connector/bundle/ozon/chatgptMarketingAssistant/	apimonster.ru	Интеграция Ozon (Озон) и ChatGPT marketing assistant...	Интеграция Ozon и ChatGPT marketing assistant. По API без программиста. Подключение за 5 минут, 30 дней на тесты. … 6 Создать требуемое действие для ChatGPT marketing assistant, указав в какие поля ChatGPT marketing assistant передавать значения полей из Ozon. 7 Настроить фильтры для каждого шага при необходимости.	EXACT_AUTHORIZED_REGISTRY_DOMAIN	HIGH	0	spr5mar31fe2ahpk49u4	NO_EXACT_M4C_URL_MATCH		ACCEPTED_M3_R02_HISTORICAL_TOP20	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
M4QR2Q00001	chatgpt для ozon	REG052	VC.ru	EDITORIAL_OR_PUBLISHER	11	11_20	https://vc.ru/id3015683/2611951-sozdanie-kartochki-tovara-dlya-marketpleysov-s-pomoshchyu-neyroseti	vc.ru	Как с помощью нейросети создать карточку товара для...	Показываю, как даже из фото с телефона сделать профессиональную карточку товара, которая выделяется на Ozon и Wildberries. Практические советы, ошибки, лучшие нейросети для карточек товара. … День рождения, сезонные распродажи. Если идеи закончились — обращаемся к любой текстовой модели: ChatGPT, DeepSeek, YandexGPT.	EXACT_AUTHORIZED_REGISTRY_DOMAIN	HIGH	0	spr5mar31fe2ahpk49u4	NO_EXACT_M4C_URL_MATCH		ACCEPTED_M3_R02_HISTORICAL_TOP20	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	A valid top-100 zero means no authorized competitor observed for this exact wording at this time/region; it is not zero demand, zero indexed pages or exhaustive reverse-index recall. Stop at the planned depth and reconcile the named decision; no recursive query expansion.	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION
