execution_query_id	exact_query_text	query_authority_class	m3_relation	m2r_evidence_summary	information_gain_question	downstream_decision	total_serp_rows	authorized_competitor_occurrences_top100	authorized_competitors_unique_top100	authorized_competitors_top3	authorized_competitors_top10	authorized_competitors_top20	authorized_competitors_21_100	top3_competitor_ids	top10_competitor_ids	top20_competitor_ids	top100_competitor_ids	native_marketplace_occurrences	ambiguous_match_count	no_authorized_competitor_top100	m3_historical_comparison_status	m3_material_change_summary	m4q_decision_effect	m4c_dependency_effect	m6_routing_effect	stop_rule_satisfied	evidence_boundary_notes
M4QR2Q00001	chatgpt для ozon	M3_AND_M2R_QUERY_AUTHORITY	ACCEPTED_M3_R02_HISTORICAL_TOP20	301:TOTALCOUNT_ONLY_SEED:count=NONE:seed_total=9:family=F2/:intent=connect_own_llm:market=OZON:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B01/B01-10:Historical B01 durable transcription:reconciled=Preserved totalcount_only_seed with independent conservative classification.	For accepted M3 R02 exact «chatgpt для ozon», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific own-AI intent and expected data/API access.	M4Q R02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	100	41	15	3	6	8	11	REG005 || REG006 || REG015	REG004 || REG005 || REG006 || REG015 || REG030 || REG059	REG004 || REG005 || REG006 || REG015 || REG030 || REG046 || REG052 || REG059	REG004 || REG005 || REG006 || REG010 || REG015 || REG017 || REG028 || REG030 || REG031 || REG033 || REG038 || REG046 || REG052 || REG053 || REG059	4	0	false	MIXED_CHANGE	Historical accepted M4A R02 2026-09-16/17 top20 versus current 2026-09-23 top20; authorized competitors gained=NONE; lost=['REG017', 'REG053']; ranking URL set changed=['REG005', 'REG006', 'REG030', 'REG052']; current authorized rows at 21–100=24; current ambiguous top20=0. This is descriptive snapshot comparison, not causal or demand change.	ENRICH_KNOWN_QUERY_VISIBILITY	ENRICH_ACCEPTED_CONTEXT	KEEP_EXISTING_VALIDATION_ROUTE	YES_BOUND_TOP100_COMPLETE; no provider/query expansion; M6 validation unresolved	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; default/unspecified device; zero authorized visibility is a bounded negative observation.
M4QR2Q00002	chatgpt для wildberries	M3_AND_M2R_QUERY_AUTHORITY	ACCEPTED_M3_R03_HISTORICAL_TOP20	302:TOTALCOUNT_ONLY_SEED:count=NONE:seed_total=10:family=F2/:intent=connect_own_llm:market=WILDBERRIES:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B01/B01-11:Historical B01 durable transcription:reconciled=Preserved totalcount_only_seed with independent conservative classification.	For accepted M3 R03 exact «chatgpt для wildberries», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: WB-specific own-AI intent and difference from Ozon.	M4Q R03 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	100	43	12	3	7	10	5	REG005 || REG006 || REG015	REG005 || REG006 || REG015 || REG019 || REG046 || REG052 || REG059	REG005 || REG006 || REG015 || REG019 || REG033 || REG038 || REG046 || REG052 || REG053 || REG059	REG005 || REG006 || REG015 || REG019 || REG028 || REG031 || REG033 || REG038 || REG046 || REG052 || REG053 || REG059	0	3	false	MIXED_CHANGE	Historical accepted M4A R03 2026-09-16/17 top20 versus current 2026-09-23 top20; authorized competitors gained=NONE; lost=['REG017']; ranking URL set changed=['REG006', 'REG019', 'REG033', 'REG053', 'REG059']; current authorized rows at 21–100=23; current ambiguous top20=0. This is descriptive snapshot comparison, not causal or demand change.	ENRICH_KNOWN_QUERY_VISIBILITY	TARGETED_RECHECK_CANDIDATE	KEEP_EXISTING_VALIDATION_ROUTE	YES_BOUND_TOP100_COMPLETE; no provider/query expansion; M6 validation unresolved	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; default/unspecified device; zero authorized visibility is a bounded negative observation.
M4QR2Q00003	анализ ниш wildberries для продавца	M3_EXACT_QUERY_AUTHORITY	ACCEPTED_M3_R10_HISTORICAL_TOP20	NO_EXACT_M2R_SOURCE	For accepted M3 R10 exact «анализ ниш wildberries для продавца», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: native niche-analysis demand and whether users expect broader external market intelligence.	M4Q R10 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	100	53	21	3	8	10	17	REG027 || REG043 || REG055	REG024 || REG027 || REG036 || REG038 || REG043 || REG054 || REG055 || REG056	REG024 || REG027 || REG028 || REG036 || REG038 || REG043 || REG052 || REG054 || REG055 || REG056	REG011 || REG013 || REG015 || REG022 || REG023 || REG024 || REG025 || REG026 || REG027 || REG028 || REG031 || REG036 || REG038 || REG039 || REG043 || REG052 || REG053 || REG054 || REG055 || REG056 || REG059	3	1	false	MIXED_CHANGE	Historical accepted M4A R10 2026-09-16/17 top20 versus current 2026-09-23 top20; authorized competitors gained=NONE; lost=['REG019', 'REG053']; ranking URL set changed=['REG024', 'REG036', 'REG038', 'REG043', 'REG052', 'REG054']; current authorized rows at 21–100=38; current ambiguous top20=0. This is descriptive snapshot comparison, not causal or demand change.	ENRICH_KNOWN_QUERY_VISIBILITY	TARGETED_RECHECK_CANDIDATE	KEEP_EXISTING_VALIDATION_ROUTE	YES_BOUND_TOP100_COMPLETE; no provider/query expansion; M6 validation unresolved	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; default/unspecified device; zero authorized visibility is a bounded negative observation.
M4QR2Q00004	аналитика маркетплейсов для селлеров	M3_EXACT_QUERY_AUTHORITY	ACCEPTED_M3_R04_HISTORICAL_TOP20	NO_EXACT_M2R_SOURCE	For accepted M3 R04 exact «аналитика маркетплейсов для селлеров», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: whether live intent resolves to seller-owned analytics, external market intelligence, service discovery or human profession/training.	M4Q R04 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	100	39	25	2	7	12	17	REG023 || REG037	REG020 || REG023 || REG025 || REG030 || REG037 || REG039 || REG041	REG020 || REG023 || REG025 || REG028 || REG030 || REG037 || REG038 || REG039 || REG040 || REG041 || REG047 || REG049	REG011 || REG012 || REG013 || REG015 || REG020 || REG022 || REG023 || REG024 || REG025 || REG026 || REG027 || REG028 || REG030 || REG036 || REG037 || REG038 || REG039 || REG040 || REG041 || REG043 || REG046 || REG047 || REG049 || REG052 || REG057	1	1	false	MIXED_CHANGE	Historical accepted M4A R04R1 2026-09-16/17 top20 versus current 2026-09-23 top20; authorized competitors gained=['REG038']; lost=['REG026', 'REG058']; ranking URL set changed=['REG025', 'REG037', 'REG047']; current authorized rows at 21–100=25; current ambiguous top20=0. This is descriptive snapshot comparison, not causal or demand change.	ENRICH_KNOWN_QUERY_VISIBILITY	TARGETED_RECHECK_CANDIDATE	KEEP_EXISTING_VALIDATION_ROUTE	YES_BOUND_TOP100_COMPLETE; no provider/query expansion; M6 validation unresolved	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; default/unspecified device; zero authorized visibility is a bounded negative observation.
M4QR2Q00005	аналитика рекламы маркетплейсов	M3_AND_M2R_QUERY_AUTHORITY	ACCEPTED_M3_R08_HISTORICAL_TOP20	1026:TESTED_SEED:count=NONE:seed_total=33:family=F6/:intent=advertising_analysis:market=GENERIC_MARKETPLACE:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=M2R/M2R-A10:Exact provider envelope:reconciled=Preserved tested_seed with independent conservative classification.	For accepted M3 R08 exact «аналитика рекламы маркетплейсов», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: analytics/diagnostics intent versus agencies and bid-automation tools.	M4Q R08 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	100	42	26	2	5	8	23	REG024 || REG057	REG024 || REG028 || REG046 || REG052 || REG057	REG024 || REG025 || REG028 || REG043 || REG046 || REG047 || REG052 || REG057	REG010 || REG011 || REG015 || REG016 || REG020 || REG022 || REG023 || REG024 || REG025 || REG026 || REG027 || REG028 || REG030 || REG031 || REG037 || REG039 || REG040 || REG041 || REG043 || REG046 || REG047 || REG048 || REG049 || REG052 || REG057 || REG058	1	1	false	HOLD_COMPARABILITY	Historical accepted M4A R08 2026-09-16/17 top20 versus current 2026-09-23 top20; authorized competitors gained=['REG043', 'REG047', 'REG052']; lost=['REG016', 'REG017', 'REG020', 'REG022', 'REG023', 'REG026', 'REG030', 'REG040', 'REG049', 'REG058']; ranking URL set changed=['REG024', 'REG025', 'REG028', 'REG057']; current authorized rows at 21–100=30; current ambiguous top20=1. This is descriptive snapshot comparison, not causal or demand change.	HOLD_IDENTITY_OR_COMPARABILITY	TARGETED_RECHECK_CANDIDATE	KEEP_EXISTING_VALIDATION_ROUTE	YES_BOUND_TOP100_COMPLETE; no provider/query expansion; M6 validation unresolved	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; default/unspecified device; zero authorized visibility is a bounded negative observation.
M4QR2Q00006	ии агент для wildberries	M3_AND_M2R_QUERY_AUTHORITY	ACCEPTED_M3_S03_HISTORICAL_TOP20	240:DIRECT_RESULT:count=20:seed_total=225:family=F1/:intent=ai_agent_category:market=WILDBERRIES:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B01/B01-07:Historical B01 durable transcription:reconciled=Preserved direct_result with independent conservative classification. || 504:TESTED_SEED:count=NONE:seed_total=20:family=F1/:intent=ai_agent_category:market=WILDBERRIES:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-09:Exact provider envelope:reconciled=Preserved tested_seed with independent conservative classification. || 505:DIRECT_RESULT:count=20:seed_total=20:family=F1/:intent=ai_agent_category:market=WILDBERRIES:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-09:Exact provider envelope:reconciled=Preserved direct_result with independent conservative classification.	For accepted M3 S03 exact «ии агент для wildberries», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: WB-specific intent exists; generic core overlaps with marketplace-specific depth.	M4Q S03 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	100	53	24	3	9	11	19	REG001 || REG015 || REG052	REG001 || REG009 || REG011 || REG015 || REG021 || REG035 || REG046 || REG052 || REG060	REG001 || REG009 || REG010 || REG011 || REG015 || REG021 || REG035 || REG045 || REG046 || REG052 || REG060	REG001 || REG004 || REG005 || REG007 || REG009 || REG010 || REG011 || REG014 || REG015 || REG016 || REG021 || REG027 || REG031 || REG035 || REG045 || REG046 || REG047 || REG050 || REG051 || REG052 || REG054 || REG057 || REG059 || REG060	0	0	false	MIXED_CHANGE	Historical accepted M4A S03 2026-09-16/17 top20 versus current 2026-09-23 top20; authorized competitors gained=NONE; lost=['REG014', 'REG044', 'REG050', 'REG059']; ranking URL set changed=['REG010', 'REG015']; current authorized rows at 21–100=41; current ambiguous top20=0. This is descriptive snapshot comparison, not causal or demand change.	ENRICH_KNOWN_QUERY_VISIBILITY	ENRICH_ACCEPTED_CONTEXT	KEEP_EXISTING_VALIDATION_ROUTE	YES_BOUND_TOP100_COMPLETE; no provider/query expansion; M6 validation unresolved	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; default/unspecified device; zero authorized visibility is a bounded negative observation.
M4QR2Q00007	ии агент для озон	M3_AND_M2R_QUERY_AUTHORITY	ACCEPTED_M3_S02_HISTORICAL_TOP20	215:DIRECT_RESULT:count=40:seed_total=972:family=F1/:intent=ai_agent_category:market=OZON:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B01/B01-06:Historical B01 durable transcription:reconciled=Preserved direct_result with independent conservative classification. || 464:TESTED_SEED:count=NONE:seed_total=40:family=F1/:intent=ai_agent_category:market=OZON:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-07:Exact provider envelope:reconciled=Preserved tested_seed with independent conservative classification. || 465:DIRECT_RESULT:count=40:seed_total=40:family=F1/:intent=ai_agent_category:market=OZON:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-07:Exact provider envelope:reconciled=Preserved direct_result with independent conservative classification.	For accepted M3 S02 exact «ии агент для озон», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: Ozon-specific seller/API/data/agent intent exists.	M4Q S02 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	100	51	23	2	5	9	18	REG015 || REG052	REG003 || REG009 || REG015 || REG046 || REG052	REG003 || REG008 || REG009 || REG015 || REG021 || REG030 || REG045 || REG046 || REG052	REG003 || REG004 || REG005 || REG007 || REG008 || REG009 || REG010 || REG011 || REG012 || REG014 || REG015 || REG016 || REG021 || REG027 || REG028 || REG030 || REG045 || REG046 || REG047 || REG051 || REG052 || REG059 || REG060	2	0	false	MIXED_CHANGE	Historical accepted M4A S02 2026-09-16/17 top20 versus current 2026-09-23 top20; authorized competitors gained=['REG046']; lost=['REG014', 'REG017', 'REG044']; ranking URL set changed=['REG030', 'REG045', 'REG052']; current authorized rows at 21–100=38; current ambiguous top20=0. This is descriptive snapshot comparison, not causal or demand change.	ENRICH_KNOWN_QUERY_VISIBILITY	ENRICH_ACCEPTED_CONTEXT	KEEP_EXISTING_VALIDATION_ROUTE	YES_BOUND_TOP100_COMPLETE; no provider/query expansion; M6 validation unresolved	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; default/unspecified device; zero authorized visibility is a bounded negative observation.
M4QR2Q00008	ии агенты для маркетплейсов	M3_AND_M2R_QUERY_AUTHORITY	ACCEPTED_M3_S01_HISTORICAL_TOP20	14:DIRECT_RESULT:count=134:seed_total=3381:family=F1/:intent=ai_agent_category:market=GENERIC_MARKETPLACE:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B01/B01-01:Historical B01 durable transcription:reconciled=Preserved direct_result with independent conservative classification. || 346:TESTED_SEED:count=NONE:seed_total=134:family=F1/:intent=ai_agent_category:market=GENERIC_MARKETPLACE:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-01:Exact provider envelope:reconciled=Preserved tested_seed with independent conservative classification. || 347:DIRECT_RESULT:count=134:seed_total=134:family=F1/:intent=ai_agent_category:market=GENERIC_MARKETPLACE:fit=CORE_FIT:capability=CONFIRMED_ADDRESSABLE:observed=OBSERVED_WORDSTAT:lineage=B02/B02-01:Exact provider envelope:reconciled=Preserved direct_result with independent conservative classification.	For accepted M3 S01 exact «ии агенты для маркетплейсов», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: a real marketplace AI-agent SERP/category exists; not only creative-card generation.	M4Q S01 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	100	31	22	3	8	15	11	REG009 || REG018 || REG047	REG007 || REG009 || REG010 || REG011 || REG016 || REG018 || REG028 || REG047	REG007 || REG009 || REG010 || REG011 || REG015 || REG016 || REG018 || REG021 || REG028 || REG029 || REG042 || REG045 || REG047 || REG051 || REG052	REG001 || REG002 || REG005 || REG007 || REG009 || REG010 || REG011 || REG012 || REG015 || REG016 || REG018 || REG021 || REG027 || REG028 || REG029 || REG035 || REG042 || REG045 || REG046 || REG047 || REG051 || REG052	0	0	false	MIXED_CHANGE	Historical accepted M4A S01 2026-09-16/17 top20 versus current 2026-09-23 top20; authorized competitors gained=['REG052']; lost=['REG027']; ranking URL set changed=['REG010', 'REG016', 'REG029', 'REG042', 'REG047', 'REG051']; current authorized rows at 21–100=14; current ambiguous top20=0. This is descriptive snapshot comparison, not causal or demand change.	ENRICH_KNOWN_QUERY_VISIBILITY	TARGETED_RECHECK_CANDIDATE	KEEP_EXISTING_VALIDATION_ROUTE	YES_BOUND_TOP100_COMPLETE; no provider/query expansion; M6 validation unresolved	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; default/unspecified device; zero authorized visibility is a bounded negative observation.
M4QR2Q00009	как заполнить карточку товара wildberries	M3_AND_M2R_QUERY_AUTHORITY	ACCEPTED_M3_R07_HISTORICAL_TOP20	1087:TOTALCOUNT_ONLY_SEED:count=NONE:seed_total=34:family=F8/:intent=procedural_cabinet_help:market=WILDBERRIES:fit=ADJACENT:capability=SOURCE_CONFIRMED_NON_API_KNOWLEDGE:observed=OBSERVED_WORDSTAT:lineage=M2R/M2R-A17:Exact provider envelope:reconciled=Preserved totalcount_only_seed with independent conservative classification.	For accepted M3 R07 exact «как заполнить карточку товара wildberries», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: operational card workflow intent versus creative generators and generic education.	M4Q R07 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	100	30	16	3	9	13	8	REG043 || REG055 || REG057	REG022 || REG024 || REG031 || REG038 || REG043 || REG047 || REG048 || REG055 || REG057	REG013 || REG022 || REG024 || REG028 || REG031 || REG038 || REG042 || REG043 || REG047 || REG048 || REG054 || REG055 || REG057	REG013 || REG022 || REG024 || REG028 || REG031 || REG036 || REG038 || REG042 || REG043 || REG047 || REG048 || REG052 || REG054 || REG055 || REG057 || REG059	1	2	false	MIXED_CHANGE	Historical accepted M4A R07 2026-09-16/17 top20 versus current 2026-09-23 top20; authorized competitors gained=['REG028']; lost=['REG032', 'REG033']; ranking URL set changed=['REG022', 'REG024', 'REG042', 'REG043', 'REG047', 'REG048', 'REG054', 'REG055', 'REG057']; current authorized rows at 21–100=13; current ambiguous top20=0. This is descriptive snapshot comparison, not causal or demand change.	ENRICH_KNOWN_QUERY_VISIBILITY	TARGETED_RECHECK_CANDIDATE	KEEP_EXISTING_VALIDATION_ROUTE	YES_BOUND_TOP100_COMPLETE; no provider/query expansion; M6 validation unresolved	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; default/unspecified device; zero authorized visibility is a bounded negative observation.
M4QR2Q00010	как работать в кабинете wildberries продавцу	M3_EXACT_QUERY_AUTHORITY	ACCEPTED_M3_R11_HISTORICAL_TOP20	NO_EXACT_M2R_SOURCE	For accepted M3 R11 exact «как работать в кабинете wildberries продавцу», do any of the current 60 competitors enter ranks 21–100 or change ranking URL/position versus the 2026-09-16/17 top-20 baseline? Accepted control decision: procedural seller-help intent and preferred authority/source type.	M4Q R11 current/deep competitor-visibility control; revisit M4C/M6 route only if the competitor set or ranking URL materially changes.	100	40	23	3	7	10	19	REG043 || REG054 || REG055	REG031 || REG042 || REG043 || REG047 || REG048 || REG054 || REG055	REG013 || REG024 || REG031 || REG038 || REG042 || REG043 || REG047 || REG048 || REG054 || REG055	REG011 || REG013 || REG015 || REG016 || REG022 || REG024 || REG027 || REG028 || REG031 || REG035 || REG036 || REG038 || REG039 || REG042 || REG043 || REG047 || REG048 || REG051 || REG052 || REG054 || REG055 || REG057 || REG059	2	3	false	MIXED_CHANGE	Historical accepted M4A R11 2026-09-16/17 top20 versus current 2026-09-23 top20; authorized competitors gained=NONE; lost=['REG028']; ranking URL set changed=['REG024', 'REG031', 'REG042', 'REG043', 'REG047', 'REG048', 'REG054', 'REG055']; current authorized rows at 21–100=27; current ambiguous top20=0. This is descriptive snapshot comparison, not causal or demand change.	ENRICH_KNOWN_QUERY_VISIBILITY	TARGETED_RECHECK_CANDIDATE	KEEP_EXISTING_VALIDATION_ROUTE	YES_BOUND_TOP100_COMPLETE; no provider/query expansion; M6 validation unresolved	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; default/unspecified device; zero authorized visibility is a bounded negative observation.
