registry_id	entity_name_or_hold	registrable_domain	candidate_class	inclusion_basis	all_query_coverage	top3_query_coverage	top10_query_coverage	rank11_20_query_coverage	target_relevant_query_coverage	distinct_ranking_urls	authority_query_ids	query_families	collision_or_uncertainty_exposure	metric_granularity_notes	m4b_priority	selection_rationale	source_occurrence_ids	m4a_domain_recurrence_id	m4a_collision_ledger_ids	m4a_page_candidate_ids	m4b_lane	source_layers_present	deduped_url_count	content_evidence_url_count	fresh_access_failure_count	current_bounded_frontier_state	m4q_lane_state	task_capability_content_pattern_summary	octoport_overlap	octoport_difference	m5_hypothesis_count	m6_validation_candidate_count	limitation_notes
REG001	Ai007	ai007.io	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	1	1	0	1	1	S03	F1	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	S03-01	D004	C080	PAGE001	M4B1_PRODUCT_VENDOR	M4B1_R1 || M4B1_R2	24	23	0	COMPLETE_BOUNDED_FRONTIER	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	POSITIONING: INVENTORY_SUPPLY | PRICING_REPRICING | REVIEWS_SUPPORT | AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER || USER_JOBS: SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER || DATA_SCOPE: ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | SEARCH_TERMS | NOT_OBSERVED_IN_CAPTURE || AI_LLM: CHATGPT_OPENAI | AI_AGENT | NOT_OBSERVED_IN_CAPTURE || ACTION_BOUNDARY: WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM || CONTENT_PATTERN: Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0; fresh R3 bounded public sitemap/collection closure applied	Seller analytics/help/AI/task vocabulary; competitor evidence only	Accepted R1/R2 distinction retained. Fresh R3 competitor claims and topics remain external evidence only and do not redefine Octoport product truth.	2	4	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG002	Aimarketcap	aimarketcap.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	1	1	0	1	1	R12	F9	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	R12-03	D005	C069 || C092	PAGE002	M4B1_PRODUCT_VENDOR	M4B1_R1 || M4B1_R3_CURRENT	7	3	1	COMPLETE_BOUNDED_FRONTIER	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	POSITIONING: AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING || USER_JOBS: SELLER_ANALYTICS | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | PRODUCT_CARD_OR_CONTENT | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SELLER_ANALYTICS_OR_REPORTING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER || DATA_SCOPE: ORDERS | SALES | STOCKS | ADS | REVIEWS | COMPETITOR_OR_NICHE | REVIEWS | REVIEWS | FINANCE || AI_LLM: CHATGPT_OPENAI | CHATGPT_OPENAI | GEMINI | GENERIC_AI | GENERIC_AI | AI_AGENT_OR_ASSISTANT || ACTION_BOUNDARY: WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | COMPETITOR_CLAIM: WRITE_OR_AUTOMATION_LANGUAGE_OBSERVED || CONTENT_PATTERN: Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0; fresh R3 bounded public sitemap/collection closure applied	Seller analytics/help/AI/task vocabulary; competitor evidence only	Accepted R1/R2 distinction retained. Fresh R3 competitor claims and topics remain external evidence only and do not redefine Octoport product truth.	2	3	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG003	Ainsider	ainsider.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	0	1	0	1	1	S02	F1	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	S02-05	D006	C079	PAGE003	M4B1_PRODUCT_VENDOR	M4B1_R1 || M4B1_R3_CURRENT	11	11	0	COMPLETE_BOUNDED_FRONTIER	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	POSITIONING: AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT || USER_JOBS: SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | PRICING_OR_FINANCE | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SELLER_ANALYTICS_OR_REPORTING | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_OR_FINANCE | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SELLER_ANALYTICS_OR_REPORTING | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_OR_FINANCE | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER || DATA_SCOPE: ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | ORDERS_OR_SALES | ADS | COMPETITOR_OR_NICHE | ORDERS_OR_SALES | STOCKS_OR_SUPPLY | ADS | REVIEWS | COMPETITOR_OR_NICHE | SEARCH_TERMS | ORDERS_OR_SALES | STOCKS_OR_SUPPLY | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | SEARCH_TERMS | STOCKS_OR_SUPPLY | REVIEWS | COMPETITOR_OR_NICHE | SEARCH_TERMS || AI_LLM: AI_AGENT | GENERIC_AI | GENERIC_AI | AI_AGENT_OR_ASSISTANT | CHATGPT_OPENAI | GENERIC_AI | AI_AGENT_OR_ASSISTANT | CHATGPT_OPENAI | GENERIC_AI | GENERIC_AI | CHATGPT_OPENAI | CLAUDE_ANTHROPIC | GENERIC_AI || ACTION_BOUNDARY: WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | COMPETITOR_CLAIM: WRITE_OR_AUTOMATION_LANGUAGE_OBSERVED || CONTENT_PATTERN: Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0; fresh R3 bounded public sitemap/collection closure applied	Seller analytics/help/AI/task vocabulary; competitor evidence only	Accepted R1/R2 distinction retained. Fresh R3 competitor claims and topics remain external evidence only and do not redefine Octoport product truth.	10	10	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG004	Albato	albato.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	0	1	0	1	1	R02	F2	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	R02-07	D008	C082	PAGE004	M4B1_PRODUCT_VENDOR	M4B1_R1 || M4B1_R2 || M4B1_R3_CURRENT	1556	1331	160	COMPLETE_BOUNDED_FRONTIER	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	POSITIONING: AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_REPRICING | SEARCH_OR_NICHE_ANALYTICS | INVENTORY_SUPPLY || USER_JOBS: AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SELLER_ANALYTICS | REPORTING_FINANCE | REVIEWS_SUPPORT | INTEGRATION_CONNECTION | PRICING_OR_FINANCE | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_OR_FINANCE | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_OR_FINANCE | AI_OR_DIGITAL_HELPER | AD_ANALYTICS_OR_AUTOMATION | INTEGRATION_CONNECTION | PRICING_OR_FINANCE | AI_OR_DIGITAL_HELPER | SELLER_ANALYTICS_OR_REPORTING | INTEGRATION_CONNECTION | PRICING_OR_FINANCE | AI_OR_DIGITAL_HELPER || DATA_SCOPE: ORDERS | STOCKS | ADS | FINANCE | SALES | COMPETITOR_OR_NICHE | REVIEWS | REVIEWS | STOCKS_OR_SUPPLY | REVIEWS | ORDERS_OR_SALES | REVIEWS | ADS | REVIEWS || AI_LLM: CHATGPT_OPENAI | AI_AGENT | CLAUDE | NOT_OBSERVED_IN_CAPTURE | GENERIC_AI | AI_AGENT_OR_ASSISTANT | CLAUDE_ANTHROPIC | GENERIC_AI | AI_AGENT_OR_ASSISTANT | DEEPSEEK | GENERIC_AI | AI_AGENT_OR_ASSISTANT | GEMINI | GENERIC_AI | AI_AGENT_OR_ASSISTANT | CHATGPT_OPENAI | GENERIC_AI | AI_AGENT_OR_ASSISTANT | CHATGPT_OPENAI | CLAUDE_ANTHROPIC | GENERIC_AI | AI_AGENT_OR_ASSISTANT | CHATGPT_OPENAI | DEEPSEEK | GENERIC_AI | AI_AGENT_OR_ASSISTANT | CHATGPT_OPENAI | GEMINI | GENERIC_AI | AI_AGENT_OR_ASSISTANT || ACTION_BOUNDARY: WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM | CREATIVE_GENERATION_COMPETITOR_CLAIM | COMPETITOR_CLAIM: WRITE_OR_AUTOMATION_LANGUAGE_OBSERVED || CONTENT_PATTERN: Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 1; fresh R3 bounded public sitemap/collection closure applied	Seller analytics/help/AI/task vocabulary; competitor evidence only	Accepted R1/R2 distinction retained. Fresh R3 competitor claims and topics remain external evidence only and do not redefine Octoport product truth.	518	1311	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG005	Api Master	api-master.ru	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	3	3	3	0	3	1	R01 | R02 | R03	F2	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	R01-01 | R02-02 | R03-02	D010	C081 || C082 || C083	PAGE005	M4B2_CONTEXT_BASELINE	M4B2_R1	42	40	1	PASS_CANDIDATE	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	PAGE_ROLES: SERVICE_OR_USE_CASE:31 | ANALYTICS_OR_FINANCE_GUIDE:9 || USER_JOBS: ANALYZE_OR_REPORT:39 | PROMOTE_OR_OPTIMIZE_ADS:39 | CONNECT_OR_INTEGRATE:38 | CREATE_OR_OPTIMIZE_PRODUCT_CARD:38 | RESEARCH_NICHE_OR_ASSORTMENT:38 | MANAGE_REVIEWS_OR_CUSTOMERS:38 | START_OR_CONFIGURE_SELLER_ACCOUNT:38 | CONTEXTUAL_INFORMATION:1 || DATA_SCOPE: SALES_AND_FINANCE:39 | ADVERTISING:39 | CUSTOMER_FEEDBACK:39 | STOCK_AND_SUPPLY:38 | PRODUCT_CONTENT:37 | SEARCH_AND_SEMANTICS:11 || CAPABILITY_BOUNDARY: EDITORIAL_CONTEXT_EVIDENCE_ONLY || AI_LLM: AI_LLM_EXPLICIT:38 | NONE_OBSERVED:2	marketplace/API connection | seller analytics and reporting | AI-assisted product-content work | seller advertising analysis:38 | adjacent seller context; no direct product overlap asserted:1 | seller analytics and reporting | seller advertising analysis:1	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	12	13	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES
REG006	Apimonster	apimonster.ru	OTHER_RELEVANT_CONTEXT	Recurring relevant context surface outside the core vendor/native/editorial classes.	3	2	3	0	2	4	R01 | R02 | R03	F2	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Recurring relevant context surface outside the core vendor/native/editorial classes. SEARCH COMPETITOR != BUSINESS RIVAL.	R01-09 | R02-03 | R02-08 | R03-03	D011	C081 || C082 || C083	PAGE006 || PAGE007 || PAGE008	M4B1_PRODUCT_VENDOR	M4B1_R1 || M4B1_R2	28	27	0	COMPLETE_BOUNDED_FRONTIER	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	POSITIONING: INTEGRATION_CONNECTION | PRICING_REPRICING | REVIEWS_SUPPORT | SELLER_ANALYTICS | AI_OR_DIGITAL_HELPER || USER_JOBS: SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS || DATA_SCOPE: ORDERS | SALES | STOCKS | ADS | REVIEWS | COMPETITOR_OR_NICHE || AI_LLM: CHATGPT_OPENAI | AI_AGENT | ALICE | AI_AGENT_OR_ASSISTANT || ACTION_BOUNDARY: WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM || CONTENT_PATTERN: Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0; fresh R3 bounded public sitemap/collection closure applied	Seller analytics/help/AI/task vocabulary; competitor evidence only	Accepted R1/R2 distinction retained. Fresh R3 competitor claims and topics remain external evidence only and do not redefine Octoport product truth.	4	4	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG007	Ascn	ascn.ai	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	0	1	0	1	1	S01	F1,F9	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-08	D012	C078	PAGE009	M4B1_PRODUCT_VENDOR	M4B1_R3_CURRENT || M4B1_R1	14	4	9	COMPLETE_BOUNDED_FRONTIER	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	POSITIONING: AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_REPRICING | REPORTING_FINANCE | SELLER_ANALYTICS || USER_JOBS: SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS || DATA_SCOPE: ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE || AI_LLM: CLAUDE | AI_AGENT | CHATGPT_OPENAI || ACTION_BOUNDARY: WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM || CONTENT_PATTERN: Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0; fresh R3 bounded public sitemap/collection closure applied	Seller analytics/help/AI/task vocabulary; competitor evidence only	Accepted R1/R2 distinction retained. Fresh R3 competitor claims and topics remain external evidence only and do not redefine Octoport product truth.	2	2	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG008	Asibiont	asibiont.com	SERVICE_OR_AGENCY	Service/agency surface materially ranks in Top10 for a target query.	1	0	1	0	1	1	S02	F1	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Service/agency surface materially ranks in Top10 for a target query. SEARCH COMPETITOR != BUSINESS RIVAL.	S02-10	D013	C079	PAGE010	M4B1_PRODUCT_VENDOR	M4B1_R1 || M4B1_R3_CURRENT	62	14	46	COMPLETE_BOUNDED_FRONTIER	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	POSITIONING: AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT || USER_JOBS: SELLER_ANALYTICS | REPORTING_FINANCE | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | AI_OR_DIGITAL_HELPER | SELLER_ANALYTICS_OR_REPORTING | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_OR_FINANCE | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SELLER_ANALYTICS_OR_REPORTING | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_OR_FINANCE | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | PRICING_OR_FINANCE | AI_OR_DIGITAL_HELPER | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | AI_OR_DIGITAL_HELPER | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | PRICING_OR_FINANCE | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER || DATA_SCOPE: ORDERS | SALES | STOCKS | COMPETITOR_OR_NICHE | ORDERS_OR_SALES | STOCKS_OR_SUPPLY | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | SEARCH_TERMS | ORDERS_OR_SALES | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | ADS | SEARCH_TERMS | NOT_OBSERVED_IN_CAPTURE | ADS | SEARCH_TERMS || AI_LLM: AI_AGENT | GENERIC_AI | AI_AGENT_OR_ASSISTANT | GENERIC_AI || ACTION_BOUNDARY: WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | COMPETITOR_CLAIM: WRITE_OR_AUTOMATION_LANGUAGE_OBSERVED || CONTENT_PATTERN: Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0; fresh R3 bounded public sitemap/collection closure applied	Seller analytics/help/AI/task vocabulary; competitor evidence only	Accepted R1/R2 distinction retained. Fresh R3 competitor claims and topics remain external evidence only and do not redefine Octoport product truth.	14	13	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG009	Berkuz	berkuz.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	2	3	0	3	1	S01 | S02 | S03	F1 | F1,F9	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-01 | S02-03 | S03-04	D015	C078 || C079 || C080	PAGE011	M4B1_PRODUCT_VENDOR	M4B1_R1 || M4B1_R2	56	48	0	COMPLETE_BOUNDED_FRONTIER	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	POSITIONING: AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING || USER_JOBS: SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | AI_OR_DIGITAL_HELPER | NOT_OBSERVED_IN_CAPTURE | SELLER_PROCEDURAL_HELP || DATA_SCOPE: ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | NOT_OBSERVED_IN_CAPTURE | SEARCH_TERMS || AI_LLM: GENERIC_AI | NOT_OBSERVED_IN_CAPTURE | ALICE | AI_AGENT_OR_ASSISTANT || ACTION_BOUNDARY: WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM || CONTENT_PATTERN: Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 1; fresh R3 bounded public sitemap/collection closure applied	Seller analytics/help/AI/task vocabulary; competitor evidence only	Accepted R1/R2 distinction retained. Fresh R3 competitor claims and topics remain external evidence only and do not redefine Octoport product truth.	10	5	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES || CURRENT_R3_PUBLIC_DRIFT_DETECTED; HISTORICAL_R4_R5_PRESERVED_BY_IDENTITY
REG010	Habr	habr.com	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	3	0	1	2	2	3	R01 | S01 | S03	F1 | F1,F9 | F2	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-05 | S03-15 | R01-15	D029	C078 || C080 || C081	PAGE012	M4B2_CONTEXT_BASELINE	M4B2_R1	1	1	0	PASS_CANDIDATE	SOURCE_UNAVAILABLE_DECLARED_LIMITATION	PAGE_ROLES: ARTICLE_OR_GUIDE:1 || USER_JOBS: CONNECT_OR_INTEGRATE:1 | ANALYZE_OR_REPORT:1 | CREATE_OR_OPTIMIZE_PRODUCT_CARD:1 | PROMOTE_OR_OPTIMIZE_ADS:1 | RESEARCH_NICHE_OR_ASSORTMENT:1 | MANAGE_REVIEWS_OR_CUSTOMERS:1 | START_OR_CONFIGURE_SELLER_ACCOUNT:1 || DATA_SCOPE: SALES_AND_FINANCE:1 | STOCK_AND_SUPPLY:1 | SEARCH_AND_SEMANTICS:1 | ADVERTISING:1 | PRODUCT_CONTENT:1 | CUSTOMER_FEEDBACK:1 || CAPABILITY_BOUNDARY: EDITORIAL_CONTEXT_EVIDENCE_ONLY || AI_LLM: AI_LLM_EXPLICIT:1	marketplace/API connection | seller analytics and reporting | AI-assisted product-content work | seller advertising analysis:1	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	1	1	M4Q_RANKING_QUERY_LANE_SOURCE_UNAVAILABLE; ZERO_ROWS_DO_NOT_MEAN_ZERO_QUERIES
