collision_id	authority_query_id	occurrence_id_or_query_scope	rank_or_scope	url_or_domain	collision_type	observed_evidence	why_uncertain_or_colliding	classification_effect	downstream_handling
C001	S01	S01-11	11	https://osmi-it.ru/chat-boty-dlya-biznesa/marketplace/	CREATIVE_CARD_GENERATION	ИИ агент для маркетплейса под ключ, разработка чат-ботов для... — ИИ-агенты для маркетплейсов помогают автоматизировать часть этих процессов. Они могут участвовать в создании карточек товаров, анализировать отклики, отслеживать изменения цен конкурентов и автоматически корректировать стоимость товаров с учётом рыночной ситуации помогать с обработкой клиентских обращений и собирать данные для аналитики.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C002	S01	S01-13	13	https://selsup.ru/blog/ii-ofis-dlya-sellerov-i-marketplejsov/	CREATIVE_CARD_GENERATION	ИИ для селлеров: ИИ-офис и агенты маркетплейсов — ИИ-офис для селлеров: как агенты управляют процессами маркетплейсов. … Именно здесь начинается ИИ‑офис — рабочий контур, который не только отвечает, но и проводит задачу через данные, правила, действия и контроль. В этой статье не будет очередного рейтинга генераторов текста. Если вам нужны отдельные сервисы для описаний, изображений и видео, начните с обзора нейросетей для маркетплейсов и селлеров.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C003	S01	S01-16	16	https://helpdesk.bitrix24.ru/open/27694310/	HUMAN_ROLE_OR_TRAINING	ИИ Агенты – приложения — С приложениями в подписке Битрикс24 Маркетплейс у вас появится возможность создавать персонализированных ИИ-агентов для решения бизнес-задач. Каждый агент может быть настроен под конкретную область знаний, обучен на ваших документах и использован для консультаций, поддержки или автоматизации рутинных процессов.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C004	S02	S02-16	16	https://seller.ozon.ru/media/boost/7-nejrosetej-dlya-prodavcov-na-marketplejsah/	CREATIVE_CARD_GENERATION	Нейросети и ИИ для маркетплейса Ozon: как автоматизировать... — Узнайте, как использовать нейросети и ИИ для автоматизации создания карточек товара на маркетплейсе Ozon. Обзор программ для генерации описаний, обработки изображений и повышения продаж. Советы для продавцов, как эффективно применять искусственный интеллект для улучшения карточек товаров и повышения их конверсии на маркетплейсе.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C005	S02	S02-17	17	https://neiro-card.ai/	CREATIVE_CARD_GENERATION	Нейросеть для создания карточек для маркетплейсов, ии для... — Neiro-card - это современный и быстрый сервис для AI-генерация фонов, товаров, готовые шаблоны и редактор для маркетплейсов. Благодаря нашей нейросети Neiro-card сделать карточку товара для вайлдберриз или OZON можно в 2 клика.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C006	S02	S02-19	19	https://softrest.ru/blog/ii-agent-marketpleysov-tseny-ostatki	ACCOUNTING_OR_STATUTORY	ИИ-агент для маркетплейсов: цены, остатки, карточки — ИИ‑агент для маркетплейсов управляет ценами, остатками, карточками и автоответами, даёт общую аналитику и контроль вне границ одной площадки и интеграцию с 1С. … ИИ‑агент для маркетплейсов: управляйте ценами, остатками, карточками и ответами покупателей из одного места.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C007	S02	S02-20	20	https://www.klerk.ru/blogs/gdekurs/694422/	CREATIVE_CARD_GENERATION	ТОП-7 ИИ для создания карточек товаров на Озон в 2026 году... — Специализированный ИИ моментально собирает инфографику, убирает лишний фон и составляет правильные описания. Грамотно подобранные ИИ-инструменты закрывают потребность индивидуальных предпринимателей и крупных поставщиков в стабильном массовом выпуске визуала. Собрали нейросети для создания карточек на «Озоне» и проверили их по функциональности приложения и качеству итоговых изображений.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C008	S03	S03-02	2	https://zinaida.pro/	AUTOBIDDER_OR_MUTATION	Зинаида Продаёт: AI-продавец на Wildberries — ИИ-агент для автоматизации и управления рекламой на Wildberries. Автономная настройка рекламы и контроль ставок. Зинаида работает как ваш личный менеджер: удерживает карточку в топе, оптимизирует бюджет и снижает ДРР.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C009	S03	S03-13	13	https://agentiq.ru/blog/wb-ads-agent/	AUTOBIDDER_OR_MUTATION	AI-агент по управлению рекламой на Wildberries — AgentIQ — Как AI-агент управляет рекламой на Wildberries: ставки, бюджеты, минус-фразы, аналитика кампаний. Автоматизация через официальный WB API. … Агент работает 24/7, реагирует на аукцион. Ставка пропорциональна маржинальности товара. Как устроена реклама на Wildberries. 4 типа рекламы, 2 модели оплаты, аукцион за топ-2 позиции.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C010	S03	S03-16	16	https://intly.ru/integrations/wildberries	CREATIVE_CARD_GENERATION	ИИ для Wildberries: автоответы на отзывы и вопросы... | Intly AI — ИИ для карточек Wildberries в той части, где это текст и картинки: агент пишет описание под вашу категорию и генерирует изображения. Загружаете готовое в кабинет WB вы сами — заливку карточек мы не делаем и не обещаем.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
