domain_id	registrable_domain	entity_name_or_hold	all_occurrence_count	distinct_query_count	top3_query_coverage	top10_query_coverage	rank11_20_query_coverage	distinct_ranking_urls	target_relevant_occurrence_count	target_relevant_distinct_query_count	market_surface_distribution	collision_or_uncertainty_exposure	metric_granularity_notes	source_occurrence_ids
D001	42clouds.com	42Clouds	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R05-15
D002	adapter.ru	Adapter	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-16
D003	agentiq.ru	Agentiq	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S03-13
D004	ai007.io	Ai007	1	1	1	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S03-01
D005	aimarketcap.ru	Aimarketcap	1	1	1	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R12-03
D006	ainsider.ru	Ainsider	1	1	0	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-05
D007	airassvet.ru	Airassvet	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-12
D008	albato.ru	Albato	1	1	0	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R02-07
D009	alfabank.ru	Alfabank	1	1	0	0	1	1	1	1	OTHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R11-14
D010	api-master.ru	Api Master	3	3	3	3	0	1	3	3	EDITORIAL_OR_PUBLISHER:2 | THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R01-01 | R02-02 | R03-02
D011	apimonster.ru	Apimonster	4	3	2	3	0	4	3	2	OTHER:2 | THIRD_PARTY_PRODUCT_VENDOR:2	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R01-09 | R02-03 | R02-08 | R03-03
D012	ascn.ai	Ascn	1	1	0	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-08
D013	asibiont.com	Asibiont	1	1	0	1	0	1	1	1	SERVICE_OR_AGENCY:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-10
D014	avito.ru	Avito	2	1	0	1	1	2	0	0	AGGREGATOR_OR_DIRECTORY:2	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-09 | R06-16
D015	berkuz.ru	Berkuz	3	3	2	3	0	1	3	3	THIRD_PARTY_PRODUCT_VENDOR:3	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-01 | S02-03 | S03-04
D016	bitrix24.ru	Bitrix24	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-16
D017	card-open.ru	Card Open	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R02-14
D018	chat-gpt-openai.ru	Chat Gpt Openai	1	1	0	1	0	1	0	0	OTHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R01-05
D019	chatlabs.ru	Chatlabs	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R01-20
D020	chromewebstore.google.com	Chrome Web Store	2	1	0	1	0	2	2	1	AGGREGATOR_OR_DIRECTORY:2	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-07 | R06-10
D021	clawwow.net	Clawwow	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-20
D022	cleverence.ru	Cleverence	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R05-20
D023	datamp.ru	Datamp	1	1	0	0	1	1	1	1	OTHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R09-20
D024	directline.pro	Directline	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R12-19
D025	elama.ru	Elama	1	1	0	1	0	1	1	1	EDITORIAL_OR_PUBLISHER:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R12-10
D026	etxt.ru	Etxt	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-15
D027	fin-academy.pro	Fin Academy	1	1	0	1	0	1	0	0	EDITORIAL_OR_PUBLISHER:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R02-04
D028	garant.ru	Garant	1	1	0	0	1	1	1	1	OTHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R11-17
D029	habr.com	Habr	3	3	0	1	2	3	2	2	EDITORIAL_OR_PUBLISHER:3	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-05 | S03-15 | R01-15
