registry_id	entity_name	candidate_class	scope_policy	authority_seed_rows	current_url_universe	inspected_pages	inaccessible_pages	dominant_page_roles	marketplace_scope_summary	ai_llm_scope_summary	user_jobs_summary	data_scope_summary	capability_claim_boundary	integrations_summary	pricing_availability_summary	proof_trust_summary	octoport_overlap_summary	octoport_difference_summary	candidate_terms_count	terminal_limitations	source_state	notes
REG005	Api Master	EDITORIAL_OR_PUBLISHER	THEME_SCOPED_PUBLIC_TAXONOMY	1	42	40	1	SERVICE_OR_USE_CASE:31 | ANALYTICS_OR_FINANCE_GUIDE:9	OZON | WILDBERRIES | YANDEX_MARKET:37 | MARKETPLACE_GENERIC_OR_NONE:2 | OZON | WILDBERRIES:1	AI_LLM_EXPLICIT:38 | NONE_OBSERVED:2	ANALYZE_OR_REPORT:39 | PROMOTE_OR_OPTIMIZE_ADS:39 | CONNECT_OR_INTEGRATE:38 | CREATE_OR_OPTIMIZE_PRODUCT_CARD:38 | RESEARCH_NICHE_OR_ASSORTMENT:38 | MANAGE_REVIEWS_OR_CUSTOMERS:38 | START_OR_CONFIGURE_SELLER_ACCOUNT:38 | CONTEXTUAL_INFORMATION:1	SALES_AND_FINANCE:39 | ADVERTISING:39 | CUSTOMER_FEEDBACK:39 | STOCK_AND_SUPPLY:38 | PRODUCT_CONTENT:37 | SEARCH_AND_SEMANTICS:11	EDITORIAL_CONTEXT_EVIDENCE_ONLY	ChatGPT:38 | Claude:38 | Marketplace API:38 | Ozon:38 | Wildberries:38 | 1C:5 | NONE_EXPLICITLY_OBSERVED:2	PRICING_OR_AVAILABILITY_LANGUAGE_OBSERVED:38 | NONE_OBSERVED:2	AUTHOR_DATE_OR_STRUCTURED_DATA:40	marketplace/API connection | seller analytics and reporting | AI-assisted product-content work | seller advertising analysis:38 | adjacent seller context; no direct product overlap asserted:1 | seller analytics and reporting | seller advertising analysis:1	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	40	HTTP_ERROR:1 | REDIRECT_IN_SCOPE:1	TERMINAL_CURRENT_STATE	Current-state synthesis from all inspected identities in the bounded entity scope.
REG010	Habr	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1	1	1	0	ARTICLE_OR_GUIDE:1	OZON | WILDBERRIES:1	AI_LLM_EXPLICIT:1	CONNECT_OR_INTEGRATE:1 | ANALYZE_OR_REPORT:1 | CREATE_OR_OPTIMIZE_PRODUCT_CARD:1 | PROMOTE_OR_OPTIMIZE_ADS:1 | RESEARCH_NICHE_OR_ASSORTMENT:1 | MANAGE_REVIEWS_OR_CUSTOMERS:1 | START_OR_CONFIGURE_SELLER_ACCOUNT:1	SALES_AND_FINANCE:1 | STOCK_AND_SUPPLY:1 | SEARCH_AND_SEMANTICS:1 | ADVERTISING:1 | PRODUCT_CONTENT:1 | CUSTOMER_FEEDBACK:1	EDITORIAL_CONTEXT_EVIDENCE_ONLY	ChatGPT:1 | Claude:1 | 1C:1 | Ozon:1 | Wildberries:1	PRICING_OR_AVAILABILITY_LANGUAGE_OBSERVED:1	AUTHOR_DATE_OR_STRUCTURED_DATA:1	marketplace/API connection | seller analytics and reporting | AI-assisted product-content work | seller advertising analysis:1	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	1	NONE	TERMINAL_CURRENT_STATE	Current-state synthesis from all inspected identities in the bounded entity scope.
REG017	Klerk	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	2	2	0	ANALYTICS_OR_FINANCE_GUIDE:2	OZON | WILDBERRIES:1 | WILDBERRIES:1	AI_LLM_EXPLICIT:2	CONNECT_OR_INTEGRATE:2 | ANALYZE_OR_REPORT:2 | CREATE_OR_OPTIMIZE_PRODUCT_CARD:2 | PROMOTE_OR_OPTIMIZE_ADS:2 | RESEARCH_NICHE_OR_ASSORTMENT:2 | MANAGE_REVIEWS_OR_CUSTOMERS:2 | START_OR_CONFIGURE_SELLER_ACCOUNT:2	SALES_AND_FINANCE:2 | STOCK_AND_SUPPLY:2 | SEARCH_AND_SEMANTICS:2 | ADVERTISING:2 | PRODUCT_CONTENT:2 | CUSTOMER_FEEDBACK:2	EDITORIAL_CONTEXT_EVIDENCE_ONLY	ChatGPT:2 | Claude:2 | Marketplace API:2 | Wildberries:2 | Ozon:1	PRICING_OR_AVAILABILITY_LANGUAGE_OBSERVED:2	AUTHOR_DATE_OR_STRUCTURED_DATA:2	marketplace/API connection | seller analytics and reporting | AI-assisted product-content work | seller advertising analysis:2	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	2	NONE	TERMINAL_CURRENT_STATE	Current-state synthesis from all inspected identities in the bounded entity scope.
REG030	Ozon	NATIVE_MARKETPLACE_BASELINE	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	170	168	1	ANALYTICS_OR_FINANCE_GUIDE:160 | COLLECTION_PAGINATION:8	OZON:164 | OZON | WILDBERRIES:3 | OZON | WILDBERRIES | YANDEX_MARKET:1	NONE_OBSERVED:136 | AI_LLM_EXPLICIT:32	PROMOTE_OR_OPTIMIZE_ADS:160 | RESEARCH_NICHE_OR_ASSORTMENT:160 | START_OR_CONFIGURE_SELLER_ACCOUNT:160 | CONNECT_OR_INTEGRATE:159 | CREATE_OR_OPTIMIZE_PRODUCT_CARD:159 | MANAGE_REVIEWS_OR_CUSTOMERS:99 | ANALYZE_OR_REPORT:95 | CONTEXTUAL_INFORMATION:8	SALES_AND_FINANCE:160 | STOCK_AND_SUPPLY:160 | SEARCH_AND_SEMANTICS:160 | ADVERTISING:160 | CUSTOMER_FEEDBACK:160 | PRODUCT_CONTENT:159 | PUBLIC_PAGE_CONTEXT_ONLY:8	NATIVE_BASELINE_EVIDENCE_ONLY	Ozon:168 | Marketplace API:159 | ChatGPT:7 | Wildberries:4 | 1C:2 | Claude:1	PRICING_OR_AVAILABILITY_LANGUAGE_OBSERVED:143 | NONE_OBSERVED:25	AUTHOR_DATE_OR_STRUCTURED_DATA:168	marketplace/API connection | seller analytics and reporting | AI-assisted product-content work | seller advertising analysis:94 | marketplace/API connection | AI-assisted product-content work | seller advertising analysis:64 | adjacent seller context; no direct product overlap asserted:8 | marketplace/API connection | seller analytics and reporting | seller advertising analysis:1 | AI-assisted product-content work | seller advertising analysis:1	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	168	REDIRECT_IN_SCOPE:1 | HTTP_ERROR:1	TERMINAL_CURRENT_STATE	Current-state synthesis from all inspected identities in the bounded entity scope.
REG032	Reg	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	2	2	0	ARTICLE_OR_GUIDE:2	MARKETPLACE_GENERIC_OR_NONE:2	NONE_OBSERVED:2	CONTEXTUAL_INFORMATION:2	PUBLIC_PAGE_CONTEXT_ONLY:2	EDITORIAL_CONTEXT_EVIDENCE_ONLY	NONE_EXPLICITLY_OBSERVED:2	NONE_OBSERVED:2	AUTHOR_DATE_OR_STRUCTURED_DATA:2	adjacent seller context; no direct product overlap asserted:2	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	2	NONE	TERMINAL_CURRENT_STATE	Current-state synthesis from all inspected identities in the bounded entity scope.
REG033	Rutube	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	2	2	0	VIDEO:2	WILDBERRIES:1 | OZON | WILDBERRIES:1	AI_LLM_EXPLICIT:1 | NONE_OBSERVED:1	CREATE_OR_OPTIMIZE_PRODUCT_CARD:2 | PROMOTE_OR_OPTIMIZE_ADS:2 | RESEARCH_NICHE_OR_ASSORTMENT:2 | MANAGE_REVIEWS_OR_CUSTOMERS:1 | START_OR_CONFIGURE_SELLER_ACCOUNT:1	SALES_AND_FINANCE:2 | SEARCH_AND_SEMANTICS:2 | ADVERTISING:2 | PRODUCT_CONTENT:2 | CUSTOMER_FEEDBACK:2 | STOCK_AND_SUPPLY:1	EDITORIAL_CONTEXT_EVIDENCE_ONLY	Wildberries:2 | ChatGPT:1 | Ozon:1	PRICING_OR_AVAILABILITY_LANGUAGE_OBSERVED:2	AUTHOR_DATE_OR_STRUCTURED_DATA:2	AI-assisted product-content work | seller advertising analysis:2	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	2	NONE	TERMINAL_CURRENT_STATE	Current-state synthesis from all inspected identities in the bounded entity scope.
REG036	Sellego	EDITORIAL_OR_PUBLISHER	THEME_SCOPED_PUBLIC_TAXONOMY	1	7	6	0	ANALYTICS_OR_FINANCE_GUIDE:6	WILDBERRIES:6	NONE_OBSERVED:6	CONNECT_OR_INTEGRATE:6 | ANALYZE_OR_REPORT:6 | CREATE_OR_OPTIMIZE_PRODUCT_CARD:6 | PROMOTE_OR_OPTIMIZE_ADS:6 | RESEARCH_NICHE_OR_ASSORTMENT:6 | START_OR_CONFIGURE_SELLER_ACCOUNT:6 | MANAGE_REVIEWS_OR_CUSTOMERS:5	SALES_AND_FINANCE:6 | STOCK_AND_SUPPLY:6 | SEARCH_AND_SEMANTICS:6 | ADVERTISING:6 | PRODUCT_CONTENT:6 | CUSTOMER_FEEDBACK:5	EDITORIAL_CONTEXT_EVIDENCE_ONLY	Marketplace API:6 | Wildberries:6	PRICING_OR_AVAILABILITY_LANGUAGE_OBSERVED:6	AUTHOR_DATE_OR_STRUCTURED_DATA:6	marketplace/API connection | seller analytics and reporting | AI-assisted product-content work | seller advertising analysis:6	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	6	REDIRECT_IN_SCOPE:1	TERMINAL_CURRENT_STATE	Current-state synthesis from all inspected identities in the bounded entity scope.
REG043	Skillbox	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	4	4	4	0	ANALYTICS_OR_FINANCE_GUIDE:4	OZON | WILDBERRIES:2 | WILDBERRIES:1 | OZON | WILDBERRIES | YANDEX_MARKET:1	AI_LLM_EXPLICIT:4	ANALYZE_OR_REPORT:4 | CREATE_OR_OPTIMIZE_PRODUCT_CARD:4 | PROMOTE_OR_OPTIMIZE_ADS:4 | RESEARCH_NICHE_OR_ASSORTMENT:4 | MANAGE_REVIEWS_OR_CUSTOMERS:4 | START_OR_CONFIGURE_SELLER_ACCOUNT:4 | CONNECT_OR_INTEGRATE:2	SALES_AND_FINANCE:4 | STOCK_AND_SUPPLY:4 | ADVERTISING:4 | PRODUCT_CONTENT:4 | CUSTOMER_FEEDBACK:4 | SEARCH_AND_SEMANTICS:3	EDITORIAL_CONTEXT_EVIDENCE_ONLY	Wildberries:4 | Ozon:3 | Marketplace API:1	PRICING_OR_AVAILABILITY_LANGUAGE_OBSERVED:4	AUTHOR_DATE_OR_STRUCTURED_DATA:4	seller analytics and reporting | AI-assisted product-content work | seller advertising analysis:2 | marketplace/API connection | seller analytics and reporting | AI-assisted product-content work | seller advertising analysis:2	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	4	NONE	TERMINAL_CURRENT_STATE	Current-state synthesis from all inspected identities in the bounded entity scope.
REG047	Tbank	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	6	59	8	6	HELP_OR_DOCUMENTATION:8	OZON | WILDBERRIES:5 | MARKETPLACE_GENERIC_OR_NONE:2 | WILDBERRIES:1	NONE_OBSERVED:7 | AI_LLM_EXPLICIT:1	CONNECT_OR_INTEGRATE:8 | ANALYZE_OR_REPORT:8 | PROMOTE_OR_OPTIMIZE_ADS:8 | RESEARCH_NICHE_OR_ASSORTMENT:8 | MANAGE_REVIEWS_OR_CUSTOMERS:8 | START_OR_CONFIGURE_SELLER_ACCOUNT:8 | CREATE_OR_OPTIMIZE_PRODUCT_CARD:4	SALES_AND_FINANCE:8 | ADVERTISING:8 | CUSTOMER_FEEDBACK:8 | PRODUCT_CONTENT:4 | STOCK_AND_SUPPLY:1 | SEARCH_AND_SEMANTICS:1	EDITORIAL_CONTEXT_EVIDENCE_ONLY	Wildberries:6 | Ozon:5 | NONE_EXPLICITLY_OBSERVED:2 | Marketplace API:2	PRICING_OR_AVAILABILITY_LANGUAGE_OBSERVED:8	AUTHOR_DATE_OR_STRUCTURED_DATA:8	marketplace/API connection | seller analytics and reporting | seller advertising analysis:4 | marketplace/API connection | seller analytics and reporting | AI-assisted product-content work | seller advertising analysis:4	No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	8	FACET_OR_SORT_VARIANT:42 | HTTP_ERROR:5 | REDIRECT_IN_SCOPE:3 | NOT_FOUND:1	TERMINAL_CURRENT_STATE	Current-state synthesis from all inspected identities in the bounded entity scope.
REG048	Tochka	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	5	5	0	5						EDITORIAL_CONTEXT_EVIDENCE_ONLY					No external topic or native behavior is promoted to Octoport fact; no final cluster/page ownership decision.	0	HTTP_ERROR:5	TERMINAL_CURRENT_STATE	Current-state synthesis from all inspected identities in the bounded entity scope.
