registry_id	entity_name	r1_current_url_count	r2_added_url_count	fresh_r3_discovered_url_count	current_merged_unique_normalized_url_count	terminal_current_url_count	anchors_status	primary_nav_taxonomy_status	breadcrumb_local_subtree_status	sitemap_status	pagination_status	open_url_unresolved_count	blocking_channel_hold_count	r2_child_link_diagnostic_count	completion_state	count_equation	count_equation_pass	unresolved_reason
REG001	Ai007	24	0	0	24	24	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	24+0+0=24	true	none
REG002	Aimarketcap	4	0	3	7	7	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	4+0+3=7	true	none
REG003	Ainsider	2	0	9	11	11	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	2+0+9=11	true	none
REG004	Albato	53	34	1469	1556	1556	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	53+34+1469=1556	true	none
REG006	Apimonster	28	0	0	28	28	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	1	COMPLETE_BOUNDED_FRONTIER	28+0+0=28	true	none
REG007	Ascn	5	0	9	14	14	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	5+0+9=14	true	none
REG008	Asibiont	3	0	59	62	62	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	3+0+59=62	true	none
REG009	Berkuz	6	50	0	56	56	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	COMPLETE	0	0	0	COMPLETE_BOUNDED_FRONTIER	6+50+0=56	true	none
REG011	Ilai	1	13	8	22	22	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	NOT_APPLICABLE	0	0	3	COMPLETE_BOUNDED_FRONTIER	1+13+8=22	true	none
REG012	Infosell	1	28	0	29	29	COMPLETE	COMPLETE	NOT_APPLICABLE	NOT_FOUND	NOT_APPLICABLE	0	0	21	COMPLETE_BOUNDED_FRONTIER	1+28+0=29	true	none
REG013	Insales	11	0	425	436	436	COMPLETE	COMPLETE	COMPLETE	COMPLETE	COMPLETE	0	0	0	COMPLETE_BOUNDED_FRONTIER	11+0+425=436	true	none
REG014	Itgalaxy	5	0	0	5	5	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	5+0+0=5	true	none
REG015	Jafo	5	0	20	25	25	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	5+0+20=25	true	none
REG016	Jvo	2	27	124	153	153	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	COMPLETE	0	0	17	COMPLETE_BOUNDED_FRONTIER	2+27+124=153	true	none
REG018	Kt Team	1	121	16	138	138	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	27	COMPLETE_BOUNDED_FRONTIER	1+121+16=138	true	none
REG019	Legasoft	2	46	3	51	51	COMPLETE	COMPLETE	COMPLETE	COMPLETE	COMPLETE	0	0	1	COMPLETE_BOUNDED_FRONTIER	2+46+3=51	true	none
REG020	Limescope	1	12	0	13	13	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	10	COMPLETE_BOUNDED_FRONTIER	1+12+0=13	true	none
REG021	Marketaut	1	7	0	8	8	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	2	COMPLETE_BOUNDED_FRONTIER	1+7+0=8	true	none
REG022	Marpla	4	26	122	152	152	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	COMPLETE	0	0	12	COMPLETE_BOUNDED_FRONTIER	4+26+122=152	true	none
REG023	Mayak	34	5	99	138	138	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	COMPLETE	0	0	1	COMPLETE_BOUNDED_FRONTIER	34+5+99=138	true	none
REG024	Moysklad	4	109	60	173	173	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	17	COMPLETE_BOUNDED_FRONTIER	4+109+60=173	true	none
REG025	Mpboost	1	10	0	11	11	COMPLETE	COMPLETE	NOT_APPLICABLE	NOT_FOUND	NOT_APPLICABLE	0	0	1	COMPLETE_BOUNDED_FRONTIER	1+10+0=11	true	none
REG026	Mpfact	1	18	27	46	46	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	NOT_APPLICABLE	0	0	4	COMPLETE_BOUNDED_FRONTIER	1+18+27=46	true	none
REG027	Mpmgr	5	60	0	65	65	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	50	COMPLETE_BOUNDED_FRONTIER	5+60+0=65	true	none
REG028	Mpstats	11	31	0	42	42	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	15	COMPLETE_BOUNDED_FRONTIER	11+31+0=42	true	none
REG029	Openclaw	8	0	0	8	8	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	8+0+0=8	true	none
REG031	Promopult	2	183	126	311	311	COMPLETE	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	0	0	16	COMPLETE_BOUNDED_FRONTIER	2+183+126=311	true	none
REG034	Saintpack	1	19	60	80	80	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	COMPLETE	0	0	10	COMPLETE_BOUNDED_FRONTIER	1+19+60=80	true	none
REG035	Sam X	2	11	0	13	13	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	2+11+0=13	true	none
REG037	Sellerden	51	70	0	121	121	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	9	COMPLETE_BOUNDED_FRONTIER	51+70+0=121	true	none
REG038	Sellermoon	9	67	654	730	730	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	ACCESS_BLOCKED	0	0	61	COMPLETE_BOUNDED_FRONTIER	9+67+654=730	true	none
REG039	Sellerstats	1	17	11	29	29	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	COMPLETE	0	0	10	COMPLETE_BOUNDED_FRONTIER	1+17+11=29	true	none
REG040	Sellmonitor	2	27	110	139	139	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	COMPLETE	0	0	12	COMPLETE_BOUNDED_FRONTIER	2+27+110=139	true	none
REG041	Sellper	1	25	33	59	59	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	COMPLETE	0	0	12	COMPLETE_BOUNDED_FRONTIER	1+25+33=59	true	none
REG042	Selsup	5	42	3231	3278	3278	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	COMPLETE	0	0	27	COMPLETE_BOUNDED_FRONTIER	5+42+3231=3278	true	none
REG044	Softrest	19	0	3	22	22	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	19+0+3=22	true	none
REG045	Superintellect	15	68	22	105	105	COMPLETE	COMPLETE	COMPLETE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	15+68+22=105	true	none
REG046	Tablichki	15	4	28	47	47	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	15+4+28=47	true	none
REG049	Torgstat	3	0	92	95	95	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	COMPLETE	0	0	0	COMPLETE_BOUNDED_FRONTIER	3+0+92=95	true	none
REG050	Tulpari	1	0	3	4	4	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	NOT_APPLICABLE	0	0	0	COMPLETE_BOUNDED_FRONTIER	1+0+3=4	true	none
REG051	Uniseller	2	66	4299	4367	4367	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	COMPLETE	0	0	55	COMPLETE_BOUNDED_FRONTIER	2+66+4299=4367	true	none
REG053	Wbcon	13	20	27	60	60	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	COMPLETE	0	0	10	COMPLETE_BOUNDED_FRONTIER	13+20+27=60	true	none
REG056	Wildcrm	2	14	18	34	34	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	COMPLETE	0	0	9	COMPLETE_BOUNDED_FRONTIER	2+14+18=34	true	none
REG058	Yoolip	1	10	49	60	60	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	COMPLETE	0	0	3	COMPLETE_BOUNDED_FRONTIER	1+10+49=60	true	none
REG060	Zinaida	4	0	3	7	7	COMPLETE	COMPLETE	NOT_APPLICABLE	COMPLETE	COMPLETE	0	0	0	COMPLETE_BOUNDED_FRONTIER	4+0+3=7	true	none
