url_id	registry_id	entity_name	candidate_class	seed_ids	seed_types	source_channel	source_url	discovered_url	normalized_identity	redirect_chain	final_url	declared_canonical	computed_canonical	http_status	terminal_state	terminal_reason	captured_at	scope_policy	scope_reason	native_baseline_flag	notes
M4B2U00001	REG005	Api Master	EDITORIAL_OR_PUBLISHER	REG005-SCOPE-0022		SCOPED_PUBLIC_SITEMAP	https://api-master.ru/sitemap.xml	https://api-master.ru/blog/business-idea-for-marketplace-sellers	https://api-master.ru/blog/business-idea-for-marketplace-sellers	[]	https://api-master.ru/blog/business-idea-for-marketplace-sellers	https://api-master.ru/blog/business-idea-for-marketplace-sellers	https://api-master.ru/blog/business-idea-for-marketplace-sellers	200	INSPECTED		2026-09-22T04:15:10+00:00	THEME_SCOPED_PUBLIC_TAXONOMY	THEME_SCOPED_PUBLIC_TAXONOMY: public blog, Ozon API blog and service taxonomies on the specialized marketplace-automation site.	false	
M4B2U00002	REG005	Api Master	EDITORIAL_OR_PUBLISHER	REG005-SCOPE-0020		SCOPED_PUBLIC_SITEMAP	https://api-master.ru/sitemap.xml	https://api-master.ru/blog/business-on-marketplaces	https://api-master.ru/blog/business-on-marketplaces	[]	https://api-master.ru/blog/business-on-marketplaces	https://api-master.ru/blog/business-on-marketplaces	https://api-master.ru/blog/business-on-marketplaces	200	INSPECTED		2026-09-22T04:15:01+00:00	THEME_SCOPED_PUBLIC_TAXONOMY	THEME_SCOPED_PUBLIC_TAXONOMY: public blog, Ozon API blog and service taxonomies on the specialized marketplace-automation site.	false	
M4B2U00003	REG005	Api Master	EDITORIAL_OR_PUBLISHER	REG005-SCOPE-0023		SCOPED_PUBLIC_SITEMAP	https://api-master.ru/sitemap.xml	https://api-master.ru/blog/free-of-charge-cloud-server-yandex-cloud-free-teer	https://api-master.ru/blog/free-of-charge-cloud-server-yandex-cloud-free-teer	[]	https://api-master.ru/blog/free-of-charge-cloud-server-yandex-cloud-free-teer	https://api-master.ru/blog/free-of-charge-cloud-server-yandex-cloud-free-teer	https://api-master.ru/blog/free-of-charge-cloud-server-yandex-cloud-free-teer	200	INSPECTED		2026-09-22T04:15:10+00:00	THEME_SCOPED_PUBLIC_TAXONOMY	THEME_SCOPED_PUBLIC_TAXONOMY: public blog, Ozon API blog and service taxonomies on the specialized marketplace-automation site.	false	
M4B2U00004	REG005	Api Master	EDITORIAL_OR_PUBLISHER	REG005-SCOPE-0025		SCOPED_PUBLIC_SITEMAP	https://api-master.ru/sitemap.xml	https://api-master.ru/blog/google-tag-manager-setup	https://api-master.ru/blog/google-tag-manager-setup	[{"status":301,"from":"https://api-master.ru/blog/google-tag-manager-setup","to":"https://api-master.ru/blog/google-tag-manager-setup"},{"status":301,"from":"https://api-master.ru/blog/google-tag-manager-setup","to":"https://api-master.ru/blog/google-tag-manager-setup"},{"status":301,"from":"https://api-master.ru/blog/google-tag-manager-setup","to":"https://api-master.ru/blog/google-tag-manager-setup"},{"status":301,"from":"https://api-master.ru/blog/google-tag-manager-setup","to":"https://api-master.ru/blog/google-tag-manager-setup"},{"status":301,"from":"https://api-master.ru/blog/google-tag-manager-setup","to":"https://api-master.ru/blog/google-tag-manager-setup"}]	https://api-master.ru/blog/google-tag-manager-setup		https://api-master.ru/blog/google-tag-manager-setup	301	HTTP_ERROR	HTTP 301: The HTTP server returned a redirect error that would lead to an infinite loop. The last 30x error message was: Moved Permanently	2026-09-22T04:15:11+00:00	THEME_SCOPED_PUBLIC_TAXONOMY	THEME_SCOPED_PUBLIC_TAXONOMY: public blog, Ozon API blog and service taxonomies on the specialized marketplace-automation site.	false	
M4B2U00005	REG005	Api Master	EDITORIAL_OR_PUBLISHER	REG005-SCOPE-0021		SCOPED_PUBLIC_SITEMAP	https://api-master.ru/sitemap.xml	https://api-master.ru/blog/how-to-choose-fullfilment-fbs	https://api-master.ru/blog/how-to-choose-fullfilment-fbs	[{"status":301,"from":"https://api-master.ru/blog/how-to-choose-fullfilment-fbs","to":"https://api-master.ru/blog/business-idea-for-marketplace-sellers"}]	https://api-master.ru/blog/business-idea-for-marketplace-sellers	https://api-master.ru/blog/business-idea-for-marketplace-sellers	https://api-master.ru/blog/business-idea-for-marketplace-sellers	200	REDIRECT_IN_SCOPE	Final identity is separately present and inspected in the bounded ledger.	2026-09-22T04:15:10+00:00	THEME_SCOPED_PUBLIC_TAXONOMY	THEME_SCOPED_PUBLIC_TAXONOMY: public blog, Ozon API blog and service taxonomies on the specialized marketplace-automation site.	false	
M4B2U00006	REG005	Api Master	EDITORIAL_OR_PUBLISHER	M4B2S001 | REG005-SCOPE-0026	M4A_PAGE_CANDIDATE_ANCHOR	ACCEPTED_AUTHORITY_SEED | SCOPED_PUBLIC_SITEMAP	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb | https://api-master.ru/sitemap.xml	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	[]	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb	200	INSPECTED		2026-09-22T03:53:43+00:00	THEME_SCOPED_PUBLIC_TAXONOMY	FROZEN_AUTHORITY_SEED | THEME_SCOPED_PUBLIC_TAXONOMY: public blog, Ozon API blog and service taxonomies on the specialized marketplace-automation site.	false	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2U00007	REG005	Api Master	EDITORIAL_OR_PUBLISHER	REG005-SCOPE-0027		SCOPED_PUBLIC_SITEMAP	https://api-master.ru/sitemap.xml	https://api-master.ru/blog/how-to-get-ads-reports-ozon-api-using-ai-agents	https://api-master.ru/blog/how-to-get-ads-reports-ozon-api-using-ai-agents	[]	https://api-master.ru/blog/how-to-get-ads-reports-ozon-api-using-ai-agents	https://api-master.ru/blog/how-to-get-ads-reports-ozon-api-using-ai-agents	https://api-master.ru/blog/how-to-get-ads-reports-ozon-api-using-ai-agents	200	INSPECTED		2026-09-22T04:15:11+00:00	THEME_SCOPED_PUBLIC_TAXONOMY	THEME_SCOPED_PUBLIC_TAXONOMY: public blog, Ozon API blog and service taxonomies on the specialized marketplace-automation site.	false	
M4B2U00008	REG005	Api Master	EDITORIAL_OR_PUBLISHER	REG005-SCOPE-0024		SCOPED_PUBLIC_SITEMAP	https://api-master.ru/sitemap.xml	https://api-master.ru/blog/how-to-uptoad-wb-ozon-ym-api-data-to-db-to-yandex-cloud-free	https://api-master.ru/blog/how-to-uptoad-wb-ozon-ym-api-data-to-db-to-yandex-cloud-free	[]	https://api-master.ru/blog/how-to-uptoad-wb-ozon-ym-api-data-to-db-to-yandex-cloud-free	https://api-master.ru/blog/how-to-uptoad-wb-ozon-ym-api-data-to-db-to-yandex-cloud-free	https://api-master.ru/blog/how-to-uptoad-wb-ozon-ym-api-data-to-db-to-yandex-cloud-free	200	INSPECTED		2026-09-22T04:15:10+00:00	THEME_SCOPED_PUBLIC_TAXONOMY	THEME_SCOPED_PUBLIC_TAXONOMY: public blog, Ozon API blog and service taxonomies on the specialized marketplace-automation site.	false	
M4B2U00009	REG005	Api Master	EDITORIAL_OR_PUBLISHER	REG005-SCOPE-0012		SCOPED_PUBLIC_SITEMAP	https://api-master.ru/sitemap.xml	https://api-master.ru/blog/lead-sms-verification-real-estate	https://api-master.ru/blog/lead-sms-verification-real-estate	[]	https://api-master.ru/blog/lead-sms-verification-real-estate	https://api-master.ru/blog/lead-sms-verification-real-estate	https://api-master.ru/blog/lead-sms-verification-real-estate	200	INSPECTED		2026-09-22T04:15:01+00:00	THEME_SCOPED_PUBLIC_TAXONOMY	THEME_SCOPED_PUBLIC_TAXONOMY: public blog, Ozon API blog and service taxonomies on the specialized marketplace-automation site.	false	
M4B2U00010	REG005	Api Master	EDITORIAL_OR_PUBLISHER	REG005-SCOPE-0013		SCOPED_PUBLIC_SITEMAP	https://api-master.ru/sitemap.xml	https://api-master.ru/blog/marketolog-verification-sms	https://api-master.ru/blog/marketolog-verification-sms	[]	https://api-master.ru/blog/marketolog-verification-sms	https://api-master.ru/blog/marketolog-verification-sms	https://api-master.ru/blog/marketolog-verification-sms	200	INSPECTED		2026-09-22T04:15:01+00:00	THEME_SCOPED_PUBLIC_TAXONOMY	THEME_SCOPED_PUBLIC_TAXONOMY: public blog, Ozon API blog and service taxonomies on the specialized marketplace-automation site.	false	
