m5_hypothesis_id	hypothesis_comparison_key	marketplace_scope	task_or_intent_scope	direct_current_query_ids	direct_m10a_cluster_ids	direct_link_count	non_direct_candidate_cluster_ids	final_disposition	selected_case_ids	disposition_basis	expected_information_gain_summary	evidence_refs	claim_boundary
M5H00001	ии-помощник продавца	MARKETPLACE_UNSPECIFIED	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	M4QR2Q00006 | M4QR2Q00007 | M4QR2Q00008 | M4QR2Q00026 | M4QR2Q00028	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_b875735bfe0783e3 | M9CL_f0e07ec6b2f588c0	5	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_e5e5533784063649	Exact query M4QR2Q00028 names frozen cluster M9CL_f0e07ec6b2f588c0 and 10 causally compatible material HOLD pair IDs found in a full 1399-pair scan; ASSISTANT_ROLE has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00006 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_b875735bfe0783e3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00007 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00008 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_25bf819e5778d7d3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00026 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00028 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00002	подключение ии и сервисов к маркетплейсу	OZON_AND_WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_c0815ba7ee0ba5b2	Exact query M4QR2Q00037 names frozen cluster M9CL_3f05678ef9d62960 and 8 causally compatible material HOLD pair IDs found in a full 1399-pair scan; OWN_LLM_CONNECT has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Capture connector/API/help source mix and explanation of seller-owned read-only data access for the exact Search wording; test adjacent frozen connector boundaries without claiming LLM coverage.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00002 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00003	ии для ответов на отзывы ozon: анализ, генерация и мониторинг	OZON	read-only review analysis versus automated public customer replies	NONE	NONE	0	NONE_NOT_AUTHORIZED	NO_MATERIAL_M10A_DECISION_LINK	NONE	No direct current query and no defensible task/intent, marketplace, product-boundary and accepted M5 Search-context match to a named M10A owner/page-role HOLD; source wording or topic resemblance does not authorize a case.	UNPROVEN; revisit only with accepted, task-specific M10A and M5 linkage evidence.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00003 | NO_DIRECT_CURRENT_QUERY_LINK	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00004	нейросети для создания карточек товаров на ozon: автоматизация и seo	OZON	operational card review and preparation versus image generation or automatic publication	NONE	NONE	0	NONE_NOT_AUTHORIZED	NO_MATERIAL_M10A_DECISION_LINK	NONE	No direct current query and no defensible task/intent, marketplace, product-boundary and accepted M5 Search-context match to a named M10A owner/page-role HOLD; source wording or topic resemblance does not authorize a case.	UNPROVEN; revisit only with accepted, task-specific M10A and M5 linkage evidence.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00004 | NO_DIRECT_CURRENT_QUERY_LINK	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00005	ии-ассистент для продавцов ozon: автоматизация рутины селлера в 2025	OZON	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	M4QR2Q00006 | M4QR2Q00007 | M4QR2Q00008 | M4QR2Q00026 | M4QR2Q00028	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_b875735bfe0783e3 | M9CL_f0e07ec6b2f588c0	5	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_840dee47a90532a8	Exact query M4QR2Q00007 names frozen cluster M9CL_086ce4445a21d4fd and 6 causally compatible material HOLD pair IDs found in a full 1399-pair scan; ASSISTANT_ROLE has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00005 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00006 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_b875735bfe0783e3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00007 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00008 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_25bf819e5778d7d3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00026 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00028 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00006	интеграция ozon performance и chatgpt (openai)	OZON	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_e56413a05b57e358	Exact query M4QR2Q00001 names frozen cluster M9CL_bae58ac9423f9f3c and 3 causally compatible material HOLD pair IDs found in a full 1399-pair scan; OWN_LLM_CONNECT has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Capture connector/API/help source mix and explanation of seller-owned read-only data access for the exact Search wording; test adjacent frozen connector boundaries without claiming LLM coverage.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00006 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00007	интеграция gemini ai и ozon seller	OZON_AND_WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00007 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00008	интеграция ozon seller и алиса ai для бизнеса	OZON_AND_WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00008 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00009	интеграция claude ai (anthropic) и ozon seller	OZON_AND_WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00009 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00010	интеграция chatgpt (openai) и wildberries	WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_789a835e7de15e13	Exact query M4QR2Q00002 names frozen cluster M9CL_ddc2616f80ca85b6 and 3 causally compatible material HOLD pair IDs found in a full 1399-pair scan; OWN_LLM_CONNECT has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Capture connector/API/help source mix and explanation of seller-owned read-only data access for the exact Search wording; test adjacent frozen connector boundaries without claiming LLM coverage.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00010 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
