case_id	pair_id	cluster_id_a	cluster_id_b	terminal_search_only_disposition	m10a_boundary_state	diagnostic_relevance	expected_information_gain	evidence_refs	claim_boundary
M10BCASE_e5e5533784063649	M9PAIR_003b80aeed4307e6	M9CL_f0e07ec6b2f588c0	M9CL_086ce4445a21d4fd	TERMINAL_CURRENT_SEARCH_CONFLICT	HOLD_PAGE_OWNERSHIP_BOUNDARY	AI framing for `ии помощник селлера` can diagnose ASSISTANT_ROLE against adjacent frozen task `ии агент для озон`; it cannot decide same/separate page.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_003b80aeed4307e6 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Causal diagnostic target only; original M10A pair stays HOLD, with zero same/separate page authorizations.
M10BCASE_e5e5533784063649	M9PAIR_1d018d5c5d9e4732	M9CL_f0e07ec6b2f588c0	M9CL_b875735bfe0783e3	TERMINAL_CURRENT_SEARCH_CONFLICT	HOLD_PAGE_OWNERSHIP_BOUNDARY	AI framing for `ии помощник селлера` can diagnose ASSISTANT_ROLE against adjacent frozen task `ии агент для wildberries`; it cannot decide same/separate page.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_1d018d5c5d9e4732 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Causal diagnostic target only; original M10A pair stays HOLD, with zero same/separate page authorizations.
M10BCASE_e5e5533784063649	M9PAIR_2d68e30a77ccc511	M9CL_f0e07ec6b2f588c0	M9CL_3291d5bba9e4f595	TERMINAL_CURRENT_SEARCH_CONFLICT	HOLD_PAGE_OWNERSHIP_BOUNDARY	AI framing for `ии помощник селлера` can diagnose ASSISTANT_ROLE against adjacent frozen task `ии агенты маркетплейсы отчеты`; it cannot decide same/separate page.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_2d68e30a77ccc511 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Causal diagnostic target only; original M10A pair stays HOLD, with zero same/separate page authorizations.
M10BCASE_e5e5533784063649	M9PAIR_4f46ceccce6058ad	M9CL_25bf819e5778d7d3	M9CL_f0e07ec6b2f588c0	TERMINAL_CURRENT_SEARCH_CONFLICT	HOLD_PAGE_OWNERSHIP_BOUNDARY	AI framing for `ии помощник селлера` can diagnose ASSISTANT_ROLE against adjacent frozen task `ии агенты для маркетплейсов`; it cannot decide same/separate page.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_4f46ceccce6058ad | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Causal diagnostic target only; original M10A pair stays HOLD, with zero same/separate page authorizations.
M10BCASE_e5e5533784063649	M9PAIR_543c488005cfc692	M9CL_a03366ab2f0a93ef	M9CL_f0e07ec6b2f588c0	TERMINAL_CURRENT_SEARCH_CONFLICT	HOLD_PAGE_OWNERSHIP_BOUNDARY	AI framing for `ии помощник селлера` can diagnose ASSISTANT_ROLE against adjacent frozen task `ии агент для селлера`; it cannot decide same/separate page.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_543c488005cfc692 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Causal diagnostic target only; original M10A pair stays HOLD, with zero same/separate page authorizations.
M10BCASE_e5e5533784063649	M9PAIR_ca553dc5c5fff88e	M9CL_cfaa51fe2ecad73f	M9CL_f0e07ec6b2f588c0	TERMINAL_CURRENT_SEARCH_CONFLICT	HOLD_PAGE_OWNERSHIP_BOUNDARY	AI framing for `ии помощник селлера` can diagnose ASSISTANT_ROLE against adjacent frozen task `ии ассистент для озон`; it cannot decide same/separate page.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_ca553dc5c5fff88e | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Causal diagnostic target only; original M10A pair stays HOLD, with zero same/separate page authorizations.
M10BCASE_e5e5533784063649	M9PAIR_cf3f7ecf56b52167	M9CL_f0e07ec6b2f588c0	M9CL_f6913258126ccd8e	TERMINAL_CURRENT_SEARCH_CONFLICT	HOLD_PAGE_OWNERSHIP_BOUNDARY	AI framing for `ии помощник селлера` can diagnose ASSISTANT_ROLE against adjacent frozen task `ии для работы с маркетплейсами`; it cannot decide same/separate page.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_cf3f7ecf56b52167 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Causal diagnostic target only; original M10A pair stays HOLD, with zero same/separate page authorizations.
M10BCASE_e5e5533784063649	M9PAIR_cfa7cf50a6b3efda	M9CL_fe2be547bb98cbe2	M9CL_f0e07ec6b2f588c0	TERMINAL_CURRENT_SEARCH_CONFLICT	HOLD_PAGE_OWNERSHIP_BOUNDARY	AI framing for `ии помощник селлера` can diagnose ASSISTANT_ROLE against adjacent frozen task `ии ассистент селлера`; it cannot decide same/separate page.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_cfa7cf50a6b3efda | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Causal diagnostic target only; original M10A pair stays HOLD, with zero same/separate page authorizations.
M10BCASE_e5e5533784063649	M9PAIR_d1ab9c7800c72c99	M9CL_02025a258eff8c3d	M9CL_f0e07ec6b2f588c0	TERMINAL_CURRENT_SEARCH_CONFLICT	HOLD_PAGE_OWNERSHIP_BOUNDARY	AI framing for `ии помощник селлера` can diagnose ASSISTANT_ROLE against adjacent frozen task `ии ассистент для маркетплейсов`; it cannot decide same/separate page.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_d1ab9c7800c72c99 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Causal diagnostic target only; original M10A pair stays HOLD, with zero same/separate page authorizations.
M10BCASE_e5e5533784063649	M9PAIR_d1b08dd9abde6743	M9CL_994f2db1cb2d47e9	M9CL_f0e07ec6b2f588c0	TERMINAL_CURRENT_SEARCH_CONFLICT	HOLD_PAGE_OWNERSHIP_BOUNDARY	AI framing for `ии помощник селлера` can diagnose ASSISTANT_ROLE against adjacent frozen task `нейросеть для работы с маркетплейсами`; it cannot decide same/separate page.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_d1b08dd9abde6743 | docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	Causal diagnostic target only; original M10A pair stays HOLD, with zero same/separate page authorizations.
