semantic_identity_id	canonical_display_text	safe_exact_query_authority	exact_query_text	current_material_hold_degree	incremental_information_gain	provider_action_authorized	provider_action_block_reason	reopen_condition	evidence_refs
M8SID_0133a113dcbf6889	Интеграция Ozon Performance и ChatGPT (OpenAI)	NO	NONE	4	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_0133a113dcbf6889 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_0133a113dcbf6889 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_0ce35825bf4cba3b	Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места	NO	NONE	23	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_0ce35825bf4cba3b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_0ce35825bf4cba3b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_1d9b00510d4544c8	Управление остатками на Wildberries: как использовать отчёт «История остатков»	NO	NONE	21	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_1d9b00510d4544c8 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_1d9b00510d4544c8 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_21a051e61744f9fa	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	NO	NONE	36	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_21a051e61744f9fa | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_21a051e61744f9fa | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_26313942bc9cfe04	Аналитика продаж на Вайлдберриз в программе для интеграции с маркетплейсами	NO	NONE	25	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_26313942bc9cfe04 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_26313942bc9cfe04 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_2a1f3b8d04a0da08	Отчёт «Доходы и расходы» Wildberries: как читать и сверять	NO	NONE	36	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_2a1f3b8d04a0da08 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_2a1f3b8d04a0da08 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_3b03ea8b493492c0	Как сквозная аналитика продаж поможет вам больше зарабатывать на маркетплейсах	NO	NONE	18	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_3b03ea8b493492c0 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_3b03ea8b493492c0 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_400f6c28e9d7fc9b	Интеграция Claude AI (Anthropic) и Ozon Seller	NO	NONE	1	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_400f6c28e9d7fc9b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_400f6c28e9d7fc9b | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_50e949b2f6a4c494	Работа c маркетплейсом: отчеты и аналитика	NO	NONE	60	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_50e949b2f6a4c494 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_50e949b2f6a4c494 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_544e197891683f4c	Аналитика продавца Wildberries: как читать отчёты и находить точки роста	NO	NONE	57	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_544e197891683f4c | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_544e197891683f4c | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
