diagnostic_id	diagnostic_class	tested_universe	observed	final_resolution	evidence_refs	claim_boundary
M9H_DIAG_001	MATERIAL_PREDICATE_INDEPENDENT	5,356 pairs; 1,399 material	Independent exact pair-id set equals accepted HOLD ledger 1,399/1,399.	PASS	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	No provider, pair/cluster mutation, page owner or IA inference.
M9H_DIAG_002	ANCHOR_PARTITION	1,399 material pairs	477 anchor/anchor; 613 anchor/nonanchor; 309 nonanchor/nonanchor.	PASS	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	No provider, pair/cluster mutation, page owner or IA inference.
M9H_DIAG_003	NONANCHOR_SET	104 eligible; 65 current Search anchors	39 distinct eligible nonanchors; none from non-WORKING M8.	PASS	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_IDENTITY_ELIGIBILITY_LEDGER.tsv	No provider, pair/cluster mutation, page owner or IA inference.
M9H_DIAG_004	QUERY_FORM_PARTITION	39 eligible nonanchors	33 page/source; five ambiguous; one accepted exact query.	PASS	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv	No provider, pair/cluster mutation, page owner or IA inference.
M9H_DIAG_005	MATERIAL_DEGREE	39 nonanchors; 104 clusters	38 positive and one zero; output degrees equal independent edge recount and accepted membership/master degrees.	PASS	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_CLUSTER_MASTER.tsv	No provider, pair/cluster mutation, page owner or IA inference.
M9H_DIAG_006	CURRENT_65_NO_DUPLICATE_REQUERY	65 current exact anchors	All provider gain rows come from disjoint 39; no proposed exact query duplicates current anchors.	PASS	docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	No provider, pair/cluster mutation, page owner or IA inference.
M9H_DIAG_007	PAGE_TITLE_QUERY_CONVERSION	33 page-title/source phrases	33/33 exact_query_text=NONE, provider NO; no rewritten queries.	PASS	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv	No provider, pair/cluster mutation, page owner or IA inference.
M9H_DIAG_008	AMBIGUOUS_QUERY_REWRITE	five ambiguous query forms	5/5 exact_query_text=NONE, provider NO; owner evidence needed to reopen.	PASS	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv	No provider, pair/cluster mutation, page owner or IA inference.
M9H_DIAG_009	EXACT_QUERY_ZERO_GAIN	M8SID_aeb8b283519ced02	Accepted exact text ии для продаж на маркетплейсах; material degree 0; provider NO.	PASS	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv	No provider, pair/cluster mutation, page owner or IA inference.
M9H_DIAG_010	PAIR_AUTHORITY_IMMUTABLE	5,356 accepted R2 pairs	Accepted pair blob matches frozen identity; no emitted pair mutations; all output joins refer to original pair IDs.	PASS	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	No provider, pair/cluster mutation, page owner or IA inference.
