test_id	scenario	expected_guard	observed	verdict	evidence_refs
AD01_EXACT_CASE_SET	Exact Case Set	Pass frozen identity/lineage/provenance/causal boundary without mutation	15 exact accepted IDs and one row each	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD02_RAW_SNAPSHOT_ACCOUNTING	Raw Snapshot Accounting	Pass frozen identity/lineage/provenance/causal boundary without mutation	27 raw files, each assigned exactly once	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD03_TERMINAL_STATE_MATCH	Terminal State Match	Pass frozen identity/lineage/provenance/causal boundary without mutation	15 terminal closure states reproduced	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD04_ONE_OUTCOME_PER_CASE	One Outcome Per Case	Pass frozen identity/lineage/provenance/causal boundary without mutation	one outcome per accepted case	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD05_OUTCOME_VOCABULARY	Outcome Vocabulary	Pass frozen identity/lineage/provenance/causal boundary without mutation	closed outcomes and implications	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD06_M10A_OWNER_STATE_IMMUTABLE	M10A Owner State Immutable	Pass frozen identity/lineage/provenance/causal boundary without mutation	M10A owner state byte-equivalent	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD07_M10A_PAGE_ROLE_IMMUTABLE	M10A Page Role Immutable	Pass frozen identity/lineage/provenance/causal boundary without mutation	M10A page-role state byte-equivalent	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD08_CLUSTER_XREF_ROW_LOSS	Cluster Xref Row Loss	Pass frozen identity/lineage/provenance/causal boundary without mutation	184 original case-cluster records preserved in order, including original evidence_refs column	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD09_BOUNDARY_XREF_ROW_LOSS	Boundary Xref Row Loss	Pass frozen identity/lineage/provenance/causal boundary without mutation	166 original case-boundary records preserved in order, including original evidence_refs column	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD10_BOUNDARY_PAIR_SET_DRIFT	Boundary Pair Set Drift	Pass frozen identity/lineage/provenance/causal boundary without mutation	155 unique frozen boundary IDs	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD11_SHARED_CLUSTER_RECONCILIATION	Shared Cluster Reconciliation	Pass frozen identity/lineage/provenance/causal boundary without mutation	all 63 shared cluster targets reconciled	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD12_SHARED_BOUNDARY_RECONCILIATION	Shared Boundary Reconciliation	Pass frozen identity/lineage/provenance/causal boundary without mutation	all 11 shared boundary targets reconciled	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD13_AI_AS_DEMAND_FORBIDDEN	Ai As Demand Forbidden	Pass frozen identity/lineage/provenance/causal boundary without mutation	GenSearch never promoted to demand	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD14_THIRD_PARTY_AS_OFFICIAL_FORBIDDEN	Third Party As Official Forbidden	Pass frozen identity/lineage/provenance/causal boundary without mutation	Third-party claims kept distinct from official authority	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD15_OFFICIAL_ABSENCE_AS_NEGATIVE_FACT_FORBIDDEN	Official Absence As Negative Fact Forbidden	Pass frozen identity/lineage/provenance/causal boundary without mutation	No negative market conclusion inferred from missing official citations	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD16_FAKE_CREATE_FORBIDDEN	Fake Create Forbidden	Pass frozen identity/lineage/provenance/causal boundary without mutation	No fake CREATE or route decision	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD17_FINAL_OWNER_LEAK_FORBIDDEN	Final Owner Leak Forbidden	Pass frozen identity/lineage/provenance/causal boundary without mutation	No final owner claim	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD18_CROSS_CASE_CONFLICT_COLLAPSE_FORBIDDEN	Cross Case Conflict Collapse Forbidden	Pass frozen identity/lineage/provenance/causal boundary without mutation	Shared HOLD signals not collapsed	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD19_PROVIDER_WEB_ACQUISITION_FORBIDDEN	Provider Web Acquisition Forbidden	Pass frozen identity/lineage/provenance/causal boundary without mutation	No Work provider, Bridge, web, GitHub or site mutation commands issued; source files read-only	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
AD20_PRODUCT_TRUTH_CONFLICT	Product Truth Conflict	Pass frozen identity/lineage/provenance/causal boundary without mutation	Positive third-party automation never made Octoport write-capable	PASS	docs/seo/M10D_SEARCH_VS_AI_RECONCILIATION_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/M10C_ACCEPTED_EVIDENCE_MANIFEST_2026-09-25_R1.json | M10D_CASE_RECONCILIATION.tsv | M10D_CROSS_CASE_RECONCILIATION.tsv
