diagnostic_id	diagnostic_class	pair_id	semantic_identity_id_a	semantic_identity_id_b	affected_pair_count	observed_conflict	expected_review	final_resolution	changed_by_diagnostic	sibling_impact_checked	notes
M9D00001	CHAIN_TRANSITIVE_OVERMERGE	M9PAIR_63bc080d35f91592	M8SID_3ebb28124694e272	M8SID_644f4afb78dc957a	3	Every triple that could link through a supported edge is checked against its third edge.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	No multi-member group formed through a noncomplete merge chain.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00002	GIANT_F3_ANALYTICS_CLUSTER	M9PAIR_0011df11fd51b35d	M8SID_0943a1068e9402f4	M8SID_096b2cc4a0b3c4f5	3003	F3 preliminary role cannot group identities.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	Largest retained group has one member; 104 boundary singletons due external holds.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00003	SERP_MERGE_METRICS	M9PAIR_63bc080d35f91592	M8SID_3ebb28124694e272	M8SID_644f4afb78dc957a	3	Independent 231-pair exact current URL/domain recomputation; each merge has explicit task/scope authority.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	All three supported edges valid; all unmaterialized because of external material HOLD.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00004	SAME_URL_DIFFERENT_TASK_INTENT	M9PAIR_0079f8207caabf56	M8SID_3251f136551cd109	M8SID_3584fdc5b76fc551	14	Shared current URLs do not override distinct task or intent.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	No pair with explicit different task/intent merged.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00005	ZERO_OVERLAP_SPLIT_SEMANTIC	M9PAIR_05e8fe3a1f0248de	M8SID_0943a1068e9402f4	M8SID_3251f136551cd109	164	Top10 URL zero cannot be the sole split basis.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	Every zero-overlap split has explicit task, intent, page-type, marketplace, or product answer basis.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00006	NO_SERP_MERGE	M9PAIR_00048fd99ef5ef05	M8SID_0133a113dcbf6889	M8SID_096b2cc4a0b3c4f5	3321	No current SERP pair can be merged.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	No no-SERP/no-SERP pair merged; all metrics NA_NOT_COMPARABLE.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00007	GENERIC_OZON_WB_SCOPE	M9PAIR_0011df11fd51b35d	M8SID_0133a113dcbf6889	M8SID_0943a1068e9402f4	2396	Generic-specific wording alone is not identity equivalence.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	No forced marketplace merge; pairwise scope relation carried.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00008	SERVICE_COMPARE_REPORT_HELP	M9PAIR_023b13c307a085cb	M8SID_0133a113dcbf6889	M8SID_afe48225d34ce12b	103	Service comparison must not join informational report instructions.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	Task/intent pair decisions inspected throughout the full pair matrix.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00009	F1_AGENT_VS_F2_CONNECT	M9PAIR_01280a5a3810520b	M8SID_0133a113dcbf6889	M8SID_21a8a6bdb4a71db0	72	Choosing an AI helper and connecting own AI are separate user jobs.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	No F1/F2 pair merged, including pairs sharing a URL.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00010	REPORT_VS_AD_PERFORMANCE	M9PAIR_012164bd846af401	M8SID_0133a113dcbf6889	M8SID_7c14f16157d077b9	103	Advertising metric interpretation may differ from ordinary seller reports.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	No automatic generic analytics giant cluster.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00011	RETAINED_EXTERNAL_MATERIAL_HOLD	M9PAIR_00048fd99ef5ef05	M8SID_0133a113dcbf6889	M8SID_4a1030b3d8bdd2d5	1424	External material HOLD must demote any proposed retained group.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	1424 material pair boundaries mapped to singleton HOLD clusters; no retained violation.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00012	RETAINED_SINGLETON_MISSING_SERP	M9PAIR_00048fd99ef5ef05	M8SID_0133a113dcbf6889	M8SID_0943a1068e9402f4	5125	Absence of Search alone cannot retain singleton.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	No missing-SERP singleton is retained; all 104 cluster states are explicit HOLD.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00013	M8_NONWORKING_ADMISSION	NONE	NONE	NONE	0	Only accepted M8 WORKING may enter 5356 pairs.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	104/104 eligible; zero REVIEW_HOLD, EXCLUDED or BRAND_DEFENSE members.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00014	DUPLICATE_MEMBERSHIP	NONE	NONE	NONE	0	Check all 104 semantic IDs occur once.	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	104 unique memberships and deterministic cluster IDs; no duplicates.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00015	UNMATERIALIZED_SUPPORTED_MERGE	M9PAIR_63bc080d35f91592	M8SID_3ebb28124694e272	M8SID_644f4afb78dc957a	1	отчеты продаж маркетплейсов / отчеты маркетплейсов	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	Endpoint material HOLD counts: 23 and 45; preserve supported pair without forming an invalid retained cluster.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00016	UNMATERIALIZED_SUPPORTED_MERGE	M9PAIR_d8d09565d02e3ba1	M8SID_437d0cbcb94b3694	M8SID_c9cbb3939920b7ee	1	программа аналитики маркетплейсов / сервис аналитики маркетплейсов	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	Endpoint material HOLD counts: 24 and 24; preserve supported pair without forming an invalid retained cluster.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
M9D00017	UNMATERIALIZED_SUPPORTED_MERGE	M9PAIR_716f412c856d8db5	M8SID_529f805abccbf8b2	M8SID_fd88d7d9e3b2e406	1	подключить chatgpt к маркетплейсу / chatgpt для маркетплейсов	Independently recompute all applicable pairs from frozen accepted evidence and check cluster membership	Endpoint material HOLD counts: 3 and 5; preserve supported pair without forming an invalid retained cluster.	NO	ALL_5356_PAIRS_AND_104_MEMBERSHIPS	No ad-hoc URL/page type inference; complete Search-only pair universe checked.
