work_id	preparation_base_head	input_group	role	path	blob_sha	required
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	RULE	docs/seo/LEVEL1/README.md	4c3a30644ac736b926ec82bba6b1a6e33434ac06	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	RULE	docs/seo/EXECUTION_RULES.md	4e999af4826d6f72fd15f481a698f674c8ed2d5c	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	RULE	docs/seo/WORK_HANDOFF_RULE.md	71a031e74b921dade5998beb842fb3afcc4478e7	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	RULE	docs/seo/QUALITY_FIRST_RESOURCE_RULE.md	9917a52b837bcb8ae50eb63cc53e7becd1671b39	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	PRODUCT	docs/seo/PRODUCT_TRUTH.md	6a469d5743142d3e476afa5d2cda653fd411ecb8	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	RULE	docs/seo/LEVEL2/M4_SEARCH_COMPETITOR_LANDING_RULES.md	3ef9e456dd724500f1b4068236a80211d1fb69be	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	RULE	docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	598a248c459b705ac9b7a0e53a86870733d6f379	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	DEMAND	docs/seo/work/M2R_PHRASE_LINEAGE_LEDGER_2026-09-17.csv	9343048ed82f129b3f7433c46899e6f255a420a8	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	DEMAND	docs/seo/work/M2R_FULL_VOLUME_RECONCILIATION_2026-09-17.md	f850699a095ba480451b117b9ff0ba357d9e7488	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	SERP	docs/seo/serp/M3_QUERY_MATRIX_2026-09-17.md	0d43a40a8d5c865f2078a4f6f2a01815cd9b415f	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	AUTHORITY	docs/seo/serp/competitors/M4Q_R1_SOURCE_LIMITATION_ACCEPTANCE_2026-09-22.md	c51cdabdaee86b87b9fb7ee023d5bf9221607fc8	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	AUTHORITY	docs/seo/serp/competitors/M4C_R1_MAIN_CHAT_FINAL_ACCEPTANCE_2026-09-23.md	8b8f075052f03511e6d0b831a3688e65da488f7d	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	COMPETITOR	docs/seo/serp/competitors/work_return/M4A_HARDENED_2026-09-18_R3/M4A_COMPETITOR_REGISTRY.tsv	822155d7cebcbcf5cf8cdaef0f92782d5f84cd59	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	COMPETITOR	docs/seo/serp/competitors/work_return/M4C_SYNTHESIS_2026-09-22_R1/M4C_HARDENED_COMPETITOR_REGISTRY.tsv	43ce2150686b1b1df33ddb947b8a6920ebb2f112	true
OCTOPORT_SEO_M4Q_R2_QUERY_MANIFEST_2026-09-23_R2	75fd8d5bbb153991a3b322192d934839b4f9fc48	UPSTREAM	COMPETITOR	docs/seo/serp/competitors/work_return/M4C_SYNTHESIS_2026-09-22_R1/M4C_COVERAGE_LEDGER.tsv	e308aac9ade959c3a4faebb7c391ea3d25c7c7f4	true
