target_id	registry_id	ranking_url	best_current_rank	query_count	execution_query_ids	exact_query_texts	source_pass_b_file	source_relation	m4c_url_ledger_status	required_action	claim_boundary
M4QR2TR0001	REG019	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/	6	1	M4QR2Q00002	chatgpt для wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0002	REG019	https://legasoft.ru/about/blog/marketpleysy/skhema-dokumentooborota-s-marketpleysami-vozvraty-spisaniya-na-primere-1s-unf/?sphrase_id=1691743	2	1	M4QR2Q00034	отчет о списаниях маркетплейс	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0003	REG022	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	14	1	M4QR2Q00032	отчет маркетплейса вайлдберриз	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0004	REG022	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	9	2	M4QR2Q00014 || M4QR2Q00038	поисковые запросы wildberries || поисковые запросы wildberries для продавца	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0005	REG022	https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/	14	1	M4QR2Q00044	чистая прибыль на маркетплейсе	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0006	REG022	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	9	1	M4QR2Q00009	как заполнить карточку товара wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0007	REG022	https://marpla.ru/blog/raschet-drr-na-wildberries/	2	1	M4QR2Q00024	дрр wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0008	REG022	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	15	1	M4QR2Q00009	как заполнить карточку товара wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0009	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B_%D0%BD%D0%B0_%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8	7	2	M4QR2Q00035 || M4QR2Q00036	отчеты маркетплейсов || отчеты продаж маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0010	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%BD%D1%8B%D0%B8_%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%B0_%D0%B8%D0%B7_ozon	2	2	M4QR2Q00025 || M4QR2Q00033	загрузка отчетов с маркетплейсов || отчет маркетплейса озон	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0011	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0_c_%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D0%BE%D0%BC_%D0%BE%D1%82%D1%87%D0%B5%D1%82%D1%8B_%D0%B8_%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0	3	2	M4QR2Q00035 || M4QR2Q00036	отчеты маркетплейсов || отчеты продаж маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0012	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/analitika-marketpleysov/	2	7	M4QR2Q00005 || M4QR2Q00017 || M4QR2Q00019 || M4QR2Q00020 || M4QR2Q00022 || M4QR2Q00030 || M4QR2Q00042	аналитика запросов маркетплейсов || аналитика маркетплейсов || аналитика продаж на маркетплейсах || аналитика рекламы маркетплейсов || внутренняя аналитика маркетплейсов || лучшие сервисы аналитики маркетплейсов || сервис аналитики маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0013	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-analitika-uluchshaet-prodazhi-na-marketpleysakh/	14	2	M4QR2Q00035 || M4QR2Q00036	отчеты маркетплейсов || отчеты продаж маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	12	1	M4QR2Q00010	как работать в кабинете wildberries продавцу	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0015	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-schitat-yunit-ekonomiku-dlya-marketpleysov/	2	2	M4QR2Q00040 || M4QR2Q00045	расчет прибыли на маркетплейсе || юнит экономика маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0016	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/	4	1	M4QR2Q00009	как заполнить карточку товара wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0017	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	7	1	M4QR2Q00003	анализ ниш wildberries для продавца	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0018	REG025	https://mpboost.pro/analytics/	4	8	M4QR2Q00004 || M4QR2Q00005 || M4QR2Q00015 || M4QR2Q00017 || M4QR2Q00018 || M4QR2Q00021 || M4QR2Q00022 || M4QR2Q00042	аналитика запросов маркетплейсов || аналитика карточек маркетплейсов || аналитика маркетплейсов для селлеров || аналитика рекламы wildberries || аналитика рекламы маркетплейсов || внутренняя аналитика маркетплейсов || помощник селлера маркетплейсов || сервис аналитики маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0019	REG026	https://mpfact.ru/tpost/kak-poschitat-pribyl	7	1	M4QR2Q00044	чистая прибыль на маркетплейсе	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0020	REG027	https://mpmgr.ru/blog/ads-promotion/analytics-metrics-wildberries-ads	16	1	M4QR2Q00024	дрр wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0021	REG027	https://mpmgr.ru/blog/ads-promotion/audit-reklamy-drr-wildberries	9	1	M4QR2Q00024	дрр wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0022	REG027	https://mpmgr.ru/blog/analytics/drr-kak-schitat	7	1	M4QR2Q00024	дрр wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0023	REG027	https://mpmgr.ru/blog/business/marzhinalnost-i-rentabelnost-marketpleysy	5	1	M4QR2Q00031	маржинальность на маркетплейсах	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0024	REG027	https://mpmgr.ru/blog/business/vidy-pribyli-sellery	1	2	M4QR2Q00040 || M4QR2Q00044	расчет прибыли на маркетплейсе || чистая прибыль на маркетплейсе	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0025	REG028	https://mpstats.io/media/business/finance/unit-ekonomika-dlya-marketpleisov	20	1	M4QR2Q00045	юнит экономика маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0026	REG028	https://mpstats.io/media/marketing/analiz-celevoj-auditorii-chatgpt	17	1	M4QR2Q00016	chatgpt для маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0027	REG028	https://mpstats.io/media/mpstats/analiz-vneshnej-reklamy-wb	2	1	M4QR2Q00021	аналитика рекламы wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0028	REG028	https://mpstats.io/media/wildberries/cards/sozdat-kartochku-tovara	20	1	M4QR2Q00009	как заполнить карточку товара wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0029	REG028	https://mpstats.io/media/wildberries/docs/otchety-dlya-vnutrenney-analitiki	7	1	M4QR2Q00032	отчет маркетплейса вайлдберриз	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
