provider_candidate_id	m6_gap_ids	linked_primary_source_row_ids	m3_query_id	provider	method	exact_phrase_or_query	search_type	region	devices_or_useragent_requirement	response_format_requirement	requested_depth	current_evidence_insufficient_reason	expected_information_gain	positive_meaning	valid_zero_meaning	failure_meaning	unknown_meaning	stop_rule	persistence_target	downstream_decision	bridge_capability_status	execution_allowed	notes
M6PC001	M6G001	M6SRC01233		YANDEX_WORDSTAT	WORDSTAT_GET_TOP	ABC-анализ товаров на OZON	N/A_WORDSTAT	225	DEVICE_ALL	WORDSTAT_GET_TOP_RESULTS_AND_ASSOCIATIONS	200	No exact-safe M2R observation of «ABC-анализ товаров на OZON» in all 1123 ledger rows; M4Q visibility is not a demand measure.	Ozon product ABC classification is absent from M2R; would the exact source wording have a measurable current Wordstat response?	A bounded last-30-day response with nonempty directly linked results supports further separate demand-validation review, not a page/cluster decision.	A successful complete empty result means no matching top phrases returned for this exact input/region/device at the specified depth and interval; it is not proof of zero total demand or lack of seller need.	No observation: retry/diagnose provider transport only after a separate accepted authorization; never impute zero.	Uninterpretable or truncated result remains UNKNOWN; retain current evidence and gate.	One complete time-stamped accepted response for the specified phrase/region/device/depth; do not expand variants by default.	docs/seo/work/M6_PENDING_PROVIDER_RAW/M6PC001.json	Decision to retain a separately validated ABC inventory or sales reporting question in M6; still requires product-fit authority.	SUPPORTED_YMB_0_1_9; MAIN_CHAT_REVERIFY_REQUIRED	false	numPhrases=200; depth rationale: ABC report wording can expose marketplace-specific product families, so bounded top200 is planned; source=M4CM6G01233/M6SRC01233; no exact-form Wordstat operator asserted; source title stays literal; CANDIDATE_ONLY_MAIN_CHAT_ACCEPTANCE_REQUIRED; NO_BRIDGE_COMMAND_RELEASED
M6PC002	M6G001	M6SRC05451		YANDEX_WORDSTAT	WORDSTAT_GET_TOP	Как сделать ABC-анализ на Wildberries	N/A_WORDSTAT	225	DEVICE_ALL	WORDSTAT_GET_TOP_RESULTS_AND_ASSOCIATIONS	200	No exact-safe M2R observation of «Как сделать ABC-анализ на Wildberries» in all 1123 ledger rows; M4Q visibility is not a demand measure.	Wildberries product ABC classification is absent from M2R; does the distinct observed WB wording add demand evidence to the seller-owned analytics task?	A bounded last-30-day response with nonempty directly linked results supports further separate demand-validation review, not a page/cluster decision.	A successful complete empty result means no matching top phrases returned for this exact input/region/device at the specified depth and interval; it is not proof of zero total demand or lack of seller need.	No observation: retry/diagnose provider transport only after a separate accepted authorization; never impute zero.	Uninterpretable or truncated result remains UNKNOWN; retain current evidence and gate.	One complete time-stamped accepted response for the specified phrase/region/device/depth; do not expand variants by default.	docs/seo/work/M6_PENDING_PROVIDER_RAW/M6PC002.json	Decision to retain a separately validated ABC inventory or sales reporting question in M6; still requires product-fit authority.	SUPPORTED_YMB_0_1_9; MAIN_CHAT_REVERIFY_REQUIRED	false	numPhrases=200; depth rationale: ABC report wording can expose marketplace-specific product families, so bounded top200 is planned; source=M4CM6G05451/M6SRC05451; no exact-form Wordstat operator asserted; source title stays literal; CANDIDATE_ONLY_MAIN_CHAT_ACCEPTANCE_REQUIRED; NO_BRIDGE_COMMAND_RELEASED
M6PC003	M6G002	M6SRC04794		YANDEX_WORDSTAT	WORDSTAT_GET_TOP	Как построить воронку продаж на маркетплейсе	N/A_WORDSTAT	225	DEVICE_ALL	WORDSTAT_GET_TOP_RESULTS_AND_ASSOCIATIONS	100	No exact-safe M2R observation of «Как построить воронку продаж на маркетплейсе» in all 1123 ledger rows; M4Q visibility is not a demand measure.	Seller sales-funnel report is absent from M2R; could this source-observed task warrant retention as its own M7 Search-side candidate?	A bounded last-30-day response with nonempty directly linked results supports further separate demand-validation review, not a page/cluster decision.	A successful complete empty result means no matching top phrases returned for this exact input/region/device at the specified depth and interval; it is not proof of zero total demand or lack of seller need.	No observation: retry/diagnose provider transport only after a separate accepted authorization; never impute zero.	Uninterpretable or truncated result remains UNKNOWN; retain current evidence and gate.	One complete time-stamped accepted response for the specified phrase/region/device/depth; do not expand variants by default.	docs/seo/work/M6_PENDING_PROVIDER_RAW/M6PC003.json	Decide whether the funnel task merits further M6/M7 consideration separate from existing sales reporting.	SUPPORTED_YMB_0_1_9; MAIN_CHAT_REVERIFY_REQUIRED	false	numPhrases=100; depth rationale: single narrowly specified seller metric task, so bounded top100 is planned; source=M4CM6G04794/M6SRC04794; no exact-form Wordstat operator asserted; source title stays literal; CANDIDATE_ONLY_MAIN_CHAT_ACCEPTANCE_REQUIRED; NO_BRIDGE_COMMAND_RELEASED
M6PC004	M6G003	M6SRC02978		YANDEX_WORDSTAT	WORDSTAT_GET_TOP	Процент возвратов на Wildberries: как считать, анализировать и снижать	N/A_WORDSTAT	225	DEVICE_ALL	WORDSTAT_GET_TOP_RESULTS_AND_ASSOCIATIONS	100	No exact-safe M2R observation of «Процент возвратов на Wildberries: как считать, анализировать и снижать» in all 1123 ledger rows; M4Q visibility is not a demand measure.	Seller return-rate analysis is absent from M2R; does this exact observed WB wording add a measurable report task beyond generic seller analytics?	A bounded last-30-day response with nonempty directly linked results supports further separate demand-validation review, not a page/cluster decision.	A successful complete empty result means no matching top phrases returned for this exact input/region/device at the specified depth and interval; it is not proof of zero total demand or lack of seller need.	No observation: retry/diagnose provider transport only after a separate accepted authorization; never impute zero.	Uninterpretable or truncated result remains UNKNOWN; retain current evidence and gate.	One complete time-stamped accepted response for the specified phrase/region/device/depth; do not expand variants by default.	docs/seo/work/M6_PENDING_PROVIDER_RAW/M6PC004.json	Decide whether return-rate reporting warrants its own later M6/M7 validation lane; no automated returns action inferred.	SUPPORTED_YMB_0_1_9; MAIN_CHAT_REVERIFY_REQUIRED	false	numPhrases=100; depth rationale: single narrowly specified seller metric task, so bounded top100 is planned; source=M4CM6G02978/M6SRC02978; no exact-form Wordstat operator asserted; source title stays literal; CANDIDATE_ONLY_MAIN_CHAT_ACCEPTANCE_REQUIRED; NO_BRIDGE_COMMAND_RELEASED
M6PC005	M6G004		R01	YANDEX_SEARCH	SEARCH_HTML_CONTROL_CAPABILITY_HOLD	подключить chatgpt к маркетплейсу	SEARCH_TYPE_RU	225	UNSPECIFIED_DEFAULT	FORMAT_HTML_REQUIRED_UNSUPPORTED_BY_CURRENT_BRIDGE	BOUNDED_TOP20_AND_FEATURES	M3/M4Q accepted organic XML lacks complete rendered search-feature evidence.	Does full HTML for M3 R01 «подключить chatgpt к маркетплейсу» expose feature blocks that materially change seller integration versus generic connection instructions or answer-card treatment from the accepted XML organic interpretation?	Observed material search-feature differences could trigger a targeted intent interpretation review only.	No feature in an accepted full HTML response would close this feature question for that snapshot, not prove absence across time/devices.	No observation: retry/diagnose provider transport only after a separate accepted authorization; never impute zero.	Uninterpretable or truncated result remains UNKNOWN; retain current evidence and gate.	One complete time-stamped accepted response for the specified phrase/region/device/depth; do not expand variants by default.	docs/seo/work/M6_PENDING_PROVIDER_RAW/M6PC005.json	M3 R01 feature-level intent control, held until authorized access exists.	HOLD_BRIDGE_CAPABILITY_REQUIRED; CURRENT_YMB_0_1_9_FIXED_XML	false	No executable current-Bridge FORMAT_HTML command can be constructed; do not assume provider support is Bridge support; CANDIDATE_ONLY_MAIN_CHAT_ACCEPTANCE_REQUIRED; NO_BRIDGE_COMMAND_RELEASED
M6PC006	M6G005		R04	YANDEX_SEARCH	SEARCH_XML_REGION_CONTROL	аналитика маркетплейсов для селлеров	SEARCH_TYPE_RU	213	UNSPECIFIED_DEFAULT	FORMAT_XML	100	M3 and M4Q both observe RU225, never Moscow213; query R04 has a potentially local seller service/hiring interpretation.	For M3 R04 «аналитика маркетплейсов для селлеров», would Moscow region 213 change the seller-service versus human/local-service composition of the current RU225 organic Top20 enough to reclassify the accepted intent boundary?	A complete regional Top20 with a materially different authorized-role or intent composition prompts a targeted M3/M4 context review, not a demand estimate.	A complete regional Top20 with no authorized competitors or no material composition difference closes only this selected region control; it is not zero demand.	No observation: retry/diagnose provider transport only after a separate accepted authorization; never impute zero.	Uninterpretable or truncated result remains UNKNOWN; retain current evidence and gate.	One complete time-stamped accepted response for the specified phrase/region/device/depth; do not expand variants by default.	docs/seo/work/M6_PENDING_PROVIDER_RAW/M6PC006.json	M3 R04 bounded regional-intent sensitivity and M4C interpretation only.	SUPPORTED_YMB_0_1_9_XML_REGION; MAIN_CHAT_REVERIFY_REQUIRED	false	Region=213 is a planned comparison to existing 225; not device-controlled; rank changes are not causal; CANDIDATE_ONLY_MAIN_CHAT_ACCEPTANCE_REQUIRED; NO_BRIDGE_COMMAND_RELEASED
M6PC007	M6G006		R04	YANDEX_SEARCH	SEARCH_HTML_CONTROL_CAPABILITY_HOLD	аналитика маркетплейсов для селлеров	SEARCH_TYPE_RU	225	UNSPECIFIED_DEFAULT	FORMAT_HTML_REQUIRED_UNSUPPORTED_BY_CURRENT_BRIDGE	BOUNDED_TOP20_AND_FEATURES	M3/M4Q accepted organic XML lacks complete rendered search-feature evidence.	Does full HTML for M3 R04 «аналитика маркетплейсов для селлеров» expose feature blocks that materially change seller analytics product versus promoted agency, hiring or local service treatment from the accepted XML organic interpretation?	Observed material search-feature differences could trigger a targeted intent interpretation review only.	No feature in an accepted full HTML response would close this feature question for that snapshot, not prove absence across time/devices.	No observation: retry/diagnose provider transport only after a separate accepted authorization; never impute zero.	Uninterpretable or truncated result remains UNKNOWN; retain current evidence and gate.	One complete time-stamped accepted response for the specified phrase/region/device/depth; do not expand variants by default.	docs/seo/work/M6_PENDING_PROVIDER_RAW/M6PC007.json	M3 R04 feature-level intent control, held until authorized access exists.	HOLD_BRIDGE_CAPABILITY_REQUIRED; CURRENT_YMB_0_1_9_FIXED_XML	false	No executable current-Bridge FORMAT_HTML command can be constructed; do not assume provider support is Bridge support; CANDIDATE_ONLY_MAIN_CHAT_ACCEPTANCE_REQUIRED; NO_BRIDGE_COMMAND_RELEASED
M6PC008	M6G007		R06	YANDEX_SEARCH	SEARCH_XML_REGION_CONTROL	помощник селлера маркетплейсов	SEARCH_TYPE_RU	213	UNSPECIFIED_DEFAULT	FORMAT_XML	100	M3 and M4Q both observe RU225, never Moscow213; query R06 has a potentially local seller service/hiring interpretation.	For M3 R06 «помощник селлера маркетплейсов», would Moscow region 213 change the seller-service versus human/local-service composition of the current RU225 organic Top20 enough to reclassify the accepted intent boundary?	A complete regional Top20 with a materially different authorized-role or intent composition prompts a targeted M3/M4 context review, not a demand estimate.	A complete regional Top20 with no authorized competitors or no material composition difference closes only this selected region control; it is not zero demand.	No observation: retry/diagnose provider transport only after a separate accepted authorization; never impute zero.	Uninterpretable or truncated result remains UNKNOWN; retain current evidence and gate.	One complete time-stamped accepted response for the specified phrase/region/device/depth; do not expand variants by default.	docs/seo/work/M6_PENDING_PROVIDER_RAW/M6PC008.json	M3 R06 bounded regional-intent sensitivity and M4C interpretation only.	SUPPORTED_YMB_0_1_9_XML_REGION; MAIN_CHAT_REVERIFY_REQUIRED	false	Region=213 is a planned comparison to existing 225; not device-controlled; rank changes are not causal; CANDIDATE_ONLY_MAIN_CHAT_ACCEPTANCE_REQUIRED; NO_BRIDGE_COMMAND_RELEASED
M6PC009	M6G008		R06	YANDEX_SEARCH	SEARCH_HTML_CONTROL_CAPABILITY_HOLD	помощник селлера маркетплейсов	SEARCH_TYPE_RU	225	UNSPECIFIED_DEFAULT	FORMAT_HTML_REQUIRED_UNSUPPORTED_BY_CURRENT_BRIDGE	BOUNDED_TOP20_AND_FEATURES	M3/M4Q accepted organic XML lacks complete rendered search-feature evidence.	Does full HTML for M3 R06 «помощник селлера маркетплейсов» expose feature blocks that materially change seller assistant software versus human-role/jobs or local help treatment from the accepted XML organic interpretation?	Observed material search-feature differences could trigger a targeted intent interpretation review only.	No feature in an accepted full HTML response would close this feature question for that snapshot, not prove absence across time/devices.	No observation: retry/diagnose provider transport only after a separate accepted authorization; never impute zero.	Uninterpretable or truncated result remains UNKNOWN; retain current evidence and gate.	One complete time-stamped accepted response for the specified phrase/region/device/depth; do not expand variants by default.	docs/seo/work/M6_PENDING_PROVIDER_RAW/M6PC009.json	M3 R06 feature-level intent control, held until authorized access exists.	HOLD_BRIDGE_CAPABILITY_REQUIRED; CURRENT_YMB_0_1_9_FIXED_XML	false	No executable current-Bridge FORMAT_HTML command can be constructed; do not assume provider support is Bridge support; CANDIDATE_ONLY_MAIN_CHAT_ACCEPTANCE_REQUIRED; NO_BRIDGE_COMMAND_RELEASED
M6PC010	M6G009		R06	YANDEX_SEARCH	SEARCH_USERAGENT_CONTROL_CAPABILITY_HOLD	помощник селлера маркетплейсов	SEARCH_TYPE_RU	225	EXPLICIT_MOBILE_USERAGENT_REQUIRED_UNSUPPORTED_BY_CURRENT_BRIDGE	FORMAT_XML_IF_AUTHORIZED_USERAGENT_METHOD	100	The accepted XML results have no device/browser control; current YMB Search does not expose userAgent.	Would an explicitly mobile userAgent SERP for M3 R06 «помощник селлера маркетплейсов» materially change mobile seller-assistant product versus human service/help composition relative to the accepted unspecified-device XML snapshot?	A material composition shift prompts a narrow M3/M4C context recheck; no page ownership.	No material shift in an authorized paired mobile snapshot closes only that device comparison, not all devices.	No observation: retry/diagnose provider transport only after a separate accepted authorization; never impute zero.	Uninterpretable or truncated result remains UNKNOWN; retain current evidence and gate.	One complete time-stamped accepted response for the specified phrase/region/device/depth; do not expand variants by default.	docs/seo/work/M6_PENDING_PROVIDER_RAW/M6PC010.json	M3 R06 device/browser-sensitive intent boundary only.	HOLD_BRIDGE_CAPABILITY_REQUIRED; CURRENT_YMB_0_1_9_NO_USERAGENT_FIELD	false	No executable current-Bridge userAgent field exists; CANDIDATE_ONLY_MAIN_CHAT_ACCEPTANCE_REQUIRED; NO_BRIDGE_COMMAND_RELEASED
