registry_id	entity_name	candidate_class	registrable_domain	scope_policy	anchors_accounted	r1_inspected_pages	r2_additional_inspected_pages	out_of_scope_count	non_html_count	auth_required_count	not_found_count	execution_environment_failure_count	current_discovered_unique_urls	current_terminal_unique_urls	link_enumeration_residual_pages	primary_public_positioning	user_jobs	marketplace_scope	data_scope	ai_llm_framing	read_analysis_vs_write_automation_framing	integrations	pricing_availability	proof_trust	cta_pattern	content_architecture_pattern	octoport_overlap	octoport_difference	new_candidate_count	residual_count	completion_state	unresolved_reason	r3_new_url_count	r3_new_inspected_pages	r3_execution_environment_failure_count	r3_channel_hold_count	r3_page_surface_completion_state	r3_channel_limitation
REG001	Ai007	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ai007.io	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	22	1	1	0	0	0	0	24	24	0	INVENTORY_SUPPLY | PRICING_REPRICING | REVIEWS_SUPPORT | AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET | NOT_OBSERVED_IN_CAPTURE	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | SEARCH_TERMS | NOT_OBSERVED_IN_CAPTURE	CHATGPT_OPENAI | AI_AGENT | NOT_OBSERVED_IN_CAPTURE	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | CHATGPT_OPENAI | AI_AGENT | YANDEX_MARKET | NOT_OBSERVED_IN_CAPTURE	PUBLIC_PRICE_OR_TRIAL_MENTION | NOT_OBSERVED_IN_CAPTURE	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | NOT_OBSERVED_IN_CAPTURE	DEMO | TRY | BUY_OR_LEAD | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor claims remain separate from Octoport current product truth and read-only launch boundary	1	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE		0	0	0	2	HOLD	Canonical channel remains unresolved; the exact basis is preserved above. URL-level discoveries are nevertheless terminal.
REG002	Aimarketcap	RELEVANT_ONE_OFF_PRODUCT_VENDOR	aimarketcap.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	1	0	3	0	0	0	0	4	4	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | COMPETITOR_OR_NICHE	CHATGPT_OPENAI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | CHATGPT_OPENAI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS	TRY | REGISTER	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor claims remain separate from Octoport current product truth and read-only launch boundary	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE		0	0	0	1	HOLD	Canonical channel remains unresolved; the exact basis is preserved above. URL-level discoveries are nevertheless terminal.
REG003	Ainsider	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ainsider.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	2	0	0	0	0	0	0	2	2	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_MARKETPLACE	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE	AI_AGENT | GENERIC_AI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | AI_AGENT | GENERIC_MARKETPLACE | GENERIC_AI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	BUY_OR_LEAD | CONNECT | DEMO	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor claims remain separate from Octoport current product truth and read-only launch boundary	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE		0	0	0	1	HOLD	Canonical channel remains unresolved; the exact basis is preserved above. URL-level discoveries are nevertheless terminal.
REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR	albato.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	21	1	62	1	2	0	0	87	87	0	AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_REPRICING | SEARCH_OR_NICHE_ANALYTICS | INVENTORY_SUPPLY	AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SELLER_ANALYTICS | REPORTING_FINANCE | REVIEWS_SUPPORT	OZON | WILDBERRIES	ORDERS | STOCKS | ADS | FINANCE | SALES | COMPETITOR_OR_NICHE | REVIEWS	CHATGPT_OPENAI | AI_AGENT | CLAUDE | NOT_OBSERVED_IN_CAPTURE	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM | CREATIVE_GENERATION_COMPETITOR_CLAIM	OZON | CHATGPT_OPENAI | AI_AGENT | CLAUDE | WILDBERRIES	PUBLIC_PRICE_OR_TRIAL_MENTION | NOT_OBSERVED_IN_CAPTURE	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | NOT_OBSERVED_IN_CAPTURE	TRY | REGISTER | CONNECT | DEMO | NOT_OBSERVED_IN_CAPTURE	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 1	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor claims remain separate from Octoport current product truth and read-only launch boundary	2	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE		0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	No blocking HOLD; inaccessible evidence, if any, is explicitly separated from site failure.
REG006	Apimonster	OTHER_RELEVANT_CONTEXT	apimonster.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	3/3	26	1	1	0	0	0	0	28	28	1	INTEGRATION_CONNECTION | PRICING_REPRICING | REVIEWS_SUPPORT | SELLER_ANALYTICS | AI_OR_DIGITAL_HELPER	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS	WILDBERRIES | OZON | GENERIC_MARKETPLACE	ORDERS | SALES | STOCKS | ADS | REVIEWS | COMPETITOR_OR_NICHE	CHATGPT_OPENAI | AI_AGENT | ALICE | AI_AGENT_OR_ASSISTANT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | CHATGPT_OPENAI | AI_AGENT | GENERIC_MARKETPLACE | ALICE | AI_AGENT_OR_ASSISTANT	PUBLIC_PRICE_OR_TRIAL_MENTION | NOT_OBSERVED_IN_CAPTURE	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	TRY | BUY_OR_LEAD | CONNECT | REGISTER | DEMO | DOWNLOAD	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor claims remain separate from Octoport current product truth and read-only launch boundary	9	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE		0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	No blocking HOLD; inaccessible evidence, if any, is explicitly separated from site failure.
REG007	Ascn	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ascn.ai	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	4	0	1	0	0	0	0	5	5	0	AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_REPRICING | REPORTING_FINANCE | SELLER_ANALYTICS	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_MARKETPLACE	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE	CLAUDE | AI_AGENT | CHATGPT_OPENAI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | CLAUDE | AI_AGENT | GENERIC_MARKETPLACE | CHATGPT_OPENAI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	TRY | REGISTER | BUY_OR_LEAD | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor claims remain separate from Octoport current product truth and read-only launch boundary	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE		0	0	0	1	HOLD	Canonical channel remains unresolved; the exact basis is preserved above. URL-level discoveries are nevertheless terminal.
REG008	Asibiont	SERVICE_OR_AGENCY	asibiont.com	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	1	0	2	0	0	0	0	3	3	0	AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | COMPETITOR_OR_NICHE	AI_AGENT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | AI_AGENT	NOT_OBSERVED_IN_CAPTURE	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 0	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor claims remain separate from Octoport current product truth and read-only launch boundary	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE		0	0	0	1	HOLD	Canonical channel remains unresolved; the exact basis is preserved above. URL-level discoveries are nevertheless terminal.
REG009	Berkuz	RECURRING_PRODUCT_VENDOR	berkuz.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	1	47	6	0	2	0	0	56	56	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | AI_OR_DIGITAL_HELPER | NOT_OBSERVED_IN_CAPTURE | SELLER_PROCEDURAL_HELP	WILDBERRIES | OZON | NOT_OBSERVED_IN_CAPTURE | GENERIC_MARKETPLACE	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | NOT_OBSERVED_IN_CAPTURE | SEARCH_TERMS	GENERIC_AI | NOT_OBSERVED_IN_CAPTURE | ALICE | AI_AGENT_OR_ASSISTANT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | GENERIC_AI | NOT_OBSERVED_IN_CAPTURE | ALICE | AI_AGENT_OR_ASSISTANT | GENERIC_MARKETPLACE	PUBLIC_PRICE_OR_TRIAL_MENTION | NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | CASES_OR_TESTIMONIALS	DEMO | TRY | BUY_OR_LEAD | CONNECT | NOT_OBSERVED_IN_CAPTURE | DOWNLOAD	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier; R2 recursive depth reached 1	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor claims remain separate from Octoport current product truth and read-only launch boundary	471	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE		0	0	0	2	HOLD	Canonical channel remains unresolved; the exact basis is preserved above. URL-level discoveries are nevertheless terminal.
REG011	Ilai	RECURRING_PRODUCT_VENDOR	ilai.io	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	1	7	4	0	2	0	0	14	14	3	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | NOT_OBSERVED_IN_CAPTURE	WILDBERRIES | OZON | YANDEX_MARKET | NOT_OBSERVED_IN_CAPTURE	ORDERS | SALES | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE | STOCKS | NOT_OBSERVED_IN_CAPTURE	AI_AGENT | AI_AGENT_OR_ASSISTANT | NOT_OBSERVED_IN_CAPTURE	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | AI_AGENT | AI_AGENT_OR_ASSISTANT | NOT_OBSERVED_IN_CAPTURE	PUBLIC_PRICE_OR_TRIAL_MENTION | NOT_OBSERVED_IN_CAPTURE	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | NOT_OBSERVED_IN_CAPTURE	TRY | REGISTER | CONNECT | DOWNLOAD | NOT_OBSERVED_IN_CAPTURE	Accepted anchors captured; same-entity navigation enumeration requires recovery; R2 recursive depth reached 2	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor claims remain separate from Octoport current product truth and read-only launch boundary	27	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE		0	0	0	1	HOLD	Canonical channel remains unresolved; the exact basis is preserved above. URL-level discoveries are nevertheless terminal.
REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	infosell.tech	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	1	26	0	1	1	0	0	29	29	21	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | NOT_OBSERVED_IN_CAPTURE | INTEGRATION_CONNECTION | SELLER_ANALYTICS | REVIEWS_SUPPORT	WILDBERRIES | OZON | GENERIC_MARKETPLACE | YANDEX_MARKET	SALES | ADS | FINANCE | COMPETITOR_OR_NICHE | NOT_OBSERVED_IN_CAPTURE | REVIEWS	GENERIC_AI | NOT_OBSERVED_IN_CAPTURE | AI_AGENT_OR_ASSISTANT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | GENERIC_AI | GENERIC_MARKETPLACE | AI_AGENT_OR_ASSISTANT | YANDEX_MARKET	NOT_OBSERVED_IN_CAPTURE | PUBLIC_PRICE_OR_TRIAL_MENTION	NOT_OBSERVED_IN_CAPTURE	NOT_OBSERVED_IN_CAPTURE | TRY | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery; R2 recursive depth reached 2	Seller analytics/help/AI/task vocabulary; competitor evidence only	Competitor claims remain separate from Octoport current product truth and read-only launch boundary	44	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE		0	0	0	1	HOLD	Canonical channel remains unresolved; the exact basis is preserved above. URL-level discoveries are nevertheless terminal.
