registry_id	entity_name	candidate_class	registrable_domain	scope_policy	anchors_status	primary_nav_taxonomy_status	breadcrumb_local_subtree_status	sitemap_status	sitemap_basis	pagination_status	pagination_basis	current_1612_urls_for_entity	r3_new_url_count	r3_new_inspected_count	inaccessible_count	blocking_hold_count	page_surface_completion_state	limitation_notes
REG001	Ai007	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ai007.io	THEME_SCOPED_PUBLIC_TAXONOMY	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	R4 reused accepted R3 observations and applied bounded exact checks of /robots.txt, /sitemap.xml, and /sitemap_index.xml. No trustworthy XML body was readable because the execution environment returned ERR_BLOCKED_BY_CLIENT, timeout, a home/404 shell, unsupported XML in the exact reader, or another tool-level limitation. Terminal ACCESS_BLOCKED; sitemap nonexistence is not inferred.	ACCESS_BLOCKED	R4 cloud-browser recovery reopened https://www.ai007.io/blog/index.html. The public “Показать ещё” control remained after a successful bounded click, exposed no new href, and the unique href count stayed 15; terminal environment/UI limitation, not a site-unavailable claim.	24	0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	All canonical channel states are terminal. ACCESS_BLOCKED records an execution/environment limitation and does not assert site or endpoint absence.
REG002	Aimarketcap	RELEVANT_ONE_OFF_PRODUCT_VENDOR	aimarketcap.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	R4 reused accepted R3 observations and applied bounded exact checks of /robots.txt, /sitemap.xml, and /sitemap_index.xml. No trustworthy XML body was readable because the execution environment returned ERR_BLOCKED_BY_CLIENT, timeout, a home/404 shell, unsupported XML in the exact reader, or another tool-level limitation. Terminal ACCESS_BLOCKED; sitemap nonexistence is not inferred.	NOT_APPLICABLE	Accepted R1/R2 navigation and taxonomy evidence plus a narrow current collection check showed no sequential pagination or stable load-more requiring enumeration.	4	0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	All canonical channel states are terminal. ACCESS_BLOCKED records an execution/environment limitation and does not assert site or endpoint absence.
REG003	Ainsider	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ainsider.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	R4 reused accepted R3 observations and applied bounded exact checks of /robots.txt, /sitemap.xml, and /sitemap_index.xml. No trustworthy XML body was readable because the execution environment returned ERR_BLOCKED_BY_CLIENT, timeout, a home/404 shell, unsupported XML in the exact reader, or another tool-level limitation. Terminal ACCESS_BLOCKED; sitemap nonexistence is not inferred.	NOT_APPLICABLE	Accepted R1/R2 navigation and taxonomy evidence plus a narrow current collection check showed no sequential pagination or stable load-more requiring enumeration.	2	0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	All canonical channel states are terminal. ACCESS_BLOCKED records an execution/environment limitation and does not assert site or endpoint absence.
REG004	Albato	RELEVANT_ONE_OFF_PRODUCT_VENDOR	albato.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	Public sitemap existence or declaration observed, but XML body could not be rendered or read by the execution environment; no site-unavailable inference.	NOT_APPLICABLE	Accepted R1/R2 navigation and taxonomy evidence plus a narrow current collection check showed no sequential pagination or stable load-more requiring enumeration.	87	0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	All canonical channel states are terminal. ACCESS_BLOCKED records an execution/environment limitation and does not assert site or endpoint absence.
REG006	Apimonster	OTHER_RELEVANT_CONTEXT	apimonster.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	Public sitemap existence or declaration observed, but XML body could not be rendered or read by the execution environment; no site-unavailable inference.	NOT_APPLICABLE	Accepted R1/R2 navigation and taxonomy evidence plus a narrow current collection check showed no sequential pagination or stable load-more requiring enumeration.	28	0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	All canonical channel states are terminal. ACCESS_BLOCKED records an execution/environment limitation and does not assert site or endpoint absence.
REG007	Ascn	RELEVANT_ONE_OFF_PRODUCT_VENDOR	ascn.ai	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	R4 reused accepted R3 observations and applied bounded exact checks of /robots.txt, /sitemap.xml, and /sitemap_index.xml. No trustworthy XML body was readable because the execution environment returned ERR_BLOCKED_BY_CLIENT, timeout, a home/404 shell, unsupported XML in the exact reader, or another tool-level limitation. Terminal ACCESS_BLOCKED; sitemap nonexistence is not inferred.	NOT_APPLICABLE	Accepted R1/R2 navigation and taxonomy evidence plus a narrow current collection check showed no sequential pagination or stable load-more requiring enumeration.	5	0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	All canonical channel states are terminal. ACCESS_BLOCKED records an execution/environment limitation and does not assert site or endpoint absence.
REG008	Asibiont	SERVICE_OR_AGENCY	asibiont.com	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	R4 reused accepted R3 observations and applied bounded exact checks of /robots.txt, /sitemap.xml, and /sitemap_index.xml. No trustworthy XML body was readable because the execution environment returned ERR_BLOCKED_BY_CLIENT, timeout, a home/404 shell, unsupported XML in the exact reader, or another tool-level limitation. Terminal ACCESS_BLOCKED; sitemap nonexistence is not inferred.	NOT_APPLICABLE	Accepted R1/R2 navigation and taxonomy evidence plus a narrow current collection check showed no sequential pagination or stable load-more requiring enumeration.	3	0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	All canonical channel states are terminal. ACCESS_BLOCKED records an execution/environment limitation and does not assert site or endpoint absence.
REG009	Berkuz	RECURRING_PRODUCT_VENDOR	berkuz.ru	THEME_SCOPED_PUBLIC_TAXONOMY	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	R4 reused accepted R3 observations and applied bounded exact checks of /robots.txt, /sitemap.xml, and /sitemap_index.xml. No trustworthy XML body was readable because the execution environment returned ERR_BLOCKED_BY_CLIENT, timeout, a home/404 shell, unsupported XML in the exact reader, or another tool-level limitation. Terminal ACCESS_BLOCKED; sitemap nonexistence is not inferred.	NOT_APPLICABLE	R4 reopened https://berkuz.ru/blog/: the collection rendered 95 anchor occurrences and no numbered pager, rel=next, stable next URL, or load-more control. The current public collection is a single page.	56	0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	All canonical channel states are terminal. ACCESS_BLOCKED records an execution/environment limitation and does not assert site or endpoint absence.
REG011	Ilai	RECURRING_PRODUCT_VENDOR	ilai.io	THEME_SCOPED_PUBLIC_TAXONOMY	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	R4 reused accepted R3 observations and applied bounded exact checks of /robots.txt, /sitemap.xml, and /sitemap_index.xml. No trustworthy XML body was readable because the execution environment returned ERR_BLOCKED_BY_CLIENT, timeout, a home/404 shell, unsupported XML in the exact reader, or another tool-level limitation. Terminal ACCESS_BLOCKED; sitemap nonexistence is not inferred.	NOT_APPLICABLE	Accepted R1/R2 navigation and taxonomy evidence plus a narrow current collection check showed no sequential pagination or stable load-more requiring enumeration.	14	0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	All canonical channel states are terminal. ACCESS_BLOCKED records an execution/environment limitation and does not assert site or endpoint absence.
REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	infosell.tech	THEME_SCOPED_PUBLIC_TAXONOMY	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	R4 reused accepted R3 observations and applied bounded exact checks of /robots.txt, /sitemap.xml, and /sitemap_index.xml. No trustworthy XML body was readable because the execution environment returned ERR_BLOCKED_BY_CLIENT, timeout, a home/404 shell, unsupported XML in the exact reader, or another tool-level limitation. Terminal ACCESS_BLOCKED; sitemap nonexistence is not inferred.	NOT_APPLICABLE	Accepted R1/R2 navigation and taxonomy evidence plus a narrow current collection check showed no sequential pagination or stable load-more requiring enumeration.	29	0	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	All canonical channel states are terminal. ACCESS_BLOCKED records an execution/environment limitation and does not assert site or endpoint absence.
