registry_id	entity_name	r1_current_url_count	r2_added_url_count	r3_discovered_url_count	current_merged_unique_normalized_url_count	terminal_current_url_count	anchors_status	primary_nav_taxonomy_status	breadcrumb_local_subtree_status	sitemap_status	pagination_status	open_url_unresolved_count	open_channel_hold_count	r2_child_link_diagnostic_count	completion_state	count_equation_pass	unresolved_reason
REG001	Ai007	24	0	0	24	24	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG002	Aimarketcap	4	0	0	4	4	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG003	Ainsider	2	0	0	2	2	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG004	Albato	53	34	0	87	87	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG006	Apimonster	28	0	0	28	28	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	1	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG007	Ascn	5	0	0	5	5	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG008	Asibiont	3	0	0	3	3	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG009	Berkuz	6	50	0	56	56	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG011	Ilai	1	13	0	14	14	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	3	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG012	Infosell	1	28	0	29	29	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	21	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG013	Insales	11	0	320	331	331	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	COMPLETE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG014	Itgalaxy	5	0	0	5	5	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG015	Jafo	5	0	0	5	5	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG016	Jvo	2	27	0	29	29	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	17	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG018	Kt Team	1	121	0	122	122	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	UNSCOPABLE_WITH_REASON	0	0	27	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG019	Legasoft	2	46	0	48	48	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	1	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG020	Limescope	1	12	0	13	13	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	10	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG021	Marketaut	1	7	0	8	8	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	2	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG022	Marpla	4	26	0	30	30	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	12	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG023	Mayak	34	5	0	39	39	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	1	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG024	Moysklad	4	109	12	135	135	COMPLETE	COMPLETE	COMPLETE	UNSCOPABLE_WITH_REASON	ACCESS_BLOCKED	0	0	17	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG025	Mpboost	1	10	0	11	11	COMPLETE	COMPLETE	NOT_APPLICABLE	NOT_FOUND	NOT_APPLICABLE	0	0	1	COMPLETE	true	
REG026	Mpfact	1	18	0	19	19	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	4	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG027	Mpmgr	5	60	0	65	65	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	50	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG028	Mpstats	11	31	0	42	42	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	15	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG029	Openclaw	8	0	0	8	8	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG031	Promopult	2	183	0	185	185	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	16	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG034	Saintpack	1	19	65	85	85	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	COMPLETE	0	0	10	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG035	Sam X	2	11	0	13	13	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG037	Sellerden	51	70	15	136	136	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	9	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG038	Sellermoon	9	67	0	76	76	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	61	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG039	Sellerstats	1	17	0	18	18	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	10	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG040	Sellmonitor	2	27	30	59	59	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	12	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG041	Sellper	1	25	0	26	26	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	12	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG042	Selsup	5	42	2446	2493	2493	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	COMPLETE	0	0	27	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG044	Softrest	19	0	0	19	19	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG045	Superintellect	15	68	0	83	83	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG046	Tablichki	15	4	0	19	19	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG049	Torgstat	3	0	0	3	3	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG050	Tulpari	1	0	0	1	1	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG051	Uniseller	2	66	0	68	68	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	ACCESS_BLOCKED	5431	0	55	HOLD	false	URL_TERMINALIZATION_RECOVERY_REQUIRED: 5,431 aggregate-observed new blog identities are not materialized in the R4 overlay.
REG053	Wbcon	13	20	0	33	33	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	COMPLETE	0	0	10	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG056	Wildcrm	2	14	0	16	16	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	9	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG058	Yoolip	1	10	0	11	11	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	3	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
REG060	Zinaida	4	0	0	4	4	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	true	
