registry_id	entity_name	candidate_class	scope_policy	authority_seed_rows	authority_anchor_rows	authority_bootstrap_rows	accepted_anchor_channel_state	primary_navigation_channel_state	breadcrumb_local_subtree_state	scoped_sitemap_channel_state	pagination_load_more_state	redirect_canonical_state	discovered_url_rows	inspected_identity_rows	inaccessible_terminal_rows	excluded_or_variant_rows	open_url_unresolved	blocking_channel_hold	terminal_channel_summary	evidence_locator	notes
REG005	Api Master	EDITORIAL_OR_PUBLISHER	THEME_SCOPED_PUBLIC_TAXONOMY	1	1	0	ALL_AUTHORITY_SEEDS_TERMINAL	TERMINAL_ENUMERATED	TERMINAL_ENUMERATED	TERMINAL_ENUMERATED_42	NOT_APPLICABLE	TERMINAL_ACCOUNTED	42	40	1	1	0	0	HTTP_ERROR:1 | INSPECTED:40 | REDIRECT_IN_SCOPE:1	M4B2_URL_LEDGER.tsv + bounded capture listed in M4B2_SOURCE_MANIFEST.md	Applicable channels terminal; complete bounded frontier does not imply complete internal-link graph.
REG010	Habr	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1	1	0	ALL_AUTHORITY_SEEDS_TERMINAL	UNSCOPABLE_WITH_REASON_GENERIC_NAV	TERMINAL_ANCHOR_LOCAL	UNSCOPABLE_WITH_REASON_BROAD_SITEMAP	NOT_APPLICABLE	TERMINAL_ACCOUNTED	1	1	0	0	0	0	INSPECTED:1	M4B2_URL_LEDGER.tsv + bounded capture listed in M4B2_SOURCE_MANIFEST.md	Applicable channels terminal; complete bounded frontier does not imply complete internal-link graph.
REG017	Klerk	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	2	0	ALL_AUTHORITY_SEEDS_TERMINAL	UNSCOPABLE_WITH_REASON_GENERIC_NAV	TERMINAL_ANCHOR_LOCAL	UNSCOPABLE_WITH_REASON_BROAD_SITEMAP	NOT_APPLICABLE	TERMINAL_ACCOUNTED	2	2	0	0	0	0	INSPECTED:2	M4B2_URL_LEDGER.tsv + bounded capture listed in M4B2_SOURCE_MANIFEST.md	Applicable channels terminal; complete bounded frontier does not imply complete internal-link graph.
REG030	Ozon	NATIVE_MARKETPLACE_BASELINE	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	2	0	ALL_AUTHORITY_SEEDS_TERMINAL	TERMINAL_OFFICIAL_SELLER_SURFACES	TERMINAL_ENUMERATED_MEDIA_BOOST	TERMINAL_LIMITATION_REDIRECT_LOOP_NONBLOCKING	TERMINAL_ENUMERATED_8_OF_8	TERMINAL_ACCOUNTED	170	168	1	1	0	0	HTTP_ERROR:1 | INSPECTED:168 | REDIRECT_IN_SCOPE:1	M4B2_URL_LEDGER.tsv + bounded capture listed in M4B2_SOURCE_MANIFEST.md	Applicable channels terminal; complete bounded frontier does not imply complete internal-link graph.
REG032	Reg	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	0	2	ALL_AUTHORITY_SEEDS_TERMINAL	UNSCOPABLE_WITH_REASON_GENERIC_NAV	TERMINAL_BOOTSTRAP_LOCAL	UNSCOPABLE_WITH_REASON_BROAD_SITEMAP	NOT_APPLICABLE	TERMINAL_ACCOUNTED	2	2	0	0	0	0	INSPECTED:2	M4B2_URL_LEDGER.tsv + bounded capture listed in M4B2_SOURCE_MANIFEST.md	Applicable channels terminal; complete bounded frontier does not imply complete internal-link graph.
REG033	Rutube	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2	0	2	ALL_AUTHORITY_SEEDS_TERMINAL	OUT_OF_SCOPE_PLATFORM_NAV	TERMINAL_EXACT_VIDEO_METADATA	NOT_APPLICABLE	RELATED_VIDEOS_OUT_OF_SCOPE	TERMINAL_ACCOUNTED	2	2	0	0	0	0	INSPECTED:2	M4B2_URL_LEDGER.tsv + bounded capture listed in M4B2_SOURCE_MANIFEST.md	Applicable channels terminal; complete bounded frontier does not imply complete internal-link graph.
REG036	Sellego	EDITORIAL_OR_PUBLISHER	THEME_SCOPED_PUBLIC_TAXONOMY	1	1	0	ALL_AUTHORITY_SEEDS_TERMINAL	TERMINAL_ENUMERATED	TERMINAL_ENUMERATED	TERMINAL_ENUMERATED_6	NOT_APPLICABLE	TERMINAL_ACCOUNTED	7	6	0	1	0	0	INSPECTED:6 | REDIRECT_IN_SCOPE:1	M4B2_URL_LEDGER.tsv + bounded capture listed in M4B2_SOURCE_MANIFEST.md	Applicable channels terminal; complete bounded frontier does not imply complete internal-link graph.
REG043	Skillbox	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	4	4	0	ALL_AUTHORITY_SEEDS_TERMINAL	UNSCOPABLE_WITH_REASON_GENERIC_NAV	TERMINAL_ANCHOR_LOCAL	UNSCOPABLE_WITH_REASON_BROAD_SITEMAP	NOT_APPLICABLE	TERMINAL_ACCOUNTED	4	4	0	0	0	0	INSPECTED:4	M4B2_URL_LEDGER.tsv + bounded capture listed in M4B2_SOURCE_MANIFEST.md	Applicable channels terminal; complete bounded frontier does not imply complete internal-link graph.
REG047	Tbank	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	6	6	0	ALL_AUTHORITY_SEEDS_TERMINAL	TERMINAL_HELP_NAV_AND_5_HTTP_502	TERMINAL_ENUMERATED_SELLER_HELP	NOT_ADVERTISED_FOR_BOUNDED_SUBTREE	QUERY_VARIANTS_TERMINAL_42	TERMINAL_ACCOUNTED	59	8	6	45	0	0	FACET_OR_SORT_VARIANT:42 | HTTP_ERROR:5 | INSPECTED:8 | NOT_FOUND:1 | REDIRECT_IN_SCOPE:3	M4B2_URL_LEDGER.tsv + bounded capture listed in M4B2_SOURCE_MANIFEST.md	Applicable channels terminal; complete bounded frontier does not imply complete internal-link graph.
REG048	Tochka	EDITORIAL_OR_PUBLISHER	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	5	5	0	ALL_AUTHORITY_SEEDS_TERMINAL	HTTP_ERROR_502_TERMINAL	HTTP_ERROR_502_TERMINAL	HTTP_ERROR_502_TERMINAL	NOT_APPLICABLE	TERMINAL_ACCOUNTED	5	0	5	0	0	0	HTTP_ERROR:5	M4B2_URL_LEDGER.tsv + bounded capture listed in M4B2_SOURCE_MANIFEST.md	Applicable channels terminal; complete bounded frontier does not imply complete internal-link graph.
