cluster_id	cluster_state	member_count	member_semantic_identity_ids	canonical_cluster_label	primary_user_job	intent_primary	intent_mixed_notes	marketplace_scope	product_fit_boundary	search_anchor_identity_ids	exact_serp_member_count	pairwise_merge_count	external_material_hold_count	serp_evidence_summary	exact_url_overlap_summary	result_page_type_expectation	merge_rationale	split_boundary_rationale	cannibalization_risk	ambiguity_hold	hold_reopen_rule	upstream_m8_refs	search_evidence_refs	claim_boundary
M9CL_998176896a32b481	HOLD_CLUSTER_BOUNDARY	1	M8SID_0133a113dcbf6889	Интеграция Ozon Performance и ChatGPT (OpenAI)	Connect own web AI to permitted Ozon/WB seller data	COMMERCIAL_INVESTIGATION	NONE	OZON	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	NONE	0	0	4	0 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	4 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_0133a113dcbf6889	NO_CURRENT_EXACT_SERP	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_5807efab0bbb4b64	HOLD_CLUSTER_BOUNDARY	1	M8SID_0943a1068e9402f4	загрузка отчетов с маркетплейсов	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_0943a1068e9402f4	1	0	38	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	38 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_0943a1068e9402f4	M4QR2Q00025:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_7e11683d4b2f5d22	HOLD_CLUSTER_BOUNDARY	1	M8SID_096b2cc4a0b3c4f5	Как анализировать отчет о продажах на Wildberries	Read and interpret available seller-owned marketplace reports and metrics	INFORMATIONAL	NONE	WILDBERRIES	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_096b2cc4a0b3c4f5	1	0	17	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 1 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	17 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_096b2cc4a0b3c4f5	M9BRW2Q_016_096b2cc4a0b3c4f5:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_ee5c28cd547da2e7	HOLD_CLUSTER_BOUNDARY	1	M8SID_0ce35825bf4cba3b	Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места	Read and interpret available seller-owned marketplace reports and metrics	MIXED	NONE	WILDBERRIES	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	NONE	0	0	23	0 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	23 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_0ce35825bf4cba3b	NO_CURRENT_EXACT_SERP	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_8dc41c74759b520e	HOLD_CLUSTER_BOUNDARY	1	M8SID_15cbb2efd88933f0	плагин аналитики маркетплейсов	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_15cbb2efd88933f0	1	0	22	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 3 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	22 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_15cbb2efd88933f0	M9BRQ_011_15cbb2efd88933f0:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_de045ccdfbf546b3	HOLD_CLUSTER_BOUNDARY	1	M8SID_171a63d986f4ed26	финансовые отчеты маркетплейсов	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_171a63d986f4ed26	1	0	30	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	30 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_171a63d986f4ed26	M9BRQ_008_171a63d986f4ed26:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_c055b49c1d4038d9	HOLD_CLUSTER_BOUNDARY	1	M8SID_17638a451bed5dec	сервис внутренней аналитики маркетплейсов	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_17638a451bed5dec	1	0	25	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	25 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_17638a451bed5dec	M9BRQ_012_17638a451bed5dec:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_d42db04cbd6ea436	HOLD_CLUSTER_BOUNDARY	1	M8SID_1c0ee8bb00ecd201	Как правильно рассчитать ДРР на Wildberries?	Inspect seller-owned advertising reports and explain observed metrics	INFORMATIONAL	NONE	WILDBERRIES	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_1c0ee8bb00ecd201	1	0	15	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	15 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_1c0ee8bb00ecd201	M9BRW2Q_015_1c0ee8bb00ecd201:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_d6e9196cf6453986	HOLD_CLUSTER_BOUNDARY	1	M8SID_1d9b00510d4544c8	Управление остатками на Wildberries: как использовать отчёт «История остатков»	Read and interpret available seller-owned marketplace reports and metrics	MIXED	NONE	WILDBERRIES	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	NONE	0	0	21	0 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	21 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_1d9b00510d4544c8	NO_CURRENT_EXACT_SERP	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_ce7b5d6c7e756b52	HOLD_CLUSTER_BOUNDARY	1	M8SID_21a051e61744f9fa	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	Read and interpret available seller-owned marketplace reports and metrics	MIXED	NONE	WILDBERRIES	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	NONE	0	0	36	0 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	36 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_21a051e61744f9fa	NO_CURRENT_EXACT_SERP	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
