hold_id	pair_id	semantic_identity_id_a	semantic_identity_id_b	cluster_id_a	cluster_id_b	pair_reason_code	exact_unknown	current_evidence	missing_evidence	why_not_guess	blocking_for_m10a	reopen_trigger	claim_boundary
M9HOLD_00001	M9PAIR_00048fd99ef5ef05	M8SID_c4d7f4ca514dc5fd	M8SID_eaab889abab5ccd5	M9CL_3e9cae524f2ba50c	M9CL_f6913258126ccd8e	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'ии анализ продаж маркетплейсов' and 'ии для работы с маркетплейсами' remains unproved under frozen task/intent/scope/product boundaries.	BOTH_CURRENT_SERP; Top10 exact URL overlap 1; Top20 4; reason H_MIXED_INTENT_BOUNDARY; M9BRQ_006_c4d7f4ca514dc5fd:RU225:TOP100:ACCEPTED_TOP20_PROJECTION | M9BRW2Q_004_eaab889abab5ccd5:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00002	M9PAIR_0011df11fd51b35d	M8SID_3584fdc5b76fc551	M8SID_ed858336de500ab2	M9CL_db048338baaeca8c	M9CL_2637e53fc435b258	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'ии для аналитики маркетплейсов' and 'Внутренняя аналитика Wildberries: карта отчётов и еженедельный разбор' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M4QR2Q00027:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00003	M9PAIR_003b76a78b50ff43	M8SID_24825275388a8170	M8SID_3251f136551cd109	M9CL_994f2db1cb2d47e9	M9CL_02025a258eff8c3d	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'нейросеть для работы с маркетплейсами' and 'ии ассистент для маркетплейсов' remains unproved under frozen task/intent/scope/product boundaries.	BOTH_CURRENT_SERP; Top10 exact URL overlap 1; Top20 1; reason H_MIXED_INTENT_BOUNDARY; M9BRW2Q_003_24825275388a8170:RU225:TOP100:ACCEPTED_TOP20_PROJECTION | M4QR2Q00026:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00004	M9PAIR_003b80aeed4307e6	M8SID_b02e9e70557692e0	M8SID_d0cfc29dc443bd98	M9CL_f0e07ec6b2f588c0	M9CL_086ce4445a21d4fd	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'ии помощник селлера' and 'ии агент для озон' remains unproved under frozen task/intent/scope/product boundaries.	BOTH_CURRENT_SERP; Top10 exact URL overlap 1; Top20 1; reason H_MIXED_INTENT_BOUNDARY; M4QR2Q00028:RU225:TOP100 | M4QR2Q00007:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00005	M9PAIR_0042727d37add652	M8SID_83f33ee4e629a7c9	M8SID_a0b46005e544f2a9	M9CL_adcead7701b4a4b4	M9CL_b9a650f7e0f5ffc5	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Как читать финансовый отчёт Wildberries и Ozon' and 'Аналитика комиссии Wildberries: отчёты, сверка и контроль аномалий' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M9BRW2Q_010_83f33ee4e629a7c9:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00006	M9PAIR_0066c1eb2ece4e93	M8SID_9ebe0f620e9744e6	M8SID_ad9d528ae20638a6	M9CL_d9c788dddddda566	M9CL_9d52a57fe836056a	H_SEARCH_EVIDENCE_CONFLICT	One honest shared user answer for 'аналитика маркетплейсов лучшие сервисы' and 'сервис аналитики на маркетплейсах отзывы' remains unproved under frozen task/intent/scope/product boundaries.	BOTH_CURRENT_SERP; Top10 exact URL overlap 1; Top20 3; reason H_SEARCH_EVIDENCE_CONFLICT; M9BRQ_024_9ebe0f620e9744e6:RU225:TOP100:ACCEPTED_TOP20_PROJECTION | M9BRQ_025_ad9d528ae20638a6:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00007	M9PAIR_006cf56a04f5f879	M8SID_51050ceda2b330da	M8SID_81a0551c95b1343e	M9CL_342b5dc4aa0b6cf8	M9CL_ffefa36c3120e974	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Как читать и анализировать отчеты о продажах на Wildberries' and 'Отчет по операциям с маркетплейса' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M9BRW2Q_017_51050ceda2b330da:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00008	M9PAIR_006fb86af174a6c2	M8SID_dd5178f08e076841	M8SID_def0afbc32106614	M9CL_d6bd66a1598ad1e3	M9CL_50d7bf9bbe2a0dff	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Как читать финансовый отчёт Wildberries и сверять итоговую сумму' and 'Сводный отчёт по продавцу' remains unproved under frozen task/intent/scope/product boundaries.	NO_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; NO_CURRENT_EXACT_SERP.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00009	M9PAIR_00d16cdd77452d93	M8SID_3251f136551cd109	M8SID_c41c83a50b6900cb	M9CL_02025a258eff8c3d	M9CL_3291d5bba9e4f595	H_OTHER_BOUNDARY	One honest shared user answer for 'ии ассистент для маркетплейсов' and 'ии агенты маркетплейсы отчеты' remains unproved under frozen task/intent/scope/product boundaries.	BOTH_CURRENT_SERP; Top10 exact URL overlap 0; Top20 2; reason H_OTHER_BOUNDARY; M4QR2Q00026:RU225:TOP100 | M9BRW2Q_007_c41c83a50b6900cb:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00010	M9PAIR_0187c214ca0fe94c	M8SID_9abd6603016eb220	M8SID_a80ecbe39e0f75b9	M9CL_a376985a8068ec48	M9CL_531649fa74ba4091	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Комиссии на Wildberries: почему в отчёте одна ставка, а в тарифах другая' and 'Как читать и анализировать финансовый отчёт Wildberries' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M9BRW2Q_014_a80ecbe39e0f75b9:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
