semantic_identity_id	canonical_display_text	hold_pair_degree	material_hold_degree	one_current_serp_hold_degree	material_hold_to_existing_anchor_degree	no_current_serp_material_hold_degree	h_one_serp_insufficient_degree	h_mixed_intent_boundary_degree	h_generic_specific_unresolved_degree	h_search_evidence_conflict_degree	blocks_supported_merge_materialization	can_create_bilateral_search_comparison	supported_merge_endpoint_ids	supported_merge_blocked_edge_ids	hold_pair_ids	material_hold_pair_ids	one_current_serp_hold_pair_ids	material_anchor_hold_pair_ids	m8_ref	m9_pair_ref	m9_material_hold_ref	claim_boundary
M8SID_0133a113dcbf6889	Интеграция Ozon Performance и ChatGPT (OpenAI)	7	4	5	4	0	4	0	2	0	YES	YES	M8SID_529f805abccbf8b2 | M8SID_fd88d7d9e3b2e406	M9PAIR_716f412c856d8db5	M9PAIR_1c8ce4c2d774883a | M9PAIR_24e764ec4c4929b1 | M9PAIR_4056535a2f7c880d | M9PAIR_453eb09d5294d593 | M9PAIR_68c418f6731bfe29 | M9PAIR_764a6a66fddb65a6 | M9PAIR_bf6a8da80d9b8255	M9PAIR_1c8ce4c2d774883a | M9PAIR_453eb09d5294d593 | M9PAIR_68c418f6731bfe29 | M9PAIR_764a6a66fddb65a6	M9PAIR_1c8ce4c2d774883a | M9PAIR_453eb09d5294d593 | M9PAIR_68c418f6731bfe29 | M9PAIR_764a6a66fddb65a6 | M9PAIR_bf6a8da80d9b8255	M9PAIR_1c8ce4c2d774883a | M9PAIR_453eb09d5294d593 | M9PAIR_68c418f6731bfe29 | M9PAIR_764a6a66fddb65a6	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_0133a113dcbf6889	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Graph degree measures frozen unresolved M9 edges, not demand or an automatic provider release.
M8SID_096b2cc4a0b3c4f5	Как анализировать отчет о продажах на Wildberries	18	18	1	1	17	0	13	0	0	NO	YES			M9PAIR_1837560db8a9583b | M9PAIR_1f104077148b54ed | M9PAIR_279186e4d504d5ff | M9PAIR_363a0b16ab32011d | M9PAIR_37899b4ba8a8e5ba | M9PAIR_3d8f37db3a857ddd | M9PAIR_41a3e33895b8c682 | M9PAIR_425b7279f4665fc3 | M9PAIR_5b5299d27b28b4c3 | M9PAIR_6c07cf12db047294 | M9PAIR_9165ced913cd7f34 | M9PAIR_a7bbf9d35b427159 | M9PAIR_aa28174c9684be61 | M9PAIR_b935e5f943f9fe81 | M9PAIR_be19d1bfaddab4c5 | M9PAIR_db3698012bb2a861 | M9PAIR_e57304a9fad7092a | M9PAIR_e9b024b2d0e2f11a	M9PAIR_1837560db8a9583b | M9PAIR_1f104077148b54ed | M9PAIR_279186e4d504d5ff | M9PAIR_363a0b16ab32011d | M9PAIR_37899b4ba8a8e5ba | M9PAIR_3d8f37db3a857ddd | M9PAIR_41a3e33895b8c682 | M9PAIR_425b7279f4665fc3 | M9PAIR_5b5299d27b28b4c3 | M9PAIR_6c07cf12db047294 | M9PAIR_9165ced913cd7f34 | M9PAIR_a7bbf9d35b427159 | M9PAIR_aa28174c9684be61 | M9PAIR_b935e5f943f9fe81 | M9PAIR_be19d1bfaddab4c5 | M9PAIR_db3698012bb2a861 | M9PAIR_e57304a9fad7092a | M9PAIR_e9b024b2d0e2f11a	M9PAIR_9165ced913cd7f34	M9PAIR_9165ced913cd7f34	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_096b2cc4a0b3c4f5	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Graph degree measures frozen unresolved M9 edges, not demand or an automatic provider release.
M8SID_0ce35825bf4cba3b	Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места	24	23	4	4	19	1	10	3	0	YES	YES	M8SID_644f4afb78dc957a	M9PAIR_63bc080d35f91592	M9PAIR_02bc817b692d0a57 | M9PAIR_0412f131723c8ab3 | M9PAIR_0fa206f791eb00c5 | M9PAIR_141a34bc7399343e | M9PAIR_1a7885cd7a4f744f | M9PAIR_238c69834fb35a19 | M9PAIR_52c12370ef34c005 | M9PAIR_61f7102f48f4f0f0 | M9PAIR_6e2314d2007d7182 | M9PAIR_7595b76c6a21d857 | M9PAIR_7b9b502e5177d733 | M9PAIR_889316662ce52ff8 | M9PAIR_9386ee77887f3379 | M9PAIR_abfd74aeb56b0676 | M9PAIR_b00762666062eabe | M9PAIR_b2b508d999e3790f | M9PAIR_b3bf78e10ae3928c | M9PAIR_be32cc43355eec20 | M9PAIR_c87dccfed5d4a548 | M9PAIR_cd048415411f2161 | M9PAIR_d0988ad6033857ad | M9PAIR_d31f2137a7953216 | M9PAIR_dbe9ac4fd99b2618 | M9PAIR_f86ce3780237f1c1	M9PAIR_02bc817b692d0a57 | M9PAIR_0412f131723c8ab3 | M9PAIR_0fa206f791eb00c5 | M9PAIR_141a34bc7399343e | M9PAIR_1a7885cd7a4f744f | M9PAIR_238c69834fb35a19 | M9PAIR_52c12370ef34c005 | M9PAIR_61f7102f48f4f0f0 | M9PAIR_6e2314d2007d7182 | M9PAIR_7595b76c6a21d857 | M9PAIR_889316662ce52ff8 | M9PAIR_9386ee77887f3379 | M9PAIR_abfd74aeb56b0676 | M9PAIR_b00762666062eabe | M9PAIR_b2b508d999e3790f | M9PAIR_b3bf78e10ae3928c | M9PAIR_be32cc43355eec20 | M9PAIR_c87dccfed5d4a548 | M9PAIR_cd048415411f2161 | M9PAIR_d0988ad6033857ad | M9PAIR_d31f2137a7953216 | M9PAIR_dbe9ac4fd99b2618 | M9PAIR_f86ce3780237f1c1	M9PAIR_0fa206f791eb00c5 | M9PAIR_889316662ce52ff8 | M9PAIR_dbe9ac4fd99b2618 | M9PAIR_f86ce3780237f1c1	M9PAIR_0fa206f791eb00c5 | M9PAIR_889316662ce52ff8 | M9PAIR_dbe9ac4fd99b2618 | M9PAIR_f86ce3780237f1c1	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_0ce35825bf4cba3b	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Graph degree measures frozen unresolved M9 edges, not demand or an automatic provider release.
M8SID_15cbb2efd88933f0	плагин аналитики маркетплейсов	26	25	4	4	21	4	2	0	0	YES	YES	M8SID_437d0cbcb94b3694 | M8SID_c9cbb3939920b7ee	M9PAIR_d8d09565d02e3ba1	M9PAIR_02cd1039fc0d9603 | M9PAIR_05343261bdf86576 | M9PAIR_0c8046b6a5d93f5b | M9PAIR_10ab517fd3368472 | M9PAIR_2a0525cbff0a4474 | M9PAIR_2d52d9211bf3bfe8 | M9PAIR_2fa9672e175099c7 | M9PAIR_333f6222b7ec9092 | M9PAIR_39e8b92b527236f9 | M9PAIR_63cba01917f5df94 | M9PAIR_69217f4ce009135e | M9PAIR_766bb67539f59ed7 | M9PAIR_811ce2e3a1ea0b5d | M9PAIR_8257266b5436b2a1 | M9PAIR_89a68df2c5fc99a8 | M9PAIR_998ee3ae6bfa2cbd | M9PAIR_a2cdad2a2147e7d2 | M9PAIR_a4ef1d4b786aca36 | M9PAIR_af73fffd86225e5e | M9PAIR_b863961315fb7a78 | M9PAIR_b936493c0d4a0b09 | M9PAIR_c2587f05b4699095 | M9PAIR_d50bbc5dba92f2ef | M9PAIR_ed18bf8d6830596d | M9PAIR_fcae817065a0e8d6 | M9PAIR_fd8980c0162cb6bf	M9PAIR_02cd1039fc0d9603 | M9PAIR_05343261bdf86576 | M9PAIR_0c8046b6a5d93f5b | M9PAIR_10ab517fd3368472 | M9PAIR_2a0525cbff0a4474 | M9PAIR_2d52d9211bf3bfe8 | M9PAIR_2fa9672e175099c7 | M9PAIR_333f6222b7ec9092 | M9PAIR_39e8b92b527236f9 | M9PAIR_63cba01917f5df94 | M9PAIR_69217f4ce009135e | M9PAIR_766bb67539f59ed7 | M9PAIR_8257266b5436b2a1 | M9PAIR_89a68df2c5fc99a8 | M9PAIR_998ee3ae6bfa2cbd | M9PAIR_a2cdad2a2147e7d2 | M9PAIR_a4ef1d4b786aca36 | M9PAIR_af73fffd86225e5e | M9PAIR_b863961315fb7a78 | M9PAIR_b936493c0d4a0b09 | M9PAIR_c2587f05b4699095 | M9PAIR_d50bbc5dba92f2ef | M9PAIR_ed18bf8d6830596d | M9PAIR_fcae817065a0e8d6 | M9PAIR_fd8980c0162cb6bf	M9PAIR_02cd1039fc0d9603 | M9PAIR_05343261bdf86576 | M9PAIR_63cba01917f5df94 | M9PAIR_8257266b5436b2a1	M9PAIR_02cd1039fc0d9603 | M9PAIR_05343261bdf86576 | M9PAIR_63cba01917f5df94 | M9PAIR_8257266b5436b2a1	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_15cbb2efd88933f0	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Graph degree measures frozen unresolved M9 edges, not demand or an automatic provider release.
M8SID_171a63d986f4ed26	финансовые отчеты маркетплейсов	31	30	6	6	24	5	22	2	0	YES	YES	M8SID_644f4afb78dc957a	M9PAIR_63bc080d35f91592	M9PAIR_0db1de845e6091bb | M9PAIR_1409fabcda52b8fb | M9PAIR_149ee31c7741ee1b | M9PAIR_199e4c9f369525d1 | M9PAIR_1a2aac3d94614a0a | M9PAIR_2196972a549c2b37 | M9PAIR_3c873a5b9c477057 | M9PAIR_47f90903d01eadc8 | M9PAIR_4ad9df14a0e35197 | M9PAIR_5aa1f2f735b07592 | M9PAIR_5b3de68d12df1d30 | M9PAIR_5d02af714fcb0f0c | M9PAIR_5e9050e522923aee | M9PAIR_6ff3cf6b267fea79 | M9PAIR_71b7062dafdf7002 | M9PAIR_7505ce1488cb1769 | M9PAIR_78b2edcbdd20fe52 | M9PAIR_849c396bb6bc2c1d | M9PAIR_8b033e89b10726e1 | M9PAIR_907ed8471275065b | M9PAIR_909445c1e7f01786 | M9PAIR_930fa62a1b237165 | M9PAIR_9dd8e6e914908bea | M9PAIR_a78361a6c204b8d9 | M9PAIR_b4883c6107df1212 | M9PAIR_bcf01d36c685cbed | M9PAIR_c088e052306ef496 | M9PAIR_c65018e53138d9cc | M9PAIR_ca626bde6d39d6b0 | M9PAIR_e8fac15c328ba7a5 | M9PAIR_f21e696841723dd0	M9PAIR_0db1de845e6091bb | M9PAIR_1409fabcda52b8fb | M9PAIR_149ee31c7741ee1b | M9PAIR_199e4c9f369525d1 | M9PAIR_1a2aac3d94614a0a | M9PAIR_2196972a549c2b37 | M9PAIR_3c873a5b9c477057 | M9PAIR_47f90903d01eadc8 | M9PAIR_4ad9df14a0e35197 | M9PAIR_5aa1f2f735b07592 | M9PAIR_5b3de68d12df1d30 | M9PAIR_5d02af714fcb0f0c | M9PAIR_5e9050e522923aee | M9PAIR_6ff3cf6b267fea79 | M9PAIR_71b7062dafdf7002 | M9PAIR_7505ce1488cb1769 | M9PAIR_78b2edcbdd20fe52 | M9PAIR_849c396bb6bc2c1d | M9PAIR_8b033e89b10726e1 | M9PAIR_907ed8471275065b | M9PAIR_909445c1e7f01786 | M9PAIR_930fa62a1b237165 | M9PAIR_9dd8e6e914908bea | M9PAIR_a78361a6c204b8d9 | M9PAIR_b4883c6107df1212 | M9PAIR_c088e052306ef496 | M9PAIR_c65018e53138d9cc | M9PAIR_ca626bde6d39d6b0 | M9PAIR_e8fac15c328ba7a5 | M9PAIR_f21e696841723dd0	M9PAIR_0db1de845e6091bb | M9PAIR_1409fabcda52b8fb | M9PAIR_5aa1f2f735b07592 | M9PAIR_6ff3cf6b267fea79 | M9PAIR_849c396bb6bc2c1d | M9PAIR_8b033e89b10726e1	M9PAIR_0db1de845e6091bb | M9PAIR_1409fabcda52b8fb | M9PAIR_5aa1f2f735b07592 | M9PAIR_6ff3cf6b267fea79 | M9PAIR_849c396bb6bc2c1d | M9PAIR_8b033e89b10726e1	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_171a63d986f4ed26	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Graph degree measures frozen unresolved M9 edges, not demand or an automatic provider release.
M8SID_17638a451bed5dec	сервис внутренней аналитики маркетплейсов	26	25	4	4	21	4	2	0	0	YES	YES	M8SID_437d0cbcb94b3694 | M8SID_c9cbb3939920b7ee	M9PAIR_d8d09565d02e3ba1	M9PAIR_0ca5e58efc9b12a1 | M9PAIR_20fb29a2bc93ad4d | M9PAIR_37c166518ea8bf00 | M9PAIR_3b91dcda56b2b16f | M9PAIR_4c8c240de60b3caf | M9PAIR_4de167aea6070bd1 | M9PAIR_4e869dad89ae5dc1 | M9PAIR_51f4f2edaf46dc88 | M9PAIR_6298c73f65ce9f71 | M9PAIR_635da38f35161689 | M9PAIR_6d04639274ce1fa7 | M9PAIR_740fa609af149a4b | M9PAIR_7ca2a73712db8d8d | M9PAIR_7e7de042bc708dbc | M9PAIR_8f4064bf102dc5c9 | M9PAIR_9f6db73f22b58d99 | M9PAIR_a02e40cb3e4562a0 | M9PAIR_aa0346c05e67540a | M9PAIR_b936493c0d4a0b09 | M9PAIR_c2422cd1636a17b1 | M9PAIR_c5a0e469954d254f | M9PAIR_d0ac1eb9808ef456 | M9PAIR_ec840bcb7a2f6545 | M9PAIR_fc9a5af171f5fa8e | M9PAIR_ff2835105a36bee7 | M9PAIR_ff65092d06705582	M9PAIR_0ca5e58efc9b12a1 | M9PAIR_20fb29a2bc93ad4d | M9PAIR_37c166518ea8bf00 | M9PAIR_3b91dcda56b2b16f | M9PAIR_4c8c240de60b3caf | M9PAIR_4de167aea6070bd1 | M9PAIR_4e869dad89ae5dc1 | M9PAIR_51f4f2edaf46dc88 | M9PAIR_6298c73f65ce9f71 | M9PAIR_635da38f35161689 | M9PAIR_6d04639274ce1fa7 | M9PAIR_740fa609af149a4b | M9PAIR_7ca2a73712db8d8d | M9PAIR_7e7de042bc708dbc | M9PAIR_8f4064bf102dc5c9 | M9PAIR_9f6db73f22b58d99 | M9PAIR_a02e40cb3e4562a0 | M9PAIR_aa0346c05e67540a | M9PAIR_b936493c0d4a0b09 | M9PAIR_c2422cd1636a17b1 | M9PAIR_c5a0e469954d254f | M9PAIR_d0ac1eb9808ef456 | M9PAIR_ec840bcb7a2f6545 | M9PAIR_fc9a5af171f5fa8e | M9PAIR_ff65092d06705582	M9PAIR_4c8c240de60b3caf | M9PAIR_4e869dad89ae5dc1 | M9PAIR_6d04639274ce1fa7 | M9PAIR_7ca2a73712db8d8d	M9PAIR_4c8c240de60b3caf | M9PAIR_4e869dad89ae5dc1 | M9PAIR_6d04639274ce1fa7 | M9PAIR_7ca2a73712db8d8d	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_17638a451bed5dec	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Graph degree measures frozen unresolved M9 edges, not demand or an automatic provider release.
M8SID_1c0ee8bb00ecd201	Как правильно рассчитать ДРР на Wildberries?	15	15	2	2	13	0	15	0	0	NO	YES			M9PAIR_0bf85e707978960f | M9PAIR_1bbc1ab9bda17c01 | M9PAIR_22e50d78c078f03b | M9PAIR_2a84791ab1cd4ae2 | M9PAIR_59e31f3fc47416a6 | M9PAIR_69c069a6a9c82e1f | M9PAIR_890698fae5ec10bf | M9PAIR_8f73c20e2ba8bd70 | M9PAIR_b67e232ba9e370a5 | M9PAIR_ba7f5c2a53705c75 | M9PAIR_c00be30172ada180 | M9PAIR_c6eabe74e3a0dcea | M9PAIR_ce33743445fb19d0 | M9PAIR_d1b2535a1ab40eb5 | M9PAIR_e0526016b5dfe8e2	M9PAIR_0bf85e707978960f | M9PAIR_1bbc1ab9bda17c01 | M9PAIR_22e50d78c078f03b | M9PAIR_2a84791ab1cd4ae2 | M9PAIR_59e31f3fc47416a6 | M9PAIR_69c069a6a9c82e1f | M9PAIR_890698fae5ec10bf | M9PAIR_8f73c20e2ba8bd70 | M9PAIR_b67e232ba9e370a5 | M9PAIR_ba7f5c2a53705c75 | M9PAIR_c00be30172ada180 | M9PAIR_c6eabe74e3a0dcea | M9PAIR_ce33743445fb19d0 | M9PAIR_d1b2535a1ab40eb5 | M9PAIR_e0526016b5dfe8e2	M9PAIR_2a84791ab1cd4ae2 | M9PAIR_d1b2535a1ab40eb5	M9PAIR_2a84791ab1cd4ae2 | M9PAIR_d1b2535a1ab40eb5	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_1c0ee8bb00ecd201	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Graph degree measures frozen unresolved M9 edges, not demand or an automatic provider release.
M8SID_1d9b00510d4544c8	Управление остатками на Wildberries: как использовать отчёт «История остатков»	22	21	4	4	17	1	9	3	0	YES	YES	M8SID_644f4afb78dc957a	M9PAIR_63bc080d35f91592	M9PAIR_17cb15e37e19a342 | M9PAIR_3105f77eadc4ccce | M9PAIR_31dc06385405739c | M9PAIR_376074b0cfb69d14 | M9PAIR_4573ed188f7a8c61 | M9PAIR_4b26c9e27e6e3b84 | M9PAIR_62ca0d0e4a10ae87 | M9PAIR_8fe056718131aa7e | M9PAIR_916a82d54ea846c1 | M9PAIR_927d1919c5aaed7a | M9PAIR_92bfe0512b95a149 | M9PAIR_97ed2b87b4ed3bfc | M9PAIR_9fe266e4e196a5e3 | M9PAIR_a1991942951d7ff7 | M9PAIR_a4a82f10980a5420 | M9PAIR_c2e3aa32862a44e0 | M9PAIR_d242678fdc55dd17 | M9PAIR_d8f0ebaa76ca1ae9 | M9PAIR_de521ac7b4ad583d | M9PAIR_df2ecb6331ea11c9 | M9PAIR_eb2bd7b4f6e2a11c | M9PAIR_f2c87c0741252a78	M9PAIR_17cb15e37e19a342 | M9PAIR_31dc06385405739c | M9PAIR_376074b0cfb69d14 | M9PAIR_4573ed188f7a8c61 | M9PAIR_4b26c9e27e6e3b84 | M9PAIR_62ca0d0e4a10ae87 | M9PAIR_8fe056718131aa7e | M9PAIR_916a82d54ea846c1 | M9PAIR_927d1919c5aaed7a | M9PAIR_92bfe0512b95a149 | M9PAIR_97ed2b87b4ed3bfc | M9PAIR_9fe266e4e196a5e3 | M9PAIR_a1991942951d7ff7 | M9PAIR_a4a82f10980a5420 | M9PAIR_c2e3aa32862a44e0 | M9PAIR_d242678fdc55dd17 | M9PAIR_d8f0ebaa76ca1ae9 | M9PAIR_de521ac7b4ad583d | M9PAIR_df2ecb6331ea11c9 | M9PAIR_eb2bd7b4f6e2a11c | M9PAIR_f2c87c0741252a78	M9PAIR_376074b0cfb69d14 | M9PAIR_92bfe0512b95a149 | M9PAIR_97ed2b87b4ed3bfc | M9PAIR_df2ecb6331ea11c9	M9PAIR_376074b0cfb69d14 | M9PAIR_92bfe0512b95a149 | M9PAIR_97ed2b87b4ed3bfc | M9PAIR_df2ecb6331ea11c9	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_1d9b00510d4544c8	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Graph degree measures frozen unresolved M9 edges, not demand or an automatic provider release.
M8SID_21a051e61744f9fa	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	37	36	5	5	31	1	17	3	0	YES	YES	M8SID_644f4afb78dc957a	M9PAIR_63bc080d35f91592	M9PAIR_121713d099b2a10d | M9PAIR_16a2bc4a4dac21c9 | M9PAIR_176dd23123ad0177 | M9PAIR_26c9466a51d5bbc6 | M9PAIR_2a7356216aad98c1 | M9PAIR_2fc0ca3ae4c173e6 | M9PAIR_304eda62da6a4399 | M9PAIR_35b6c56e16be36d9 | M9PAIR_3936a87b64f44b75 | M9PAIR_3c873a5b9c477057 | M9PAIR_3dfed9b308b0b894 | M9PAIR_3f3693bdf02916f9 | M9PAIR_40595589e2d10fa7 | M9PAIR_4608f0b6f4136204 | M9PAIR_478a7da359ef001f | M9PAIR_4aebb3317e737d4f | M9PAIR_56970df086077ee3 | M9PAIR_57c1b86b4beaabfc | M9PAIR_6b2d63af7a61ae1e | M9PAIR_7520a25f8a9a372c | M9PAIR_7ab9978eb5793586 | M9PAIR_7af35278ccfa530e | M9PAIR_7f9691c95f539163 | M9PAIR_8be456825b49bb6a | M9PAIR_94a2ebbd19f13a46 | M9PAIR_a1e8c0058dab1c4e | M9PAIR_cc13e06f7dd085c1 | M9PAIR_d5444a9aa75cf60c | M9PAIR_d98ea21f8f491bfe | M9PAIR_dd07b351d10ed897 | M9PAIR_e6d9af92e8771380 | M9PAIR_e89b35636de5b6cc | M9PAIR_f6228313de4c3378 | M9PAIR_fa0703f81ce3ea1c | M9PAIR_fbe5d8b10179d5af | M9PAIR_fc61d812122ebd71 | M9PAIR_ff30cc15f4fa2e66	M9PAIR_121713d099b2a10d | M9PAIR_16a2bc4a4dac21c9 | M9PAIR_176dd23123ad0177 | M9PAIR_26c9466a51d5bbc6 | M9PAIR_2a7356216aad98c1 | M9PAIR_2fc0ca3ae4c173e6 | M9PAIR_304eda62da6a4399 | M9PAIR_35b6c56e16be36d9 | M9PAIR_3936a87b64f44b75 | M9PAIR_3c873a5b9c477057 | M9PAIR_3dfed9b308b0b894 | M9PAIR_3f3693bdf02916f9 | M9PAIR_40595589e2d10fa7 | M9PAIR_4608f0b6f4136204 | M9PAIR_4aebb3317e737d4f | M9PAIR_56970df086077ee3 | M9PAIR_57c1b86b4beaabfc | M9PAIR_6b2d63af7a61ae1e | M9PAIR_7520a25f8a9a372c | M9PAIR_7ab9978eb5793586 | M9PAIR_7af35278ccfa530e | M9PAIR_7f9691c95f539163 | M9PAIR_8be456825b49bb6a | M9PAIR_94a2ebbd19f13a46 | M9PAIR_a1e8c0058dab1c4e | M9PAIR_cc13e06f7dd085c1 | M9PAIR_d5444a9aa75cf60c | M9PAIR_d98ea21f8f491bfe | M9PAIR_dd07b351d10ed897 | M9PAIR_e6d9af92e8771380 | M9PAIR_e89b35636de5b6cc | M9PAIR_f6228313de4c3378 | M9PAIR_fa0703f81ce3ea1c | M9PAIR_fbe5d8b10179d5af | M9PAIR_fc61d812122ebd71 | M9PAIR_ff30cc15f4fa2e66	M9PAIR_16a2bc4a4dac21c9 | M9PAIR_35b6c56e16be36d9 | M9PAIR_3936a87b64f44b75 | M9PAIR_dd07b351d10ed897 | M9PAIR_fc61d812122ebd71	M9PAIR_16a2bc4a4dac21c9 | M9PAIR_35b6c56e16be36d9 | M9PAIR_3936a87b64f44b75 | M9PAIR_dd07b351d10ed897 | M9PAIR_fc61d812122ebd71	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_21a051e61744f9fa	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Graph degree measures frozen unresolved M9 edges, not demand or an automatic provider release.
M8SID_21a8a6bdb4a71db0	ии агент для селлера	11	10	5	5	5	0	3	6	0	NO	YES			M9PAIR_14187b1e3bb2e17b | M9PAIR_2b6958e149a193d7 | M9PAIR_543c488005cfc692 | M9PAIR_628c8502f3b2666c | M9PAIR_6c0c6b8586acceed | M9PAIR_6d52875c9e029583 | M9PAIR_79fee4ecc23d0aab | M9PAIR_a03f6b78c3e4c2a5 | M9PAIR_c080637a132e1072 | M9PAIR_d6c0bc4c06256e01 | M9PAIR_de340f77c7feb59d	M9PAIR_14187b1e3bb2e17b | M9PAIR_543c488005cfc692 | M9PAIR_628c8502f3b2666c | M9PAIR_6c0c6b8586acceed | M9PAIR_6d52875c9e029583 | M9PAIR_79fee4ecc23d0aab | M9PAIR_a03f6b78c3e4c2a5 | M9PAIR_c080637a132e1072 | M9PAIR_d6c0bc4c06256e01 | M9PAIR_de340f77c7feb59d	M9PAIR_543c488005cfc692 | M9PAIR_628c8502f3b2666c | M9PAIR_6c0c6b8586acceed | M9PAIR_c080637a132e1072 | M9PAIR_d6c0bc4c06256e01	M9PAIR_543c488005cfc692 | M9PAIR_628c8502f3b2666c | M9PAIR_6c0c6b8586acceed | M9PAIR_c080637a132e1072 | M9PAIR_d6c0bc4c06256e01	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_21a8a6bdb4a71db0	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Graph degree measures frozen unresolved M9 edges, not demand or an automatic provider release.
