registry_id	entity_name	r1_current_url_count	r2_added_url_count	r3_added_url_count	r4_added_url_count	r5_added_url_count	current_merged_unique_normalized_url_count	terminal_current_url_count	anchors_status	primary_nav_taxonomy_status	breadcrumb_local_subtree_status	sitemap_status	pagination_status	open_url_unresolved_count	open_channel_hold_count	r2_child_link_diagnostic_count	completion_state	phase_additive_sum	count_equation_pass	equation	unresolved_reason
REG001	Ai007	24	0	0	0	0	24	24	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	24	true	24 + 0 + 0 + 0 + 0 = 24	
REG002	Aimarketcap	4	0	0	0	0	4	4	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	4	true	4 + 0 + 0 + 0 + 0 = 4	
REG003	Ainsider	2	0	0	0	0	2	2	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	2	true	2 + 0 + 0 + 0 + 0 = 2	
REG004	Albato	53	34	0	0	0	87	87	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	87	true	53 + 34 + 0 + 0 + 0 = 87	
REG006	Apimonster	28	0	0	0	0	28	28	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	1	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	28	true	28 + 0 + 0 + 0 + 0 = 28	
REG007	Ascn	5	0	0	0	0	5	5	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	5	true	5 + 0 + 0 + 0 + 0 = 5	
REG008	Asibiont	3	0	0	0	0	3	3	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	3	true	3 + 0 + 0 + 0 + 0 = 3	
REG009	Berkuz	6	50	0	0	0	56	56	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	56	true	6 + 50 + 0 + 0 + 0 = 56	
REG011	Ilai	1	13	0	0	0	14	14	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	3	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	14	true	1 + 13 + 0 + 0 + 0 = 14	
REG012	Infosell	1	28	0	0	0	29	29	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	21	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	29	true	1 + 28 + 0 + 0 + 0 = 29	
REG013	Insales	11	0	320	0	0	331	331	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	COMPLETE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	331	true	11 + 0 + 320 + 0 + 0 = 331	
REG014	Itgalaxy	5	0	0	0	0	5	5	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	5	true	5 + 0 + 0 + 0 + 0 = 5	
REG015	Jafo	5	0	0	0	0	5	5	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	5	true	5 + 0 + 0 + 0 + 0 = 5	
REG016	Jvo	2	27	0	0	0	29	29	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	17	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	29	true	2 + 27 + 0 + 0 + 0 = 29	
REG018	Kt Team	1	121	0	0	0	122	122	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	UNSCOPABLE_WITH_REASON	0	0	27	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	122	true	1 + 121 + 0 + 0 + 0 = 122	
REG019	Legasoft	2	46	0	0	0	48	48	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	1	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	48	true	2 + 46 + 0 + 0 + 0 = 48	
REG020	Limescope	1	12	0	0	0	13	13	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	10	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	13	true	1 + 12 + 0 + 0 + 0 = 13	
REG021	Marketaut	1	7	0	0	0	8	8	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	2	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	8	true	1 + 7 + 0 + 0 + 0 = 8	
