ID	Ozon_исходная_задача	Исторический_статус_Ozon	Источник	WB_адаптация	WB_семейство_данных_кандидат	Проверяемый_результат	Что_может_понадобиться_от_владельца	Разделение_проверок	WB_проверка_операций	Ozon_ChatGPT_Standard	Ozon_ChatGPT_Work	Ozon_Alice	WB_ChatGPT_Standard	WB_ChatGPT_Work	WB_Alice
STD-01	Дай продажи за вчера: общая выручка и количество заказанных единиц.	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Продажи за вчера: выручка и заказанные единицы	Заказы/продажи/аналитика	Заказ, продажа, выкуп и выплата не смешаны; сумма сверена по одинаковому часовому поясу и периоду	Период и часовой пояс	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-02	Покажи продажи за последние 14 дней по дням и выдели 3 лучших и 3 худших дня.	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Продажи по дням за 14 дней; 3 лучших и худших дня	Заказы/продажи/аналитика	Все дни периода учтены; задержка источника и отсутствующие дни обозначены; сортировка воспроизводима	Период	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-03	Дай топ-20 товаров за последние 7 дней по выручке.	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Топ-20 товаров по выручке за 7 дней	Продажи + каталог	Точный top-N по выбранной метрике; номенклатура/размер/артикул корректно соединены	Период	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-04	Сравни продажи вчера и позавчера: выручка, штуки и изменение в процентах.	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Вчера против позавчера: деньги, штуки, проценты	Продажи	Одинаковые определения; нулевая база не приводит к делению на ноль или вымышленному проценту	Период	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-05	Почему вчера продажи резко просели? Найди наиболее вероятные причины, а не просто покажи цифру продаж.	PASS_WITH_LIMITS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Причины падения продаж	Продажи + остатки + карточки + реклама	Факторы подкреплены источниками; корреляция не объявлена доказанной причиной	Известный бизнес-контекст, если есть	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-06	Что сегодня в моём кабинете требует внимания в первую очередь?	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Приоритеты внимания по кабинету	Каталог + продажи + логистика + реклама	Ранжирование с доказательствами, масштабом проблемы и оговорками; нет выдуманного полного аудита	Что для владельца критично	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-07	Какие товары у меня скоро закончатся, а какие лежат слишком долго? Что пополнять в первую очередь?	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Дефицит, залежалость и приоритет пополнения	Остатки + продажи + оборачиваемость	Период спроса и формула дней запаса явны; пропущенная строка не равна нулю	Срок поставки/целевой запас только для точного заказа	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-08	Покажи текущие остатки по складам и отсортируй склады от наибольшего остатка к наименьшему.	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Остатки по складам	Остатки + справочник складов	Типы складов и схемы FBW/FBS различены; сумма и сортировка воспроизводимы	Нет: справочник получает расширение	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-09	Дай продажи за вчера по складам от большего к меньшему.	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Продажи по складам	Продажи/отчёты + склады	Атрибуция склада подтверждена полями источника; нет вывода продаж из текущего остатка	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-10	На складе Ozon был пожар или авария. Был ли там мой товар, что с ним сейчас и что мне нужно контролировать?	PASS_WITH_EXPLICIT_INCIDENT_CAUSALITY_AND_HISTORICAL_SNAPSHOT_LIMITS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Влияние конкретной аварии склада WB	Публичное сообщение + остатки/движения	Публичный факт отделён от частных данных; прошлое наличие не выводится из текущего	Название склада/дата/ссылка на известное событие	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
