candidate_delta_id	target_id	registry_id	source_url	page_role	raw_candidate_text	normalized_comparison_key	source_location_or_context	reconciliation_status	existing_m4c_candidate_ids	semantic_notes	proposed_m6_route	claim_boundary
M4QR2CD00001	M4QR2TR0001	REG019	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/	ARTICLE_OR_GUIDE	Автоматизация планирования поставок на WB с помощью искусственного интеллекта	автоматизация планирования поставок на wb с помощью искусственного интеллекта	H1; Автоматизация планирования поставок на WB с помощью искусственного интеллекта	POSSIBLE_VARIANT		Distinct exact wording of a broad accepted seller task; possible variant only, no synonym/identity merge.	KEEP_EXISTING_VALIDATION_QUESTION_PENDING_EXACT_DEMAND_CHECK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00002	M4QR2TR0001	REG019	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/	ARTICLE_OR_GUIDE	Сбор данных для ИИ: Первый шаг к умным поставкам	сбор данных для ии: первый шаг к умным поставкам	H3[1]; Автоматизация планирования поставок на WB с помощью искусственного интеллекта	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00003	M4QR2TR0002	REG019	https://legasoft.ru/about/blog/marketpleysy/skhema-dokumentooborota-s-marketpleysami-vozvraty-spisaniya-na-primere-1s-unf/?sphrase_id=1691743	ARTICLE_OR_GUIDE	Схема документооборота с маркетплейсами. Возвраты, списания на примере 1С:УНФ	схема документооборота с маркетплейсами. возвраты, списания на примере 1с:унф	H1; Схема документооборота с маркетплейсами. Возвраты, списания на примере 1С:УНФ	OUT_OF_SCOPE		Explicit 1C/accounting, external intelligence, onboarding/mutation, or another task outside launch product scope; preserve as page evidence.	NO_M6_PROMOTION_UNSUPPORTED_OR_DIFFERENT_TASK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00004	M4QR2TR0003	REG022	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	ARTICLE_OR_GUIDE	Как читать и анализировать отчеты о продажах на Wildberries	как читать и анализировать отчеты о продажах на wildberries	H1; Как читать и анализировать отчеты о продажах на Wildberries	ALREADY_PRESENT	M4CCAND003557	Exact-safe raw wording already occurs in accepted M4C (1 source occurrences; same entity=1); no new demand claim.	KEEP_EXISTING_M4C_M6_ROUTE	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00005	M4QR2TR0003	REG022	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	ARTICLE_OR_GUIDE	Как скачать отчёт о продажах на Wildberries	как скачать отчёт о продажах на wildberries	H2[5]; Как читать и анализировать отчеты о продажах на Wildberries	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00006	M4QR2TR0003	REG022	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	ARTICLE_OR_GUIDE	Основные показатели в еженедельном отчете Вайлдбериз	основные показатели в еженедельном отчете вайлдбериз	H2[6]; Как читать и анализировать отчеты о продажах на Wildberries	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00007	M4QR2TR0003	REG022	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	ARTICLE_OR_GUIDE	Как читать отчет реализации на ВБ	как читать отчет реализации на вб	H2[7]; Как читать и анализировать отчеты о продажах на Wildberries	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00008	M4QR2TR0003	REG022	https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/	ARTICLE_OR_GUIDE	Как найти информацию о штрафах на ВБ	как найти информацию о штрафах на вб	H2[8]; Как читать и анализировать отчеты о продажах на Wildberries	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00009	M4QR2TR0004	REG022	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	ARTICLE_OR_GUIDE	Как искать ключевые слова для Вайлдберриз	как искать ключевые слова для вайлдберриз	H1; Как искать ключевые слова для Вайлдберриз	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00010	M4QR2TR0004	REG022	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	ARTICLE_OR_GUIDE	Ключевые фразы для ВБ	ключевые фразы для вб	H2[2]; Как искать ключевые слова для Вайлдберриз	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00011	M4QR2TR0005	REG022	https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/	ARTICLE_OR_GUIDE	Как рассчитать чистую прибыль на Вайлдберриз	как рассчитать чистую прибыль на вайлдберриз	H1; Как рассчитать чистую прибыль на Вайлдберриз	POSSIBLE_VARIANT		Distinct exact wording of a broad accepted seller task; possible variant only, no synonym/identity merge.	KEEP_EXISTING_VALIDATION_QUESTION_PENDING_EXACT_DEMAND_CHECK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00012	M4QR2TR0005	REG022	https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/	ARTICLE_OR_GUIDE	Расчет чистой прибыли и маржинальности на WB	расчет чистой прибыли и маржинальности на wb	H2[2]; Как рассчитать чистую прибыль на Вайлдберриз	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00013	M4QR2TR0006	REG022	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	ARTICLE_OR_GUIDE	Как создать и оформить карточку товара на Вайлдберриз	как создать и оформить карточку товара на вайлдберриз	H1; Как создать и оформить карточку товара на Вайлдберриз	POSSIBLE_VARIANT		Distinct exact wording of a broad accepted seller task; possible variant only, no synonym/identity merge.	KEEP_EXISTING_VALIDATION_QUESTION_PENDING_EXACT_DEMAND_CHECK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00014	M4QR2TR0006	REG022	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	ARTICLE_OR_GUIDE	Проверка новой карточки	проверка новой карточки	H2[12]; Как создать и оформить карточку товара на Вайлдберриз	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00015	M4QR2TR0007	REG022	https://marpla.ru/blog/raschet-drr-na-wildberries/	ARTICLE_OR_GUIDE	Как посчитать долю рекламных расходов на Вайлдберриз	как посчитать долю рекламных расходов на вайлдберриз	H1; Как посчитать долю рекламных расходов на Вайлдберриз	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00016	M4QR2TR0007	REG022	https://marpla.ru/blog/raschet-drr-na-wildberries/	ARTICLE_OR_GUIDE	Как правильно рассчитать ДРР на Wildberries?	как правильно рассчитать дрр на wildberries?	H2[5]; Как посчитать долю рекламных расходов на Вайлдберриз	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00017	M4QR2TR0008	REG022	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	ARTICLE_OR_GUIDE	Требования к карточкам товара Wildberries — правила заполнения	требования к карточкам товара wildberries — правила заполнения	H1; Требования к карточкам товара Wildberries — правила заполнения	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
