TEST_ID	Requirement	Why_Manual_Live	Dependency	Status	Owner_Action	Pass_Criteria	Fail_Class	Evidence	Next_Test
Q1C-OTP-01	Real OTP account login device activation Bootstrap	Requires real mailbox delivery and owner session	AdminVPS TCP25 PTR remote MX	BLOCKED_REAL_MAIL	Complete real OTP login then device activation and Bootstrap	Mailbox arrival plus login device and Bootstrap pass	FAIL_ENVIRONMENT|FAIL_PROVIDER|FAIL_PRODUCT|FAIL_OWNER_DATA_UNAVAILABLE	domain timestamps MX result latency safe IDs no OTP	Q1C-EXT-03
Q1C-EXT-03	Extension authorization/device binding	Owner installation and session are live	Q1C-OTP-01	READY	Authorize unchanged extension for logged-in account	Account/device binds without secret exposure	FAIL_PRODUCT|FAIL_BROWSER_ENVIRONMENT	browser version package SHA safe device ID	Q1C-BS-04
Q1C-BS-04	Signed Bootstrap/account binding/reopen	Trust acceptance must be observed in owner runtime	Q1C-EXT-03	READY	Reopen popup/dialogue and run normal Bootstrap	Preprod trust identity and beta permissions accepted	FAIL_PRODUCT|FAIL_ENVIRONMENT	browser safe trust/result class	Q1C-AUTH-02
Q1C-AUTH-02	Logout and re-login invalidation	Owner session lifecycle is live UX	Q1C-BS-04	READY	Logout then re-login using real mailbox	Old session invalidated and new session valid	FAIL_PRODUCT|FAIL_ENVIRONMENT	timestamp safe session/device class	Q1C-BETA-05
Q1C-BETA-05	Free-beta non-commercial UX	Confirms current deployed UX not just config	Q1C-AUTH-02	READY	Inspect account/extension access screens	No checkout payment prompt or commercial denial	FAIL_PRODUCT	redacted screenshot/result class	Q1C-OZON-06
Q1C-OZON-06	Ozon store add/validation	Needs legitimate owner provider rights	Q1C-BETA-05 plus Ozon credential	BLOCKED_OWNER_CREDENTIAL	Add one Ozon store in UI	Store validates or honest provider failure	FAIL_PROVIDER|FAIL_PRODUCT|FAIL_OWNER_DATA_UNAVAILABLE	marketplace safe label/id result class	Q1C-OZON-07
Q1C-OZON-07	Ozon Start/read-only command	Needs real store and provider response	Q1C-OZON-06	BLOCKED_OWNER_CREDENTIAL	Run one bounded read-only Ozon command	Correct binding and safe result	FAIL_PROVIDER|FAIL_PRODUCT|FAIL_ENVIRONMENT	marketplace safe result/request ID	Q1C-OZON-08
Q1C-OZON-08	Ozon report/file result	Needs real provider result and delivery	Q1C-OZON-07	BLOCKED_OWNER_CREDENTIAL	Request one report or file result	Same-dialogue delivery without durable raw report	FAIL_PROVIDER|FAIL_PRODUCT|FAIL_ENVIRONMENT	result/file presence only	Q1C-WB-09
Q1C-WB-09	Wildberries store add/validation	Needs legitimate owner provider rights	Q1C-BETA-05 plus WB credential	BLOCKED_OWNER_CREDENTIAL	Add one WB store in UI	Store validates or honest provider failure	FAIL_PROVIDER|FAIL_PRODUCT|FAIL_OWNER_DATA_UNAVAILABLE	marketplace safe label/id result class	Q1C-WB-10
Q1C-WB-10	Wildberries Start/read-only command	Needs real store and provider response	Q1C-WB-09	BLOCKED_OWNER_CREDENTIAL	Run one bounded read-only WB command	Correct binding and safe result	FAIL_PROVIDER|FAIL_PRODUCT|FAIL_ENVIRONMENT	marketplace safe result/request ID	Q1C-WB-11
Q1C-WB-11	Wildberries result/reopen	Requires real result and browser persistence	Q1C-WB-10	BLOCKED_OWNER_CREDENTIAL	Reopen browser/dialogue and inspect result	Correct durable binding and delivery	FAIL_PRODUCT|FAIL_BROWSER_ENVIRONMENT	browser safe result class	Q1C-AI-12
Q1C-AI-12	Real ChatGPT/Alice session/composer	Requires owner AI sessions and safe prompt	Q1C-BS-04 plus AI session	BLOCKED_OWNER_CREDENTIAL	Use approved live AI composer once	Correct provenance with no content capture	FAIL_PROVIDER|FAIL_PRODUCT|FAIL_OWNER_DATA_UNAVAILABLE|FAIL_ENVIRONMENT	AI family safe result class	Q1C-RESTART-13
Q1C-RESTART-13	Browser close/reopen/service-worker boundary	Durable/ephemeral behavior needs live runtime	Q1C-OZON-07 or Q1C-WB-10	READY	Close and reopen browser/dialogue once	Durable state restored without duplicate execution	FAIL_PRODUCT|FAIL_BROWSER_ENVIRONMENT	browser safe state class	Q1C-REBIND-14
Q1C-REBIND-14	Explicit store rebind and new Start	Requires two legitimate stores	Q1C-MSTORE-15	BLOCKED_OWNER_CREDENTIAL	Acknowledge warning and Start on new store	New binding authoritative old command not autorun	FAIL_PRODUCT|FAIL_OWNER_DATA_UNAVAILABLE	safe labels warning result	Q1C-MSTORE-15
Q1C-MSTORE-15	Two stores same marketplace isolation	Needs two owner stores	Q1C-OZON-06 or Q1C-WB-09	BLOCKED_OWNER_CREDENTIAL	Run bounded check against each labeled store	No cross-store command/result leakage	FAIL_PRODUCT|FAIL_OWNER_DATA_UNAVAILABLE	safe labels/IDs/result classes	Q1C-SWITCH-16
Q1C-SWITCH-16	Marketplace switch warning and binding	Needs both marketplace stores	Q1C-OZON-06 and Q1C-WB-09	BLOCKED_OWNER_CREDENTIAL	Acknowledge switch warning and Start	New marketplace authoritative old commands not autorun	FAIL_PRODUCT|FAIL_OWNER_DATA_UNAVAILABLE	marketplace labels warning result	Q1C-DIALOGUE-17
