diagnostic_id	semantic_identity_id	diagnostic_class	observed_conflict	expected_review	final_resolution	changed_by_diagnostic	sibling_impact_checked	notes
M8D000001	M8SID_06132419fbb3c5ff	HUMAN_SOFTWARE_ROLE	* ai для бизнеса l42: * ии для тендеров l43: * ии-бухгалтер l44: * ии-сметчик l45: * автоматизация росреестра l46: * дообучение моделей (ml) l47: * кейсы ai l48:	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_SOURCE_FRAGMENT; SOURCE_FRAGMENT	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000002	M8SID_cc60028576d91a15	HUMAN_SOFTWARE_ROLE	* маркетплейсы l8: * маркировка l9: * учебный центр†edu.moysklad.ru l10: * мероприятия l11: * бизнес курсы l12: * шаблоны и инструкции l13:	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_SOURCE_FRAGMENT; SOURCE_FRAGMENT	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000003	M8SID_3c4a6fba6b5f2550	MARKETPLACE_SCOPE_MIX	289-фз на ozon, wildberries и авито: что меняется для продавца	Check role/entity/capability against Product Truth and exact source evidence	EXCLUDED / X_FOREIGN_ENTITY; EXPLICIT_FOREIGN	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC01082:OUT_OF_PRODUCT_SCOPE; Product Truth current
M8D000004	M8SID_e390f366f53816fd	BUYER_SELLER_ROLE	M6SRC03552:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC03552:HOLD_AMBIGUOUS; Product Truth current
M8D000005	M8SID_10f3fc08eed9b9f8	BUYER_SELLER_ROLE	M6SRC02344:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02344:HOLD_AMBIGUOUS; Product Truth current
M8D000006	M8SID_fa36d710389c08e8	READ_ONLY_MUTATION	M6SRC02719:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02719:HOLD_AMBIGUOUS; Product Truth current
M8D000007	M8SID_b8c7448de53c66bf	BUYER_SELLER_ROLE	7 ошибок в общении с покупателями на маркетплейсе и как их избежать	Check role/entity/capability against Product Truth and exact source evidence	EXCLUDED / X_BUYER_ONLY; BUYER_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02961:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000008	M8SID_94073ba0eaf696ac	MARKETPLACE_SCOPE_MIX	80% продавцов осознанно завышают цены на wildberries и ozon из-за скидочной политики маркетплейсов	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC00740:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000009	M8SID_a098b43fccbe94ab	MARKETPLACE_SCOPE_MIX	M6SRC00560:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC00560:HOLD_AMBIGUOUS; Product Truth current
M8D000010	M8SID_20b4e8cf6270788d	BUYER_SELLER_ROLE	M6SRC04621:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04621:HOLD_AMBIGUOUS; Product Truth current
