execution_query_id	exact_query_text	exact_safe_comparison_key	source_universe_row_ids	source_classes	marketplace_scope	task_or_candidate_groups	existing_demand_evidence	m3_relation	information_gain_question	downstream_decision	planned_search_type	planned_region	planned_page	planned_depth	planned_group_mode	planned_docs_in_group	planned_family_mode	planned_fix_typo_mode	planned_sort	provider_limit_check	batch_id
M4QR2Q00001	chatgpt для ozon	chatgpt для ozon	M4QR2U00005 || M4QR2U00315	M2R || M3	OZON || OZON_WB_OR_MARKETPLACE	F2 || M3_R02	M2R_OBSERVED_WORDSTAT:TOTALCOUNT_ONLY_SEED=9	M3_ACCEPTED_R02_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=16; words=3	M4Q-R2-B001
M4QR2Q00002	chatgpt для wildberries	chatgpt для wildberries	M4QR2U00006 || M4QR2U00316	M2R || M3	OZON_WB_OR_MARKETPLACE || WILDBERRIES	F2 || M3_R03	M2R_OBSERVED_WORDSTAT:TOTALCOUNT_ONLY_SEED=10	M3_ACCEPTED_R03_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=23; words=3	M4Q-R2-B001
M4QR2Q00003	анализ ниш wildberries для продавца	анализ ниш wildberries для продавца	M4QR2U00013	M3	OZON_WB_OR_MARKETPLACE	M3_R10	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	M3_ACCEPTED_R10_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=35; words=5	M4Q-R2-B001
M4QR2Q00004	аналитика маркетплейсов для селлеров	аналитика маркетплейсов для селлеров	M4QR2U00007	M3	OZON_WB_OR_MARKETPLACE	M3_R04	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	M3_ACCEPTED_R04_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=36; words=4	M4Q-R2-B001
M4QR2Q00005	аналитика рекламы маркетплейсов	аналитика рекламы маркетплейсов	M4QR2U00011 || M4QR2U01040	M2R || M3	GENERIC_MARKETPLACE || OZON_WB_OR_MARKETPLACE	F6 || M3_R08	M2R_OBSERVED_WORDSTAT:TESTED_SEED=33	M3_ACCEPTED_R08_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=31; words=3	M4Q-R2-B001
M4QR2Q00006	ии агент для wildberries	ии агент для wildberries	M4QR2U00003 || M4QR2U00254 || M4QR2U00518 || M4QR2U00519	M2R || M3	OZON_WB_OR_MARKETPLACE || WILDBERRIES	F1 || M3_S03	M2R_OBSERVED_WORDSTAT:DIRECT_RESULT=20 || TESTED_SEED=20	M3_ACCEPTED_S03_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=24; words=4	M4Q-R2-B001
M4QR2Q00007	ии агент для озон	ии агент для озон	M4QR2U00002 || M4QR2U00229 || M4QR2U00478 || M4QR2U00479	M2R || M3	OZON || OZON_WB_OR_MARKETPLACE	F1 || M3_S02	M2R_OBSERVED_WORDSTAT:DIRECT_RESULT=40 || TESTED_SEED=40	M3_ACCEPTED_S02_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=17; words=4	M4Q-R2-B001
M4QR2Q00008	ии агенты для маркетплейсов	ии агенты для маркетплейсов	M4QR2U00001 || M4QR2U00028 || M4QR2U00360 || M4QR2U00361	M2R || M3	GENERIC_MARKETPLACE || OZON_WB_OR_MARKETPLACE	F1 || M3_S01	M2R_OBSERVED_WORDSTAT:DIRECT_RESULT=134 || TESTED_SEED=134	M3_ACCEPTED_S01_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=27; words=4	M4Q-R2-B001
M4QR2Q00009	как заполнить карточку товара wildberries	как заполнить карточку товара wildberries	M4QR2U00010 || M4QR2U01101	M2R || M3	OZON_WB_OR_MARKETPLACE || WILDBERRIES	F8 || M3_R07	M2R_OBSERVED_WORDSTAT:TOTALCOUNT_ONLY_SEED=34	M3_ACCEPTED_R07_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=41; words=5	M4Q-R2-B001
M4QR2Q00010	как работать в кабинете wildberries продавцу	как работать в кабинете wildberries продавцу	M4QR2U00014	M3	OZON_WB_OR_MARKETPLACE	M3_R11	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	M3_ACCEPTED_R11_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=44; words=6	M4Q-R2-B001
