diagnostic_id	diagnostic_class	tested_universe	observed_conflict	expected_review	final_resolution	changed_by_diagnostic	sibling_impact_checked	notes	evidence_refs
M9DIAG_001	FULL_PAIR_ENUMERATION	7913 eligibility; 104 Working; 5356 pairs	0 missing/duplicate/self; all deterministic pair IDs.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Complete 104 choose 2 compared to final IDs.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R1.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_002	OLD_OLD_FROZEN_METRIC	231 old-old pairs	0 URL/union/Jaccard or state/reason changes.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Current M4Q source-only recomputation for all 231.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R1.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_003	OLD_NEW_EXACT_CROSS_SOURCE	550 old-new bilateral pairs	0 independent recomputation mismatch.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Exact stored URL/domain strings of M4Q and decoded Wave1 only.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R1.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_004	NEW_NEW_PROJECTION_ONLY	300 new-new bilateral pairs	0 projection row/rank or overlap mismatch.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Only accepted Wave1 Top20 projection supplies URL/domain sets.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R1.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_005	ALL_BILATERAL_NUMERIC	1081 bilateral pairs	0 missing/non-numeric/recomputed metric mismatch.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Every nine-field overlap tuple independently recomputed.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R1.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_006	MISSING_SERP_NA	4275 one/no snapshot pairs	0 zero-valued overlap tuples; all NA_NOT_COMPARABLE.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Top10/20 and domain overlap all NA.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R1.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_007	NEW_ANCHOR_NO_PAGE_TYPE	25 new anchors; all 5356 pairs	0 accepted R2 page-type relation drift.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Exactly the frozen 21 authorized bilateral page-type annotations remain.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R1.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_008	CHANGED_COMPARABILITY	5356 pairs	2275 transitions = 550 ONE->BOTH + 300 NO->BOTH + 1425 NO->ONE; 3081 stable.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Exact current anchor set 47/104.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R1.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_009	UNCHANGED_SEARCH_DECISION_STABILITY	3081 unchanged-comparability pairs	0 pair state/reason change.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Includes all 231 unchanged old-old current SERP pairs.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R1.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_010	ONE_SIDED_HOLD_NEW_EVIDENCE	all old ONE pairs	Any state changes require a new accepted Wave1 anchor; zero stable pair changes.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Full pair old/new relation scan.	docs/seo/work_return/M9_SEARCH_ONLY_CLUSTERING_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R1.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64
