provider_candidate_id	m3_query_id	region	rank	url	domain	title	snippet	frozen_class	exact_url_in_region225	region225_rank_same_url	region225_same_url_class	domain_seen_region225	operation_id
M6PC006	R04	213	1	https://torgstat.ru/	torgstat.ru	Торгстат – оцифровка Wildberries, Ozon и Яндекс.Маркет.	Аналитика маркетплейсов. Нам доверяют селлеры из ТОП-100 Wildberries. Попробовать бесплатно. Аналитика и автоматизация работы на маркетплейсах. Торгстат предоставляет профессиональные инструменты для оцифровки бизнеса, управления продажами и ведению финансового учета на маркетплейсах – Wildberries, Ozon и Яндекс.Маркет.	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	17	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	sprj11c022m8ikb58it2
M6PC006	R04	213	2	https://www.insales.ru/page/analitika-marketpleysov	insales.ru	Аналитика маркетплейсов: сервис для внутренней и внешней...	Больше о возможностях аналитики на каждом маркетплейcе: От цифр — к действиям: умные отчёты для селлеров. Аналитика маркетплейсов делится на два ключевых направления, которые в комплексе дают полную картину бизнеса. Внутренняя аналитика фокусируется на вашем магазине: показывает динамику продаж, остатки товаров, эффективность рекламных кампаний и ключевые метрики (выручку, прибыль, конверсию).	EDITORIAL_OR_EDUCATION	false			false	sprj11c022m8ikb58it2
M6PC006	R04	213	3	https://sellerstats.ru/	sellerstats.ru	SellerStats - Умная аналитика продаж на маркетплейсах...		SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	4	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	sprj11c022m8ikb58it2
M6PC006	R04	213	4	https://sellmonitor.com/	sellmonitor.com	Sellmonitor - Сервис аналитики маркетплейсов | Плагин для...		SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	6	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	sprj11c022m8ikb58it2
M6PC006	R04	213	5	https://limescope.ru/	limescope.ru	LimeScope — аналитика маркетплейсов	Аналитика маркетплейсов, перенос карточек товаров и расчёт налогов по вашим данным — в одном портале LimeScope. … Для селлеров и команд. Меньше рутины. Больше контроля над бизнесом. Одно рабочее пространство объединяет аналитику, товары, остатки, закупки и команду.	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	7	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	sprj11c022m8ikb58it2
M6PC006	R04	213	6	https://metriclab.ru/	metriclab.ru	MetricLab — экосистема для селлеров, объединяющая аналитику...	Нам доверяют уже 1100+ селлеров. Подробная аналитика вашего магазина. … Metric Lab — это партнер для предпринимателей, аналитиков и менеджеров маркетплейсов, которые ценят контроль, системность и уверенность в каждом решении. профессионализм. мы каждый день на передовой маркетплейсов, с глубиной анализа, точностью данных и вниманием к деталям профессионально отвечаем за результат и цифры.	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	false			false	sprj11c022m8ikb58it2
M6PC006	R04	213	7	https://sellermoon.ru/	sellermoon.ru	SELLER MOON — сервис аналитики маркетплейсов...	Удобный сервис аналитики маркетплейсов ВБ и Озон с пробным периодом за 49 рублей на 15 дней. Уникальный набор онлайн-инструментов для селлеров: SEO, нейросети, анализ товара и конкурентов, аналитика ниши. … Увеличьте продажи на маркетплейсах Wildberries и Ozon в 3 раза. Добавьте магазин за 1 минуту и получите первые 15+ рекомендаций по оптимизации карточек товаров.	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	false			false	sprj11c022m8ikb58it2
M6PC006	R04	213	8	https://restata.ru/	restata.ru	Restata — сервис аналитики прибыли на маркетплейсах...	Restata — аналитика прибыли для селлеров Wildberries и Ozon: все комиссии, логистика, хранение, налоги и себестоимость в одном дашборде. … Вы продаёте на Wildberries и Ozon, но не знаете — зарабатываете ли. Wildberries и Ozon снимают десятки видов комиссий, а в личных кабинетах нет единой картины прибыли. Селлеры принимают решения вслепую.	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	12	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	sprj11c022m8ikb58it2
M6PC006	R04	213	9	https://mayak.bz/	mayak.bz	«Маяк» — сервис аналитики продаж на Wildberries и Ozon: анализ...	Начинающий селлер использует Маяк для выбора товаров для выхода на маркетплейс. Людмила Вакуленко из Москвы увеличила продажи на OZON и выбрала правильные товары для старта на Wildberries с помощью Маяка. … На маркетплейсах с 2019 года, использует Маяк с 2020 года. А сейчас также обучает менеджеров маркетплейсов и начинающих селлеров. В качестве надежного партнера выбрала сервис аналитики Маяк.	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	1	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	sprj11c022m8ikb58it2
M6PC006	R04	213	10	https://truestats.ru/	truestats.ru	TrueStats: Сервис финансовой аналитики маркетплейсов...	Сервис оцифровки и аналитики продаж на Wildberries, Ozon и Яндекс Маркет. Проанализируем 50+ метрик и подсветим, сколько вы реально заработали после всех удержаний маркетплейса. … Эксперт и крупный селлер на WB и Ozon, продал более 500 000 сумок на маркетплейсах. Разработчик таблиц оцифровки финансов для WB и Ozon, которой пользуются более 2000 селлеров.	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	14	SELLER_ANALYTICS_PRODUCT_OR_SOFTWARE	true	sprj11c022m8ikb58it2
